Name,Sysname,HitPoints,OrgPoints,Cost,Visibility
Inflexible級,USH_ENG_IC_Inflexible_class,1473.25,633450.25,1758.125,6.375
Devastation級,USH_ENG_IC_Devastation_class,1569.5,561373.75,1794.0,3.5
Admiral級,USH_ENG_IC_Admiral_class,1375.75,673749.25,1696.0,4.625
装甲艦船体,SSH_IC,1359.25,552067.0,1641.0,22.75
Royal Sovereign級,USH_ENG_PDBB_Royal Sovereign_class,1778.625,1244468.875,2547.0,45.125
Brandenburg級,USH_GER_PDBB_Brandenburg_class,1367.75,772202.125,1802.25,28.0
Borodino級,USH_RUS_PDBB_Borodino_class,1797.25,1411339.5,2825.25,42.0
Kaiser Friedrich III級,USH_GER_PDBB_Kaiser Friedrich III_class,1631.0,995111.375,2509.5,34.75
前弩級船体I,SSH_PDBB,1644.625,1100758.75,2175.0,39.125
Liberte級,USH_FRA_PDBB_Liberte_class,1842.875,1385050.25,2980.0,57.5
Braunschweig級,USH_GER_PDBB_Braunschweig_class,1665.5,1224766.875,2668.0,63.375
敷島型,USH_JPN_PDBB_Shikishima_Class,1868.625,1502730.875,3029.375,50.625
King Edward VII級,USH_ENG_PDBB_King Edward VII_class,1963.5,1485014.75,3368.0,85.875
前弩級船体II,SSH_PDBB_II,1839.5,1405030.0,2846.75,64.5
Regina Margherita級,USH_ITA_SDBC_Regina Margherita_class,1818.25,1497028.875,3031.375,58.0
Danton級,USH_FRA_SDBC_Danton_class,2310.25,2112024.625,4306.75,73.625
Regina Elena級,USH_ITA_SDBB_Regina Elena_class,1737.75,1219709.125,3064.375,54.125
Mississippi級,USH_USA_SDBB_Mississippi_class,1805.375,1306832.0,3161.0,36.625
Lord Nelson級,USH_ENG_SDBB_Lord Nelson_class,2110.0,1690235.875,3849.0,105.25
薩摩型,USH_JPN_SDBB_Satsuma_Class,2504.625,2279912.0,4708.75,113.25
準弩級船体,SSH_SDBB,2054.5,1670278.375,3692.75,70.125
Dreadnought級,USH_ENG_DBB_Dreadnought_class,2477.25,1914363.0,4805.875,140.375
河内型,USH_JPN_DBB_Kawachi_Class,2510.25,2502585.875,4803.125,133.875
Nassau級,USH_GER_DBB_Nassau_class,2494.0,2500122.0,4578.0,95.5
Neptune級,USH_ENG_DBB_Neptune_class,2575.75,2325000.875,5045.125,150.875
Wyoming級,USH_USA_DBB_Wyoming_class,3363.625,3709580.5,6856.625,345.375
Tegetthoff級,USH_AUS_DBB_Tegetthoff_class,2582.125,2818121.5,4923.625,140.25
弩級船体,SSH_DBB,2670.375,2625010.0,5151.0,160.5
Orion級,USH_ENG_BB_0_Orion_class,2840.25,2315621.375,5794.875,198.875
金剛型,USH_JPN_BB_0_Kongo_Class,3226.375,4230997.375,6569.875,327.875
扶桑型,USH_JPN_BB_0_Fuso_Class,3349.625,4199505.5,7038.0,292.25
King George V級_I,USH_ENG_BB_0_King George V_class_I,2822.625,2383960.875,5911.0,205.375
Iron Duke級,USH_ENG_BB_0_Iron Duke_class,3221.75,3433812.875,6785.0,250.25
Provence級,USH_FRA_BB_0_Provence_class,2744.875,3155048.625,5389.25,111.875
Bayern級,USH_GER_BB_0_Bayern_class,3612.375,4774841.0,7470.375,328.0
WWI型戦艦,SSH_BB,3114.875,3467764.0,6398.0,243.375
伊勢型,USH_JPN_BB_1_Ise_Class,3475.75,4897812.5,7314.75,359.875
Renown級,USH_ENG_BB_1_Renown_class,4016.125,5466922.5,9035.125,645.875
Hood級,USH_ENG_BB_1_Hood_class,4747.25,7323783.625,11251.125,646.375
Queen Elizabeth級,USH_ENG_BB_1_Queen Elizabeth_class,4010.0,4080987.375,8843.5,331.875
Colorado級,USH_USA_BB_1_Colorado_class,3562.75,4095464.5,7889.125,358.875
長門型,USH_JPN_BB_1_ Nagato_Class,3704.875,5172642.25,8112.0,436.125
Revenge級,USH_ENG_BB_1_Revenge_class,3437.125,3754437.625,7308.0,297.0
戦間期型戦艦,SSH_BB_0,3860.875,4947194.125,8544.375,426.75
Nelson級,USH_ENG_BB_2_Nelson_class,4244.75,7230401.125,9500.0,549.625
加賀型,USH_JPN_BB_2_Kaga_Class,4232.75,6260040.5,9583.125,645.875
North Carolina級,USH_USA_BB_2_North Carolina_class,5073.75,9480800.75,13169.375,569.75
South Dakota級,USH_USA_BB_2_South Dakota_class,5298.625,12284883.5,13120.75,494.625
King George V級_II,USH_ENG_BB_2_King George V_class_II,4749.0,9195263.0,11826.25,541.75
WWII型戦艦_I,SSH_BB_1,4713.0,8813097.25,11420.375,562.375
Bismarck級,USH_GER_BB_3_Bismarck_class,5401.375,11874552.5,14084.0,864.5
Iowa級,USH_USA_BB_3_Iowa_class,6593.875,19887547.0,16731.25,841.625
Vanguard級,USH_ENG_BB_3_Vanguard_class,5340.375,9337767.75,15014.625,682.125
WWII型戦艦_II,SSH_BB_2,5767.5,13454330.125,15246.125,802.0
戦後型戦艦 I,SSH_BB_3,6103.625,15241220.625,16638.375,902.875
戦後型戦艦 II,SSH_BB_4,6489.75,17339096.0,18184.0,994.5
戦後型戦艦 III,SSH_BB_5,6858.625,19660731.25,19955.75,1127.125
戦後型戦艦 IV,SSH_BB_6,7056.375,20996507.875,20925.75,1204.5
戦後型戦艦 V,SSH_BB_7,7252.375,22199750.875,21681.125,1239.25
究極型戦艦,SSH_BB_8,7387.75,23190384.0,22324.75,1295.75
大和型,USH_JPN_SHBB_Yamato_Class,7542.625,25065066.875,19096.0,1086.875
Montana級,USH_USA_SHBB_Montana_class,7573.5,23242369.75,20295.875,1113.25
超重戦艦 I,SSH_SHBB_1,7648.625,25049596.0,19761.375,1102.125
超重戦艦 II,SSH_SHBB_2,7848.25,26726645.125,20362.25,1157.25
超重戦艦 III,SSH_SHBB_3,8048.875,28551169.125,20969.75,1214.375
100000t級戦艦,SSH_SHHBB_1,30891.125,476290773.25,29600.0,2649.5
大泊級,USH_JPN_TCC_oodomari_class,528.5,16250.625,712.875,1.0
Zmaj級,USH_NOR_TCC_Zmaj_class,419.375,21712.5,482.0,2.5
Maidstone級,USH_ENG_TCC_Maidstone_class,1117.875,1160315.25,2420.75,23.25
宗谷級,USH_JPN_TCC_souya_class,608.0,23164.625,1048.75,1.125
宗谷級II,USH_JPN_TCC_souya_classII,686.0,37194.375,1439.5,2.75
宗谷級III,USH_JPN_TCC_souya_classIII,613.625,37187.75,1256.0,4.25
第一号型輸送艦級,USH_JPN_TCC_daiichigo_class_class_classyusoukan_class,429.0,20015.625,565.875,2.0
輸送船改装巡洋艦,SSH_TCC_1,623.25,103938.25,1124.625,3.5
報国丸型,USH_JPN_MC_houkokumaru_class,1194.375,341292.375,2922.875,22.25
A型貨物船型,USH_JPN_MC_A_classkamotsusen_class,1121.125,73761.875,2592.0,19.75
能代丸型,USH_JPN_MC_noshiromaru_class,910.5,37232.0,1912.25,14.5
金龍丸型,USH_JPN_MC_kinryuumaru_class,1100.75,47207.625,2476.125,16.875
浮島丸型,USH_JPN_MC_fushimamaru_class,690.75,50439.875,1286.5,6.125
金城山丸型,USH_JPN_MC_kinjouyamamaru_class,697.125,44859.625,1300.875,4.375
Möwe型,USH_GER_MC_Mowe_class,1158.75,215904.25,2234.375,0.875
Thor型,USH_GER_MC_Thor_class,895.75,277015.75,1932.0,8.75
Atlantis型,USH_GER_MC_Atlantis_class,961.5,378374.75,2154.125,17.5
仮装巡洋艦,SSH_MC_1,971.75,154165.625,2105.625,10.375
Adventure級,USH_ENG_CS_Adventure_class,561.25,119870.0,607.5,4.5
Boadicea級,USH_ENG_CS_Boadicea_class,593.875,137562.75,719.375,5.25
Forward級,USH_ENG_CS_Forward_class,553.125,111353.25,600.5,4.375
Admiral Spaun型,USH_A=H_CS_Admiral Spaun_class,669.0,177888.0,880.0,6.25
Novara級,USH_A=H_CS_Novara_class,706.875,202112.25,980.5,6.25
Almirante Grau級,USH_PRE_CS_Almirante Grau_class,578.25,124351.625,667.75,4.5
Chester級,USH_USA_CS_Chester_class,735.125,223727.75,1012.375,7.75
