TAG,地域,JP
RKB,Reichskommisariat Belgien,
RKN,Reichskommisariat Niederlande,ニーダーランド国家弁務官区
RKG,Reichskommisariat Norwegen,ノルヴェーゲン国家弁務官区
RKU,Reichskommisariat Ukraine,ウクライーネ国家弁務官区
RKO,Reichskommisariat Ostland,オストラント国家弁務官区
RKK,Reichskommisariat Kaukasien,コーカサス国家弁務官区
RKT,Reichskommisariat Turkestan,トルキスタン国家弁務官区
RKM,Reichskommisariat Moskowien,モスコヴィエン国家弁務官区
RKL,Reichskommisariat Urals,ウラル国家弁務管理区
GEN,Generalgouvernement,総督府
RKH,Bohmen Mahren,ベーメン・メーレン保護領
RKI,Reichskommisariat Iberien,イベリア国家弁務管理区
RKC,Reichskommisariat Balkan,バルカン国家弁務管理区
RGB,Reichskommisariat Grossbritannien,グロスブリタンニエン国家弁務管理区
RKA,Reichskommisariat Mittelafrika,ミッテルアフリカ国家弁務管理区
RNA,Reichskommisariat Nordafrika,ノルトアフリカ国家弁務管理区
RKV,Reichskommisariat Klein Venedig,小ヴェネツィア国家弁務管理区
RAN,Reichskommisariat Anden,アンデン国家弁務管理区
RCO,Reichskommisariat Kolumbus,コロンブス国家弁務管理区
RUS,Reichskommisariat Nordamerika,北アメリカ国家弁務管理区
RHD,Reichskommisariat Grosshindustan,ヒンドゥスタン国家弁務管理区
RAR,Reichskommisariat Arabien,アラビア国家弁務管理区
ROA,Reichskommisariat Ostasien,東アジア国家弁務管理区
RAA,Reichskommisariat Australasien,オーストラレーシア国家弁務管理区
GAR,Guarani,グアラニー国
INC,Inca,ネオ・インカ国
MIS,Miskito,ミスキート
MAY,Maya,マヤ
INU,Inuit,イヌイット
CHR,Charrua,チャルーア国
ITZ,Itza,イッツァ国
NAH,Nahua,ナワ国
IAS,Isthmo Amerindia,イストモ・アメリンディア
