TAG,地域,JP,capital,LTL,STL,TTL,ATL,NTL,ITL,DID,PID,TL,PS
ALG,Africa,アルジェリア,459,0,-,-,-,-,-,-,n,-,-
ANG,Africa,アンゴラ,540,0,m,-,-,-,-,-,n,-,N
BOT,Africa,ボツワナ,542,0,m,-,-,-,-,-,n,-,N
BRD,Africa,ブルンジ,769,0,-,-,-,-,-,-,d,-,-
CHA,Africa,チャド,774,0,-,-,-,-,-,-,n,-,-
CMR,Africa,カメルーン,773,0,-,-,-,-,-,-,n,-,-
COG,Africa,コンゴ,295,0,m,-,-,-,-,-,n,-,N
DAH,Africa,ダホメ,776,0,-,-,-,-,-,-,n,-,-
DJI,Africa,ジブチ,268,0,-,-,-,-,-,-,n,-,-
EGY,Africa,ｴｼﾞﾌﾟﾄ,446,0,-,0,-,-,-,-,n,-,-
EQG,Africa,赤道ギニア,297,0,-,-,-,-,-,-,n,-,-
ERI,Africa,エリトリア,550,0,-,-,-,-,-,-,d,-,-
ETH,Africa,エチオピア,271,0,m,-,-,-,-,-,n,-,-
GAB,Africa,ガボン,539,0,-,-,-,-,-,-,n,-,-
GAM,Africa,ガンビア,701,0,-,-,-,-,-,-,d,-,-
GHA,Africa,ガーナ,274,0,-,-,-,-,-,-,n,-,-
GNA,Africa,ギニア,780,0,-,-,-,-,-,-,n,-,-
GNB,Africa,ギニアビサウ,296,0,-,-,-,-,-,-,C,-,-
IVO,Africa,コートジボワール,779,0,-,-,-,-,-,-,n,-,-
KEN,Africa,ケニア,547,0,m,-,-,-,-,-,N,-,N
LBA,Africa,リビア,448,-,-,-,-,-,-,-,n,-,-
LIB,Africa,リベリア,298,0,-,-,-,-,-,-,-,-,-
MAD,Africa,マダガスカル,543,0,-,-,-,-,-,-,N,-,-
MAR,Africa,モロッコ,448,0,-,-,-,-,-,-,1,-,-
MLI,Africa,マリ,556,0,-,-,-,-,-,-,n,-,-
MLW,Africa,マラウィ,770,0,-,-,-,-,-,-,n,-,-
MRT,Africa,モーリタニア,557,0,-,-,-,-,-,-,n,-,-
MZB,Africa,モザンビーク,544,0,m,-,-,-,-,-,n,-,N
NGA,Africa,ナイジェリア,558,0,-,-,-,-,-,-,n,-,-
NGR,Africa,ニジェール,781,0,-,-,-,-,-,-,n,-,-
NMB,Africa,ナミビア,541,0,-,-,-,-,-,-,d,-,-
RCG,Africa,中部コンゴ,772,0,-,-,-,-,-,-,n,-,-
RWA,Africa,ルワンダ,768,0,-,-,-,-,-,-,n,-,-
SEN,Africa,セネガル,272,0,-,-,-,-,-,-,d,-,-
SIE,Africa,シエラレオネ,700,0,-,-,-,-,-,-,d,-,-
SOM,Africa,ソマリア,559,0,-,-,-,-,-,-,n,-,-
SUD,Africa,スーダン,551,0,-,-,-,-,-,-,n,-,-
TOG,Africa,トーゴ,614,-,-,-,-,-,-,-,s,-,-
TUN,Africa,チュニジア,458,0,-,-,-,-,-,-,n,-,-
TZN,Africa,タンザニア,546,0,-,-,-,-,-,-,n,-,-
UGA,Africa,ウガンダ,548,0,-,-,-,-,-,-,d,-,-
VOL,Africa,オートボルタ,778,0,-,-,-,-,-,-,n,-,-
WES,Africa,サハラ砂漠,271,-,-,-,-,-,-,-,n,-,-
ZAM,Africa,ザンビア,771,0,-,-,-,-,-,-,d,-,-
ZIM,Africa,ジンバブエ,545,0,m,-,-,-,-,-,N,-,N
CAR,Africa,中央アフリカ,660,0,-,-,-,-,-,-,n,-,-
PML,Africa,メリリャ,1098,-,-,-,-,-,-,-,-,-,-
CEU,Africa,セウタ,1101,-,-,-,-,-,-,-,-,-,-
AFG,Asia,アフガニスタン,267,0,-,1,-,-,-,-,n,-,-
ALT,Asia,アルタイ,654,3,2,1,2,3,-,0,d,-,-
BAN,Asia,バングラデシュ,430,0,-,-,-,-,-,-,d,-,-
BHU,Asia,ブータン,324,0,m,-,-,-,-,-,n,-,N
BRM,Asia,ビルマ,288,0,-,-,-,-,-,-,d,-,-
BUK,Asia,ブハラ,830,3,2,1,2,3,-,0,d,-,-
BYA,Asia,ブリヤート,564,3,2,1,2,3,-,0,d,-,-
CHN,Asia,中華,622,2,2,2,-,2,1,0,C,-,-
CKK,Asia,チュクチ,822,3,2,1,2,3,-,0,d,-,-
FER,Asia,極東,563,3,2,1,2,3,-,0,d,1,-
FIJ,Asia,フィジー,636,0,-,-,-,-,-,-,d,-,-
FSM,Asia,ミクロネシア,684,0,-,-,-,-,-,-,d,-,-
GMI,Asia,グアム,638,0,-,-,-,-,-,-,d,-,-
GXC,Asia,広西,594,0,-,-,-,-,-,-,n,-,N
HAW,Asia,ハワイ,629,1,1,-,1,-,2,0,-,-,-
IDN,Asia,インドネシア,288,0,-,-,-,-,-,-,N,-,-
IND,Asia,インド,439,1,0,0,-,0,1,0,-,-,-
JPN,Asia,日本,902,2,2,3,-,4,2,-,M,2,M
KAZ,Asia,カザフスタン,586,3,2,1,2,3,-,0,-,1,-
KHI,Asia,ヒヴァ,831,3,2,1,2,3,-,0,d,-,-
KHM,Asia,カンボジア,741,1,-,-,-,-,-,-,-,1,-
KKP,Asia,カラカルパクスタン,823,3,2,1,2,3,-,0,d,-,-
KOR,Asia,朝鮮,525,0,-,-,-,-,-,-,m,-,-
KYR,Asia,キルギス,732,0,-,-,-,-,-,-,d,-,-
LAO,Asia,ラオス,670,1,-,-,-,-,-,-,-,1,-
MAL,Asia,マレーシア,336,1,0,1,-,-,-,-,-,1,-
MAN,Asia,満州,328,0,-,-,-,-,-,-,F,-,-
MDV,Asia,モルディブ,281,0,-,-,-,-,-,-,-,-,-
MEN,Asia,蒙古,611,0,-,-,-,-,-,-,F,-,-
MON,Asia,ガンダーラ,330,0,-,-,-,-,-,-,1,-,-
NEN,Asia,ネネツ,825,3,2,1,2,3,-,0,d,1,-
NEP,Asia,ネパール,323,0,m,-,-,-,-,-,n,-,N
PAK,Asia,パキスタン,440,1,0,-,-,-,-,-,-,-,-
PHI,Asia,フィリピン,327,1,-,-,-,-,-,-,-,-,-
PNG,Asia,パプアニューギニア,523,0,-,-,-,-,-,-,d,-,-
SHX,Asia,山西,615,0,-,-,-,-,-,-,n,-,N
SIA,Asia,シャム,289,0,-,-,0,-,-,-,n,-,-
SIK,Asia,新彊,617,0,-,-,-,-,-,-,C,-,-
SMA,Asia,サモア,614,0,0,-,-,-,-,-,s,-,-
SOL,Asia,ソロモン諸島,634,0,-,-,-,-,-,-,d,-,-
SRL,Asia,スリランカ,422,0,-,-,-,-,-,-,d,-,-
TAH,Asia,タヒチ,641,0,-,-,-,-,-,-,n,-,-
TAJ,Asia,タジキスタン,742,0,-,-,-,-,-,-,d,-,-
TIB,Asia,チベット,757,0,-,-,-,-,-,-,n,-,N
TMS,Asia,トルクメニスタン,584,0,-,-,-,-,-,-,d,-,-
UZB,Asia,ウズベキスタン,405,0,-,-,-,-,-,-,d,-,-
VLA,Asia,ウラジオストク,408,3,2,1,2,3,-,0,d,1,-
VNM,Asia,ベトナム,671,0,-,-,-,-,-,-,M,-,-
XSM,Asia,西北,604,0,-,-,-,-,-,-,n,-,N
YAK,Asia,サハ,574,3,2,1,2,3,-,0,d,-,-
YAM,Asia,ヤマリア,579,3,2,1,2,3,-,0,d,-,-
YUN,Asia,雲南,325,0,-,-,-,-,-,-,n,-,-
KDB,Asia,コンバウン王国,288,-,-,-,-,-,-,-,-,-,-
CHK,Asia,中国,613,0,-,0,1,B,-,0,-,-,-
BKK,Asia,バンコク,289,0,-,-,0,3,-,-,n,-,-
CCS,Asia,南西諸島,926,1,0,1,-,1,-,-,N,1,-
CHI,Asia,中華,613,0,-,0,1,B,-,0,d,-,-
CTO,Asia,威海衛,942,1,0,1,-,2,-,-,m,1,-
DRS,Asia,シンガポール,839,1,0,1,-,2,-,-,-,1,-
EAH,Asia,地球,902,1,0,1,-,B,-,-,N,1,-
EJR,Asia,東方エルサレム,942,1,0,1,-,1,-,-,N,1,-
JYO,Asia,上,614,-,-,-,-,-,-,-,s,-,-
ERO,Asia,エロマンガ,284,0,-,-,-,-,-,-,1,-,-
FRP,Asia,太平洋,632,1,0,1,-,2,-,-,N,1,-
GEN,Asia,元寇,614,-,-,-,-,-,-,-,s,-,-
SHI,Asia,志,614,-,-,-,-,-,-,-,s,-,-
THR,Asia,三,614,-,-,-,-,-,-,-,s,-,-
KSM,Asia,カシミール,513,0,-,-,-,-,-,-,1,-,-
MME,Asia,満州＝蒙古,328,-,-,-,-,-,-,-,m,2,-
MUU,Asia,ムー,887,1,0,1,-,-,-,-,N,1,-
NSI,Asia,北センチネル島,943,-,-,-,-,1,-,-,0,4,-
NTS,Asia,ナントカスタン,405,0,-,-,-,-,-,-,d,-,-
ORI,Asia,沖縄諸島,526,1,0,1,-,-,-,-,N,1,-
