Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Eagle,ENG,,CV,22600,26 February 1924,sunk 11 August 1942
Earle,USA,Gleaves,DD,1630,1 September 1942,"decommissioned 1947, scrapped 1970"
Eastview,Royal Canadian Navy,River,FF,1445,3 June 1944,paid off 17 January 1946
Eberle,USA,Gleaves,DD,1630,4 December 1940,"Transferred to Greece, 22 January 1951, scrapped 1972"
Echo,Royal Navy  Hellenic Navy,E,DD,1405,22 October 1934,"to Greece as Navarion 5 April 1944, scrapped April 1956"
Edgehill,ENG,,Special Service Ship,4702,,sunk 29 June 1940
Edinburgh,ENG,Town,CL,11500,6 July 1939,lost 2 May 1942
Edison,USA,Gleaves,DD,1630,31 January 1941,"decommissioned 1946, scrapped 1966"
Edmundston,Royal Canadian Navy,Flower,K,925,21 October 1941,paid off 16 June 1945
Edwards,USA,Gleaves,DD,1630,18 September 1942,"decommissioned 1946, scrapped 1973"
Effingham,ENG,Hawkins,CA,9750,2 July 1925,wrecked 18 May 1940
Eggesford,ENG,Hunt,DE,1050,21 January 1943,paid off 1946
Eglantine,Royal Norwegian Navy,Flower,K,925,29 August 1941,scrapped June 1969
Eglinton,ENG,Hunt,DE,1000,28 August 1940,"paid off 1945, scrapped 1956"
Eidsvold,Royal Norwegian Navy,Eidsvold,coastal defence ship,4233,1 March 1901,sunk 9 April 1940
El Amir Farouq,Egyptian Navy,,patrol vessel,1441,1936,sunk 22 October 1948
El Dorado,USA,Mount McKinley,amphibious command ship,7350,25 August 1944,"Decommissioned 8 November 1972, scrapped 1976"
Ellet,USA,Benham,DD,1500,17 February 1939,scrapped 1947
Elli,Hellenic Navy,Chao Ho,protected cruiser,2115,November 1913,sunk 15 August 1940
Ellyson,USA,Gleaves,DD,1630,28 November 1941,"to Japan 1954, scrapped 1970"
Emanuele Filiberto Duca d'Aosta,Regia Marina,Duca d'Aosta,CL,8450,13 July 1935,"ceded to USSR 1949, renamed Kerch, scrapped in 1960s"
Emden,GER,,CL,5600,October 1925,scuttled 3 May 1945
Emerald,ENG,Emerald,CL,7580,14 January 1926,scrapped July 1948
Émile Bertin,French Navy  Free French Naval Forces,,CL,5886,28 January 1935,scrapped 1959
Emmons,USA,Gleaves,DD,1630,5 December 1941,sunk 6 April 1945
Emperor,ENG,Ruler,CVE,11400,6 August 1943,"paid off 28 March 1946, scrapped 1946"
Empire Activity,ENG,Empire,merchant aircraft carrier,14250,29 September 1942,20 October 1945
Empire Audacity,ENG,Empire,merchant aircraft carrier,11000,20 June 1941,Sunk 21 December 1941
Empire MacAlpine,ENG,Empire,merchant aircraft carrier,8000,14 April 1943,transferred to merchant service post-war; renamed Derryname
Empire MacAndrew,ENG,Empire,merchant aircraft carrier,8000,7 July 1943,transferred to merchant service post-war; renamed Derryheen
Empire MacCabe,ENG,Empire,merchant aircraft carrier,9000,November 1943,"Transferred to merchant service 1946, renamed British Escort"
Empire MacCallum,ENG,Empire,merchant aircraft carrier,8000,22 December 1943,transferred to merchant service post-war; renamed Alpha Zambesi
Empire MacColl,ENG,Empire,merchant aircraft carrier,9000,November 1943,"Transferred to merchant service 1946, renamed British Pilot"
Empire MacDermott,ENG,Empire,merchant aircraft carrier,8000,31 March 1944,transferred to merchant service post-war; renamed La Cumbre
Empire MacKay,ENG,Empire,merchant aircraft carrier,9000,5 October 1943,"Transferred to merchant service 1946, renamed British Swordfish"
Empire MacKendrick,ENG,Empire,merchant aircraft carrier,8000,December 1943,transferred to merchant service post-war; renamed Granpond
Empire MacMahon,ENG,Empire,merchant aircraft carrier,9000,December 1943,"Transferred to merchant service 1946, renamed Naninia"
Empire MacRae,ENG,Empire,merchant aircraft carrier,8000,20 September 1943,"Returned to merchant service 1947, renamed Alpha Zambesi"
Empress,ENG,Ruler,CVE,7800,9 August 1943,"paid off 28 March 1946, scrapped 1946"
Endicott,USA,Gleaves,DD,1630,25 February 1943,"decommissioned 1955, scrapped 1970"
England,USA,Buckley,DE,1400,10 December 1943,"sold and broken up, 26 November 1946"
Enterprise,ENG,Emerald,CL,7580,7 April 1926,scrapped April 1946
Enterprise,USA,Yorktown,CV,25100,12 May 1938,"decommissioned 1947,scrapped 1959"
Entre Rios,Argentine Navy,Buenos Aires,DD,1375,,
Erebus,ENG,Erebus,BM,8000,2 September 1916,Scrapped July 1946
Erica,ENG,Flower,K,925,9 August 1940,sunk 9 February 1943
Ericsson,USA,Gleaves,DD,1630,13 March 1941,"decommissioned 1946, sunk as target 1970"
Eridge,ENG,Hunt,DE,1050,28 February 1941,scrapped 1946
Eritrea,Regia Marina,,SL,2200,1937,"ceded to France 1948, renamed Francis Garnier, expended as target 1966"
Eskdale,Royal Norwegian Navy,Hunt,DE,1050,31 July 1942,sunk 14 April 1943
Eskimo,ENG,Tribal,DD,2020,30 December 1938,scrapped 1949
Essex,USA,Essex,CV,30800,31 December 1942,"decommissioned 30 June 1969, scrapped 1975"
Ettrick,Royal Navy  Royal Canadian Navy,River,FF,1445,11 July 1943,"to Canada 29 January 1944, paid off 30 May 1945"
Eugenio di Savoia,Regia Marina,Duca d'Aosta,CL,8750,16 January 1936,"ceded to Greece 1950, renamed Elli, scrapped 1973"
Evertsen,Netherlands,Admiralen,DD,1337,12 April 1928,"Destroyed, 1 March 1942"
Exeter,ENG,York,CA,8390,23 July 1931,sunk 1 March 1942
Exmoor (I),ENG,Hunt,DE,1000,18 October 1940,"sunk by E-boat S-30, 25 February 1941"
Exmoor (II),ENG,Hunt,DE,1050,18 October 1941,November 1945
Explorer,United States Coast and Geodetic Survey,,survey ship,1800,Spring 1940,decommissioned 1968[5][6][7][8]
Express,Royal Navy  Royal Canadian Navy,E,DD,1405,29 May 1934,"Transferred to RCN June 1943 as Gatineau, paid off 1955"
Eyebright,Royal Navy  Royal Canadian Navy,Flower,K,925,26 November 1940,"to Canada 15 May 1941, paid off 17 June 1945"
