Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
L23,ENG,L,SS,1106,31 October 1924,paid off May 1946
L26,ENG,L,SS,1106,11 October 1926,sunk as target 1 November 1946
L27,ENG,L,training submarine,1106,,scrapped 1944
La Argentina,Argentine Navy,,training light cruiser,6500,April 1939,discarded 1974
La Bastiaise,FRA,Flower,K,925,22 June 1940,sunk 22 June 1940
La Galissonnière,FRA,La Galissonnière,CL,7600,1 January 1936,scuttled 27 November 1942
La Hulloise,Royal Canadian Navy,River,FF,1445,6 December 1945,paid off 16 July 1965
La Malbaie,Royal Canadian Navy,Flower,K,925,28 April 1942,paid off 28 June 1945
La Malouine,ENG,Flower,K,925,29 July 1940,
La Rioja,Argentine Navy,Mendoza,DD,1570,23 July 1929,30 April 1962
Lachute,Royal Canadian Navy,Flower modified,K,1015,26 October 1944,10 July 1945
Laffey (I),USA,Benson,DD,1620,31 March 1942,sunk 13 November 1942
Laffey (II),USA,Sumner,DD,2200,8 February 1944,"decommissioned 1975, memorial at Charleston, SC"
Laforey,ENG,L,DD,1920,26 August 1941,sunk 30 March 1944 by U-223
Lagos,ENG,Battle,DD,2325,2 November 1945[5],"paid off 1960, scrapped 1967"
Lahore,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Lake Champlain,USA,Ticonderoga,CV,27100,3 June 1945,"decommissioned 2 May 1966, scrapped 1972"
Lamberton,USA,Wickes,DAM,1090,22 August 1918,scrapped 9 May 1947
Lambridge,ENG,,Special Service Ship,5119,,paid off March 1941
Lamerton,ENG,Hunt,DD,1000,16 August 1941,scrapped 1975
Lamotte-Piquet,FRA,Duguay-Trouin,CL,7249,5 March 1927,sunk 12 January 1945
Lamson,USA,Mahan,DD,1450,21 October 1936,"sunk in A-bomb test, 1946"
Lanark,Royal Canadian Navy,River,FF,1445,6 July 1944,paid off 19 March 1965
Lance,ENG,L,DD,1920,13 May 1941,constructive loss and scrapped April 1942
Lang,USA,Benham,DD,1500,30 March 1939,scrapped 1947
Langley,USA,,Seaplane carrier,11500,7 April 1913,sunk 27 February 1942
Langley,USA,Independence,CVL,11000,31 August 1943,"decommissioned 11 February 1947, scrapped 1964"
Lansdale,USA,Benson,DD,1620,17 September 1940,sunk 20 April 1944
Lansdowne,USA,Gleaves,DD,1630,29 April 1942,"to Turkey 1949, scrapped 1973"
Lardner,USA,Gleaves,DD,1630,13 May 1942,"to Turkey 1949, sunk as target 1982"
Larkspur,Royal Navy  United States Navy,Flower,K,925,4 June 1940,"to USA as Fury 17 March 1942, to UK on 22 August 1945"
Lasalle,Royal Canadian Navy,River,FF,1445,29 June 1944,paid off 17 December 1945
Latona,ENG,Abdiel,CM,2650,4 May 1941,lost 25 October 1941
Laub,USA,Benson,DD,1620,24 October 1942,"decommissioned 1946, scrapped 1975"
Lauderdale,ENG,Hunt,DD,1050,August 1942,"paid off 1946, scrapped 1960"
Lauzon,Royal Canadian Navy,River,FF,1445,30 August 1944,paid off 24 May 1963
Lavender,ENG,Flower,K,925,16 May 1941,
Lawford,ENG,Captain,FF,1140,3 November 1943,sunk 8 June 1944
Lawrence,Royal Indian Navy,,SL,1245,27 December 1919,1947
Leamington,Royal Navy  Royal Canadian Navy  Soviet Navy,Town,DD,1327,23 October 1940,"to Canada October 1942, to USSR 16 July 1944"
Leander,Royal New Zealand Navy,Leander,CL,6985,23 July 1931,"former HMS Leander, to NZ April 1937, returned to UK May 1944, scrapped 1950"
Ledbury,ENG,Hunt,DD,1050,,scrapped April 1958
Leeds,ENG,Town,DD,1125,12 January 1918,paid off April 1945
Legion,ENG,L,DD,1920,19 December 1940,sunk 26 March 1942
Leipzig,GER,Leipzig,CL,6515,8 October 1931,scuttled 11 July 1946
Leningrad,Soviet Navy,Leningrad,DD,2150,December 1936,scrapped in 1960
Leon,Hellenic Navy,Aetos,DD,1030,19 October 1912,sunk 15 May 1941
Leopard,GER,Raubtier,torpedo boat,1320,1 June 1928,sunk on 30 April 1940
Léopard,Free French Naval Forces,Chacal,DD,2126,31 August 1940,sunk 27 May 1943
Lethbridge,Royal Canadian Navy,Flower,K,925,25 June 1941,paid off 23 July 1945
Levis (I),Royal Canadian Navy,Flower,K,925,16 May 1941,sunk 19 September 1941 by U-74
Levis (II),Royal Canadian Navy,River,FF,1445,21 July 1944,paid off 21 February 1946
Lewes,ENG,Town,DD,1125,23 October 1940,scuttled 25 May 1946
Lexington (I),USA,Lexington,CV,33000,14 December 1927,sunk 8 May 1942
Lexington (II),USA,Essex,CV,27100,17 February 1943,decommissioned 8 November 1991; museum ship
ARA Libertad,Argentine Navy,Libertad,riverine battleship,2336,26 November 1892,paid off 1947
Liddesdale,ENG,Hunt,DD,1000,28 February 1941,Scrapped 1948
Lightning,ENG,L,DD,1920,28 May 1941,sunk 12 March 1943
Limbourne,ENG,Hunt,DD,1050,24 October 1942,sunk 23 October 1943
Linaria,ENG,Flower modified,K,1015,19 June 1943,paid off 15 January 1948
Lincoln,Royal Navy  Royal Norwegian Navy  Royal Canadian Navy  Soviet Navy,Town,DD,1190,20 October 1940,"to Norway February 1942, Canada July 1942-December 1943, Soviet Union August 1944, scrapped 1952"
Lindsay,Royal Canadian Navy,Flower modified,K,1015,15 November 1943,18 July 1945
Ling,ENG,Flower,K,925,,cancelled 23 January 1941
Liscome Bay,USA,Casablanca,CVE,7800,7 August 1943,lost in action 24 November 1943
Littorio,Regia Marina,Littorio,BB,43835,6 May 1940,"renamed Italia, scrapped 1948"
Lively,ENG,L,DD,1920,20 July 1941,sunk 11 May 1942
Livermore,USA,Gleaves,DD,1630,7 October 1940,Sold 3 March 1961 for scrapping
Lobelia,Free French Naval Forces,Flower,K,925,16 July 1941,April 1947
Loch Achanalt,Royal Canadian Navy,Loch,FF,1435,31 July 1944,"paid off July 1945, transferred to the Royal New Zealand Navy in 1945, scrapped in 1965"
Loch Alvie,Royal Canadian Navy,Loch,FF,1435,10 August 1944,"paid off June 1945, transferred to the Royal Navy in 1945, scrapped in 1965"
Loch Insh,ENG,Loch,FF,1435,20 October 1944,scrapped in 1977
Loch Morlich,Royal Canadian Navy,Loch,FF,1435,17 July 1944,"paid off June 1945, scrapped in 1966"
London,ENG,County,CA,9850,31 January 1929,scrapped 1950
Long Branch,Royal Canadian Navy,Flower modified,K,1015,5 January 1944,17 June 1945
Long Island,USA,Long Island,CVE,13500,2 June 1941,decommissioned 26 March 1946
Longueuil,Royal Canadian Navy,River,FF,1445,18 May 1944,paid off 31 December 1946
Looe,ENG,,Special Service Ship,1030,,paid off March 1941
Lookout,ENG,L,DD,1920,30 January 1942,"paid off 19 October 1945, scrapped February 1948"
Loosestrife,ENG,Flower,K,925,25 November 1941,"Sold, 7 October 1946"
Lorelei,GER,PB,,1640,25 April 1943,"former Artevelde (Belgium), later K4, scrapped 1954"
Lorraine,French Navy  Free French Naval Forces,Bretagne,BB,22200,27 July 1916,Decommissioned 17 February 1953
Los Angeles,USA,Baltimore,CA,17200,22 July 1945,scrapped 1974
Lothringen,GER,,CM,1975,December 1941,sold to merchant service post-war
Lotus,ENG,Flower,K,925,23 May 1942,
Louisburg (I),Royal Canadian Navy,Flower,K,925,2 October 1941,sunk on 6 February 1943 by Luftwaffe aircraft
