Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Quadrant,ENG,Q,DD,1692,26 November 1942,Paid off late 1945
Quail,ENG,Q,DD,1692,7 January 1943,"Damaged by mine 15 November 1943, sunk under tow 18 May 1944"
Quality,ENG,Q,DD,1692,7 September 1942,Paid off 8 October 1945
Quantock,ENG,Hunt,DD,1050,6 February 1941,Scrapped 1978
Queen,ENG,Ruler,CVE,8333,7 December 1943,"Paid off July 1947, scrapped 1972"
Queen Elizabeth,ENG,Queen Elizabeth,BB,31000,22 December 1914,Decommissioned and scrapped 1948
Queenborough,ENG,Q,DD,1692,15 September 1942,Paid off September 1945
Quentin,ENG,Q,DD,1692,15 April 1942,Sunk 2 December 1942
Quesnel,Royal Canadian Navy,Flower,K,925,23 May 1941,Paid off 3 July 1945
Quetta,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Quiberon,ENG,Q,DD,1692,22 October 1942,26 June 1964
Quick,USA,Gleaves,DD,1630,3 July 1942,"Decommissioned 1949, scrapped 1973"
Quickmatch,ENG,Q,DD,1692,14 September 1942,Paid off 26 April 1963
Quidora,CHL,H,SS,441,1917,Scrapped 1945
Quilliam,ENG,Q,DD,1692,22 October 1942,21 November 1945
Quincy (II),USA,New Orleans,CA,9375,9 June 1936,Sunk 9 August 1942
Quincy (III),USA,Baltimore,CA,13600,December 1943,Decommissioned 1954 and scrapped in 1974
Quorn,ENG,Hunt,DD,1050,21 September 1940,Sunk 3 August 1944
