Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
T13,GER,Type 37,torpedo boat,1098,31 May 1941,"sunk in the Skagerrak by RAF bombers, 10 April 1945"
T14,GER,Type 37,torpedo boat,1098,14 June 1941,to France as Dompaire 1947; struck November 1951 and scrapped
T15,GER,Type 37,torpedo boat,1098,26 June 1941,"Sunk in air raid at Kiel, 13 December 1943"
T16,GER,Type 37,torpedo boat,1098,24 July 1941,Damaged beyond repair 13 April 1945; scrapped September 1946
T17,GER,Type 37,torpedo boat,1098,18 August 1941,To USSR as destroyer Poryvisty 1946; struck December 1959
T18,GER,Type 37,torpedo boat,1098,22 November 1941,"Sunk by Soviet rocket attack off the Åland Islands, 17 September 1944"
T19,GER,Type 37,torpedo boat,1098,18 December 1941,to USA 1945; sold to Denmark 1947; scrapped 1951
T20,GER,Type 37,torpedo boat,1098,5 June 1942,to France as Baccarat 1946; struck October 1951 and scrapped
T21,GER,Type 37,torpedo boat,1098,11 July 1942,"to USA 1945; scuttled in Skagerrak, 1946"
Taihō,JPN,Taihō,CV,29300,7 March 1944,Sunk 19 June 1944
Taiyō,JPN,Taiyō,CVE,18116,2 September 1941,sunk 18 August 1944
Takanis Bay,USA,Casablanca,CVE,7800,15 April 1944,scrapped 29 June 1960
Takao,JPN,Takao,CA,13160,31 May 1932,sunk 31 July 1945
Talybont,ENG,Hunt,DD,1050,19 May 1943,paid off 1947; sold for scrap 1961
Tama,JPN,Kuma,CL,5100,29 January 1921,sunk 20 October 1944
Tamarisk,Royal Navy  Hellenic Navy,Flower,K,925,November 1943,to Greece as Tombazis November 1943; scrapped 1952
Tanatside,ENG,Hunt,DD,1050,August 1942,paid off 1946; scrapped 1964
Tannenberg,GER,,CM,1098,2 September 1939,9 July 1941
Tapperheten,Swedish Navy,Äran,coastal defence ship,3650,April 1903,"paid off June 1947, scrapped 1952"
Taranto,Regia Marina,Magdeburg,CL,3184,1925,former German Strassburg; scuttled 23 September 1943
Tarmo,Finland,,escort and icebreaker,2300,4 January 1908,29 May 1969; museum ship from May 1992
Tartar,ENG,Tribal,DD,2020,10 March 1939,Scrapped 22 February 1948
Tasajera,ENG,Maracaibo,LST,4193,December 1941,paid off 1945
Tatsuta,JPN,Tenryu,CL,4350,31 May 1919,Sunk 13 March 1944
Tattnall,USA,Wickes,DD,1060,26 June 1919,Decommissioned 17 December 1945
Taylor,USA,Fletcher,DD,2050,28 August 1942,Decommissioned 31 May 1946
Teazer,ENG,T,DD,1710,13 September 1943,Scrapped 7 August 1965
Tegualda,CHL,H,SS,441,1917,scrapped 1945
Teme,Royal Canadian Navy,River,FF,1445,28 February 1944,"Torpedoed 29 March 1945, constructive total loss"
Tenacious,ENG,T,DD,1710,30 October 1943,scrapped June 1965
Tennessee,USA,Tennessee,BB,33190,3 June 1920,"Decommissioned 14 February 1947, scrapped 1959"
Tenryū,JPN,Tenryū,CL,4350,20 November 1919,Sunk 18 December 1942
Termagant,ENG,T,DD,1710,8 October 1943,"paid off 1960, scrapped 5 November 1965"
Terpsichore,ENG,T,DD,1710,20 January 1944,scrapped 17 May 1966
Teruzuki,JPN,Akizuki,DD,2700,11 June 1942,sunk 12 December 1942
Terror,ENG,Erebus,BM,8000,6 August 1916,Sunk 24 February 1941
Tetcott,ENG,Hunt,DD,1050,2 December 1941,scrapped 1956
Teviot,Royal Navy  South African Navy,River,FF,1370,30 January 1943,"to South Africa 10 June 1945, scrapped March 1955"
Texas,USA,New York,BB,27000,12 March 1914,Decommissioned 21 April 1948; museum ship
Thane,ENG,Ruler,CVE,7800,19 November 1943,"paid off October 1945, scrapped 1946"
The Pas,Royal Canadian Navy,Flower,K,925,21 October 1941,paid off 24 July 1945
Thetford Mines,Royal Canadian Navy,River,FF,1445,24 May 1944,paid off 18 November 1945
Thetis,GER,Tordenskjold,coastal defence ship,3858,21 March 1898,"ex-HNoMS Harald Haarfagre, captured by Germany 9 April 1940, scrapped 1948"
Thetis Bay,USA,Casablanca,CVE,7800,12 April 1944,scrapped December 1964
Thompson,USA,Gleaves,DD,1630,10 July 1943,"decommissioned 1954, scrapped 1972"
Thonburi,Royal Thai Navy,Thonburi,coastal defence ship,2265,31 January 1938,"wrecked 17 January 1941, refitted, struck 19 June 1959"
Thor,GER,,MC,9200,15 March 1940,accidentally burnt 30 November 1942
Thorlock,Royal Canadian Navy,Flower modified,K,1015,13 November 1944,15 July 1945
Thorn,USA,Gleaves,DD,1630,1 April 1943,"decommissioned 1946, sunk as target 1974"
Thyme,ENG,Flower,K,925,23 October 1941,
Ticonderoga,USA,Essex,CV,30800,8 May 1944,"decommissioned 1 September 1973, scrapped 1975"
Tiger,GER,Raubtier,torpedo boat,1320,15 January 1929,wrecked in collision with the Z3 Max Schultz 25 August 1939
Tillman,USA,Gleaves,DD,1630,4 June 1942,"decommissioned 1947, scrapped 1972"
Timmins,Royal Canadian Navy,Flower,K,925,10 February 1942,paid off 15 July 1945
Tirpitz,GER,Bismarck,BB,42900,25 February 1941,sunk 12 November 1944
Tjerk Hiddes,Royal Netherlands Navy,N,DD,1760,27 May 1942,"Transferred to Indonesia 1 March 1951, renamed Gadja Mada. Scrapped 1961"
Togo,GER,,Night fighter direction vessel,12700,13 August 1938,"post-war troop transport, sold into merchant service November 1956; ran aground off Mexico 21 November 1984"
Tokiwa,JPN,Asama,armored cruiser,9700,18 May 1899,Sunk 9 August 1945
Tone,JPN,Tone,CA,15200,30 November 1938,Sunk 14 July 1945
Topeka,USA,Cleveland,CL,11800,23 December 1944,"converted to missile cruiser 1960, scrapped 1975"
Toronto,Royal Canadian Navy,River,FF,1445,6 May 1944,paid off 14 April 1956
Torridge,Royal Navy  Free French Naval Forces,River,FF,1370,1944,to Free French 1944 as Surprise
Tourville,French Navy  Free French Naval Forces,Duquesne,CA,10000,1 December 1928,condemned 1962
Tracker,ENG,Ruler,CVE,14400,31 January 1943,"paid off 2 November 1946, scrapped 1964"
Trafalgar,ENG,Battle,DD,2325,23 July 1945,"paid off 1963, scrapped 1970"
Trail,Royal Canadian Navy,Flower,K,925,30 April 1941,paid off 17 July 1945
Transylvania,ENG,,armed merchant cruiser,16923,5 October 1939,sunk 10 August 1940
Transvaal,South African Navy,Loch,FF,1435,21 May 1945,"Decommissioned 14 August 1964, and sunk as artificial reef"
Travancore,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Trento,Regia Marina,Trento,CA,10511,1929,sunk 14 June 1942
Trentonian,Royal Canadian Navy,Flower modified,K,1015,1 December 1943,sunk 22 February 1945 by U-1004
Trenton,USA,Omaha,CL,7050,19 April 1924,scrapped 1946
Trieste,Regia Marina,Trento,CA,10511,1928,sunk 1943
Trillium,Royal Canadian Navy,Flower,K,925,31 October 1940,paid off 27 June 1945
Trinidad,ENG,Fiji,CL,8000,14 October 1941,sunk 15 May 1942
Tripoli,USA,Casablanca,CVE,7800,31 October 1943,scrapped 1960
Trippe,USA,Benham,DD,1500,1 November 1939,scuttled after A-bomb test 1948
Tromp,Royal Netherlands Navy,Tromp,light cruiser/flotilla leader,3455,18 August 1938,decommissioned 1955
Troubridge,ENG,T,DD,1710,8 March 1943,"paid off 27 March 1969, scrapped 1970"
Trouncer,ENG,Ruler,CVE,7800,31 January 1944,"paid off 12 April 1946, scrapped 1973"
Trumpeter,ENG,Ruler,CVE,7800,4 August 1943,"paid off 19 June 1946, scrapped 1971"
Tucker,USA,Mahan,DD,1450,23 July 1936,sunk 4 August 1942
Tucuman,Argentine Navy,Mendoza,DD,1570,3 May 1929,Discarded 30 April 1962
Tucson,USA,Atlanta,CL,6000,3 February 1945,scrapped 1971
Tulagi,USA,Casablanca,CVE,7800,21 December 1943,decommissioned 30 April 1946
Tulip,ENG,Flower,K,925,18 November 1940,sold 1947 as whaling ship; laid up 1962; scrapped 1965
Tumult,ENG,T,DD,1710,2 April 1943,Scrapped 25 October 1965
Turner,USA,Gleaves,DD,1630,15 April 1943,exploded 3 January 1944
Tuscaloosa,USA,New Orleans,CA,9950,17 August 1934,"Decommissioned 13 February 1946, scrapped 1959"
Tuscan,ENG,T,DD,1710,11 March 1943,Scrapped 26 May 1966
Tsingtau,GER,,Supply escort and Schnellboot tender,2490,24 September 1934,February 1950
Tung Chi,Republic of China Navy,Fu An,gunship,1900,1895,Sunk 11 August 1937
Tunisien,Free French Naval Forces,Cannon,DE,1240,11 February 1944,Decommissioned May 1964
Tunsberg Castle,Royal Norwegian Navy,Castle-class corvette,K,1010,17 April 1944,former HMS Shrewsbury Castle; sunk 12 December 1944
Tynedale,ENG,Hunt,DD,1050,2 December 1940,sunk 12 December 1943
Tyrian,ENG,T,DD,1710,8 April 1943,scrapped 9 March 1965
