Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
U-25,GER,Type IA,SS,982,6 April 1936,Sunk 1 August 1940
U-37 – U-44,GER,Type IX,SS,1152,,
"U-65, U-66 U-103 – U-111 U-122 – U-124",GER,Type IXB,SS,1178,,
U-66 – U-68 U-125 – U-131 U-153 – U-166 U-171 – U-176 U-501 – U-524,GER,Type IXC,SS,1232,,
U-167 – U-170 U-183 – U-194 U-525 – U-550 U-801 – U-806 U-841 – U-846 U-853 – U-858 U-865 – U-870 U-877 – U-881 U-1221 – U-1235,GER,Type IXC/40,SS,1257,,U-877 was sunk by HMCS St. Thomas on 27 December 1944. All 56 members of the crew were saved.[5]
U-190,Kriegsmarine  Royal Canadian Navy,Type IXC/40,SS,1257,24 September 1942,"Surrendered to RCN 11 May 1945, commissioned 19 May, paid off 24 July 1947, scuttled October 21, 1947"
U-889,Kriegsmarine  Royal Canadian Navy,Type IXC/40,SS,1257,4 August 1944,"Surrendered to RCN 10 May 1945, commissioned 14 May, paid off December 1945, scuttled 1947"
U-177 – U-182 U-195 – U-200 U-847 – U-852 U-859 – U-864 U-871 – U-876,GER,Type IXD,SS,1799,,
U-459 – U-464 U-487 – U-490,GER,Type XIV,"submarine tender (""Milchkuh"")",1932,,
U-459 – U-464 U-487 – U-490,GER,Type XXI,"submarine (""Elektroboot"")",1819,,
U-D1,GER,H,training submarine,441,1915,"Sold to Netherlands 1917, scuttled and refloated by Germany 1939, paid off 23 November 1943"
Uganda,Royal Navy  Royal Canadian Navy,Crown Colony,CL,8800,21 October 1944,"Transferred to RCN as HMCS Uganda 21 October 1944, renamed HMCS Quebec 14 January 1952, scrapped 1961"
Ulster,ENG,U,DD,1777,30 June 1943,"Paid off 1977, scrapped 1980"
Ulysses,ENG,U,DD,1777,23 December 1943,"Paid off 1963, scrapped 1970"
Undaunted,ENG,U,DD,1777,3 March 1944,"Paid off 1974, sunk as target 1978"
Underhill,USA,Buckley,DE,1673,15 November 1943,Sunk 24 July 1945
Undine,ENG,U,DD,1777,23 December 1943,Scrapped November 1965
Unicorn,ENG,,aircraft maintenance carrier,16510,12 March 1943,Scrapped 1960
Unryū,JPN,Unryū,CV,17150,6 August 1944,Sunk 19 December 1944
Unyō,JPN,Taiyō,CVE,17830,31 August 1942,Sunk 15 September 1944
Ursa,ENG,U,DD,1777,23 December 1943,Paid off November 1966
Urchin,ENG,U,DD,1777,24 September 1943,"Paid off 1964, scrapped 1967"
Urania,ENG,U,DD,1777,18 January 1944,Scrapped 1971
Utah,USA,,radio controlled target-ship and anti-aircraft training ship,21825,31 August 1911,"Former Florida-class battleship, recommissioned in 1932, sunk 7 December 1941"
