Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
V7,Romanian Naval Forces,V7,river gunboat,,1943,"Built at the Galați shipyard in Romania in 1943, armed with one 37 mm AA cannon and four machine guns, to Soviet Union September 1944"
V8,Romanian Naval Forces,V7,river gunboat,,1943,"Built at the Galați shipyard in Romania in 1943, armed with one 37 mm AA cannon and four machine guns, fate unknown"
V12,Romanian Naval Forces,Project 1125,river gunboat,,1943,"Damaged captured Soviet warship, rebuilt at the Galați shipyard in Romania in 1943, armed with one 76 mm gun in a standard T-34 turret and up to 5 machine guns, to Soviet Union September 1944"
Väinämöinen,Finnish Navy,Väinämöinen,coastal defence ship,3900.0,29 April 1932,"To Soviet Union 29 May 1947, scrapped 1968"
Valiant,ENG,Queen Elizabeth,BB,31000.0,13 January 1916,Scrapped 1950
Valleyfield,Royal Canadian Navy,River,FF,1445.0,7 December 1943,Paid off 7 May 1944
Van Galen (I),Royal Netherlands Navy,Admiralen,DD,1680.0,20 February 1929,Sunk 10 May 1940
Van Galen (II),Royal Netherlands Navy,N,DD,1801.0,20 February 1942,Struck October 1956
Van Ghent,Royal Netherlands Navy,Admiralen,DD,1680.0,31 May 1928,Ran aground and was scuttled 15 February 1942
Van Kinsbergen,Royal Netherlands Navy,Van Kinsbergen,SL,1760.0,24 August 1939,"Decommissioned 29 May 1959, sold for scrap 19 February 1974"
Van Nes,Royal Netherlands Navy,Admiralen,DD,1337.0,12 March 1931,Sunk 17 February 1942
Vancouver,Royal Canadian Navy,Flower,K,925.0,20 March 1942,Paid off 26 June 1945
Vântul,Romanian Naval Forces,Vedenia,motor torpedo boat,30.0,1943,
Vardar,Royal Yugoslav Navy,Sava,river monitor,580.0,15 April 1920,Scuttled 11 April 1941
Vârtejul,Romanian Naval Forces,Vedenia,motor torpedo boat,30.0,1944,
Vasilefs Georgios,Hellenic Navy  Kriegsmarine,G,DD,1350.0,15 February 1939,"Captured, became ZG3 Hermes (Germany) 21 March 1942, scuttled 7 May 1943"
Vasilissa Olga,Hellenic Navy,G,DD,1350.0,February 1939,Sunk 26 September 1943
Vedenia,Romanian Naval Forces,Vedenia,motor torpedo boat,30.0,1943,
Veinticinco de Mayo,Argentine Navy,Veinticinco de Mayo,CA,6800.0,18 July 1931,Scrapped 1962
Vella Gulf,USA,Commencement Bay,CVE,10900.0,9 April 1945,Scrapped 1971
Venerable,ENG,Colossus,CV,13200.0,17 January 1945,Paid off April 1947
Vengeance,ENG,Colossus,CV,13200.0,15 January 1945,Paid off 1952
Venus,ENG,V,DD,1710.0,28 August 1943,Scrapped 1972
Verbena,ENG,Flower,K,925.0,19 December 1940,
Veronica,Royal Navy  United States Navy,Flower,K,925.0,18 February 1941,"To USA as Temptress 16 February 1942, to UK 26 August 1945"
Verulam,ENG,V,DD,1710.0,10 December 1943,Scrapped 1972
Vervain,ENG,Flower,K,925.0,9 June 1941,20 February 1945
Vetch,ENG,Flower,K,925.0,11 August 1941,
Vicksburg,USA,Cleveland,CL,11800.0,12 June 1944,Scrapped 1964
Victoriaville,Royal Canadian Navy,River,FF,1445.0,11 November 1944,Paid off 31 December 1973
Victorious,ENG,Illustrious,CV,23000.0,29 May 1941,Scrapped 1969
Videla,CHL,Serrano,DD,1090.0,,Discarded 1960
Viforul,Romanian Naval Forces,Vosper,motor torpedo boat,32.0,1940,"Built by Vosper for Romania in 1940, sunk by Soviet mines in November 1941"
Viforul,Romanian Naval Forces,Vedenia,motor torpedo boat,30.0,1944,
Vigilant,ENG,V,DD,1710.0,22 December 1942,"Paid off 1963, Scrapped 6 June 1965"
Vijelia,Romanian Naval Forces,Vosper,motor torpedo boat,32.0,1940,"Built by Vosper for Romania in 1940, sunk by Soviet mines in November 1941"
Vijelia,Romanian Naval Forces,Vedenia,motor torpedo boat,30.0,1943,
Ville de Quebec,Royal Canadian Navy,Flower,K,925.0,24 May 1942,Paid off 6 July 1945
Vincennes (CA-44),USA,New Orleans,CA,9400.0,24 February 1937,Sunk 9 August 1942
Vincennes (CL-64),USA,Cleveland,CL,11800.0,21 January 1944,Sunk as target 1966
Vindex,ENG,Nairana,CVE,13671.0,3 December 1943,"Paid off 1947, scrapped August 1971"
Vindictive,ENG,Hawkins,repair ship,9394.0,1 October 1918,"Former seaplane carrier and cruiser, paid off 8 September 1945"
Violet,ENG,Flower,K,925.0,3 February 1941,10 February 1946
Virago,ENG,V,DD,1710.0,5 November 1943,Scrapped 1965
Viscolul,Romanian Naval Forces,Vosper,motor torpedo boat,32.0,1940,"Built by Vosper for Romania in 1940, to Soviet Union September 1944"
Vittorio Veneto,Regia Marina,Littorio,BB,41000.0,28 April 1940,Scrapped 1948
Voroshilov,Soviet Navy,Kirov,CA,7880.0,20 June 1940,Scrapped 1960s
Volage,ENG,V,DD,1710.0,26 May 1944,Scrapped 1977
Vulcanul,Romanian Naval Forces,Vedenia,motor torpedo boat,30.0,1944,
