TAG,地域,JP
ALS,Asia,アラスカ
AMR,Asia,アムール
ARK,Asia,アラカン
BAL,Asia,バルーチスタン
BRN,Asia,ブルネイ
CHM,Asia,チャンパーサック
CHN,Asia,チン
COK,Asia,クック
DVN,Asia,ドラヴィダ・ナードゥ
EHB,Asia,冀東
ETR,Asia,東トルキスタン
EVN,Asia,エヴェンキ
EZO,Asia,蝦夷
FUJ,Asia,福建
GND,Asia,広東
GOA,Asia,ゴア
HKG,Asia,香港
HYD,Asia,ハイデラバード
INC,Asia,インドシナ
INO,Asia,インド洋
IQO,Asia,イロコイ
IRK,Asia,イルクーツク
JNA,Asia,ジュナーガド
KAC,Asia,カチン
KAM,Asia,カムチャッカ
KAS,Asia,カシミール
KAY,Asia,カヤー
KHB,Asia,ハバロフスク
KHM,Asia,カム
KIR,Asia,キリバス
KMV,Asia,ケメロヴォ
KRE,Asia,カレン
KRS,Asia,クラスノヤルスク
KUM,Asia,クムル
MCA,Asia,澳門
MHL,Asia,マーシャル
MWN,Asia,モン
MYS,Asia,マイソール
NCL,Asia,ニューカレドニア
NGL,Asia,ナガランド
NGU,Asia,ニューギニア
NIU,Asia,ニウエ
NMR,Asia,ナウル
NSB,Asia,ノヴォシビルスク
OMS,Asia,オムスク
PAO,Asia,太平洋
PLW,Asia,パラオ
RYU,Asia,琉球
SCC,Asia,南コーカサス
SCH,Asia,四川
SGH,Asia,上海
SHN,Asia,シャン
SIB,Asia,シベリア
SIN,Asia,シンガポール
SKM,Asia,シッキム
SRW,Asia,サラワク
TAI,Asia,タイ
TER,Asia,テランガーナ
TKY,Asia,東京
TLS,Asia,東ティモール
TML,Asia,タミル
TOK,Asia,トンキン
TON,Asia,トンガ
TRK,Asia,トルキスタン
TRV,Asia,トラヴァンコール
TSK,Asia,トムスク
TVL,Asia,ツバル
TWN,Asia,台湾
TYU,Asia,チュメニ
VNT,Asia,ヴィエンチャン
VUT,Asia,バヌアツ
WPA,Asia,西パプア
WPO,Asia,西太平洋
WTR,Asia,西トルキスタン
BHR,Middle East,バーレーン
HEZ,Middle East,ヒジャーズ
JRS,Middle East,エルサレム
MSC,Middle East,マスカット
SCZ,Middle East,スエズ運河
NEL,Commonwealth,ニューイングランド
NFL,Commonwealth,ニューファンドランド
RHO,Commonwealth,ローデシア
ABA,Western Europe,アラバマ
ADR,Western Europe,アンドラ
AEC,Western Europe,アメリカ東海岸
AKS,Western Europe,アーカンソー
ARA,Western Europe,アラゴン
ARZ,Western Europe,アリゾナ
ATR,Western Europe,アストゥリアス
AWC,Western Europe,アメリカ西海岸
BLE,Western Europe,バレアレス
BRG,Western Europe,ブルゴーニュ
BSQ,Western Europe,バスク
CAL,Western Europe,カリフォルニア
CLD,Western Europe,コロラド
CLU,Western Europe,コロンビア
CNA,Western Europe,カナリア
CNT,Western Europe,コネチカット
COW,Western Europe,コーンウォール
CSC,Western Europe,カスカディア
CTB,Western Europe,カンタブリア
DAL,Western Europe,ダルマチア
DEL,Western Europe,デラウェア
EXT,Western Europe,エストレマドゥーラ
FLN,Western Europe,フランドル
FLO,Western Europe,フロリダ
FRO,Western Europe,フェロー
GAL,Western Europe,ガリツィア
GBR,Western Europe,グレートブリテン
GEG,Western Europe,ジョージア
GIB,Western Europe,ジブラルタル
GRL,Western Europe,グリーンランド
IBE,Western Europe,イベリア
IDA,Western Europe,アイダホ
IDI,Western Europe,インディアナ
ILI,Western Europe,イリノイ
IOW,Western Europe,アイオワ
KAN,Western Europe,カンザス
KTY,Western Europe,ケンタッキー
LIE,Western Europe,リヒテンシュタイン
LMN,Western Europe,ラ・マンチャ
LOM,Western Europe,ロンバルディア
LON,Western Europe,レオン
LRJ,Western Europe,ラ・リオハ
LUI,Western Europe,ルイジアナ
MAS,Western Europe,マサチューセッツ
MCH,Western Europe,ミシガン
MCO,Western Europe,モナコ
MDR,Western Europe,マドリード
MIS,Western Europe,ミシシッピ
MNE,Western Europe,メイン
MNS,Western Europe,ミネソタ
MRL,Western Europe,メリーランド
MSS,Western Europe,ミズーリ
MTA,Western Europe,モンタナ
MUR,Western Europe,ムルシア
NCR,Western Europe,ノースカロライナ
NDA,Western Europe,ノースダコタ
