TAG,地域,JP
ABK,Asia,アブハジア
ALT,Asia,アルタイ
BAN,Asia,バングラデシュ
BHU,Asia,ブータン
BRM,Asia,ビルマ
BUK,Asia,ブハラ
BYA,Asia,ブリヤート
CAM,Asia,カンボジア
CHI,Asia,中華
CKK,Asia,チュクチ
FAE,Asia,極東
FIJ,Asia,フィジー
FSM,Asia,ミクロネシア
GUM,Asia,グアム
GXC,Asia,広西
HAW,Asia,ハワイ
IND,Asia,インド
INS,Asia,インドネシア
JAP,Asia,日本
KAZ,Asia,カザフスタン
KHA,Asia,ハカス
KHI,Asia,ヒヴァ
KKP,Asia,カラカルパクスタン
KOR,Asia,韓
KYR,Asia,キルギス
LAO,Asia,ラオス
MAL,Asia,マラヤ
MAN,Asia,満州
MEN,Asia,蒙古
MLD,Asia,モルディブ
MON,Asia,モンゴル
NEP,Asia,ネパール
PAK,Asia,パキスタン
PHI,Asia,フィリピン
PNG,Asia,パプアニューギニア
SAM,Asia,サモア
SHX,Asia,山西
SIA,Asia,シャム
SIK,Asia,新疆
SKH,Asia,サハ
SOL,Asia,ソロモン
SRL,Asia,スリランカ
TAH,Asia,タヒチ
TAJ,Asia,タジキスタン
TAY,Asia,タイミル
TIB,Asia,チベット
TMS,Asia,トルクメニスタン
TUV,Asia,トゥヴァ
UZB,Asia,ウズベキスタン
VIN,Asia,ベトナム
VLA,Asia,ウラジオストク
XIB,Asia,西北
YAM,Asia,ヤマリア
YGR,Asia,ユグラ
YUN,Asia,雲南
AFG,Middle East,アフガニスタン
ARM,Middle East,アルメニア
AZR,Middle East,アゼルバイジャン
GEO,Middle East,グルジア
IRQ,Middle East,イラク
ISR,Middle East,イスラエル
JOR,Middle East,ヨルダン
KUR,Middle East,クルディスタン
KUW,Middle East,クウェート
LEB,Middle East,レバノン
OMA,Middle East,オマーン
PAL,Middle East,パレスチナ
PER,Middle East,ペルシャ
QAT,Middle East,カタール
SAU,Middle East,サウード
SYR,Middle East,シリア
TRC,Middle East,トルーシャル・オマーン
TUR,Middle East,トルコ
YEM,Middle East,イエメン
AST,Commonwealth,オーストラリア
CAN,Commonwealth,カナダ
ENG,Commonwealth,イングランド
NIR,Commonwealth,北アイルランド
NZL,Commonwealth,ニュージーランド
SAF,Commonwealth,南アフリカ
SCO,Commonwealth,スコットランド
WLS,Commonwealth,ウェールズ
ADU,Western Europe,アンダルシア
AUS,Western Europe,オーストリア
BAY,Western Europe,バイエルン
BEL,Western Europe,ベルギー
BRI,Western Europe,ブルターニュ
CAT,Western Europe,カタルーニャ
COR,Western Europe,コルシカ
CSA,Western Europe,ディキシーランド
CYP,Western Europe,キプロス
DEN,Western Europe,デンマーク
FRA,Western Europe,フランス
GER,Western Europe,ドイツ
GLC,Western Europe,ガリシア
HAN,Western Europe,ハノーファー
HOL,Western Europe,ホラント
ICE,Western Europe,アイスランド
IRE,Western Europe,アイルランド
ITA,Western Europe,イタリア
LUX,Western Europe,ルクセンブルク
MEK,Western Europe,メクレンブルク
MLT,Western Europe,マルタ
NAV,Western Europe,ナバラ
NOR,Western Europe,ノルウェー
OCC,Western Europe,オクシタニア
POR,Western Europe,ポルトガル
PRE,Western Europe,プロイセン
SAX,Western Europe,ザクセン
SHL,Western Europe,シュレースヴィヒ
SIC,Western Europe,シチリア
SPR,Western Europe,スペイン
SRD,Western Europe,サルデーニャ
SWE,Western Europe,スウェーデン
SWI,Western Europe,スイス
TUS,Western Europe,トスカーナ
USA,Western Europe,アメリカ
VAT,Western Europe,バチカン
VNC,Western Europe,ヴェネツィア
WGR,Western Europe,西ドイツ
WUR,Western Europe,ヴュルテンベルク
ALB,Eastern Europe,アルバニア
BLR,Eastern Europe,ベラルーシ
BOS,Eastern Europe,ボスニア
BSK,Eastern Europe,バシコルトスタン
BUL,Eastern Europe,ブルガリア
CHU,Eastern Europe,チュヴァシ
CRI,Eastern Europe,クリミア
CRO,Eastern Europe,クロアチア
CZE,Eastern Europe,チェコ
DAG,Eastern Europe,ダゲスタン
DNZ,Eastern Europe,ダンツィヒ
DON,Eastern Europe,ドン
EGR,Eastern Europe,東ドイツ
EST,Eastern Europe,エストニア
FIN,Eastern Europe,フィンランド
GRE,Eastern Europe,ギリシャ
HRZ,Eastern Europe,ヘルツェゴビナ
HUN,Eastern Europe,ハンガリー
KAL,Eastern Europe,カルムイク
KAR,Eastern Europe,カレリア
KBK,Eastern Europe,カバルダ＝バルカル
KOM,Eastern Europe,コミ
KOS,Eastern Europe,コソボ
KSH,Eastern Europe,カシュビア
KUB,Eastern Europe,クバン
LAT,Eastern Europe,ラトビア
LIT,Eastern Europe,リトアニア
MAC,Eastern Europe,マケドニア
MEL,Eastern Europe,マリ・エル
MNT,Eastern Europe,モンテネグロ
MOL,Eastern Europe,モルダヴィア
NCC,Eastern Europe,北コーカサス
NEN,Eastern Europe,ネネツ
NOA,Eastern Europe,北オセチア
POL,Eastern Europe,ポーランド
ROM,Eastern Europe,ルーマニア
SER,Eastern Europe,セルビア
SIL,Eastern Europe,シレジア
SLO,Eastern Europe,スロヴァキア
SLV,Eastern Europe,スロベニア
SOV,Eastern Europe,ソビエト
TAT,Eastern Europe,タタールスタン
TRA,Eastern Europe,トランシルヴァニア
UDM,Eastern Europe,ウドムルト
UKR,Eastern Europe,ウクライナ
VLG,Eastern Europe,ヴォルガ
