TAG,shipname,definition,hull,version_name,pride_of_the_fleet,location,task_force_name,naval_base,fleet_name
BUL,BMC Sofia,light_cruiser,ship_hull_cruiser_4,Sofia Class,,9783,Black Sea Fleet,9783,Bulgarian Black Sea Fleet
BUL,BMC Burgas,light_cruiser,ship_hull_cruiser_4,Burgas Class,,9783,Black Sea Fleet,9783,Bulgarian Black Sea Fleet
BUL,BMC Plovdiv,light_cruiser,ship_hull_cruiser_4,Burgas Class,,9783,Black Sea Fleet,9783,Bulgarian Black Sea Fleet
BUL,BMC Dobrich,light_cruiser,ship_hull_cruiser_4,Burgas Class,,9783,Black Sea Fleet,9783,Bulgarian Black Sea Fleet
EAF,RI Giovanni delle Bande Nere,light_cruiser,ship_hull_cruiser_1,Alberto di Giussano Class,,12766,Flottiglia del Mar Rosso,12766,Flottiglia del Mar Rosso
EAF,RCT Nazaro Sauro,destroyer,ship_hull_light_0,Nazario Sauro Class,,12766,Flottiglia del Mar Rosso,12766,Flottiglia del Mar Rosso
EAF,RCT Cesare Battisti,destroyer,ship_hull_light_0,Nazario Sauro Class,,12766,Flottiglia del Mar Rosso,12766,Flottiglia del Mar Rosso
EAF,RSmg Galileo Ferraris,submarine,ship_hull_submarine_1,Archimede Class,,12766,Flottiglia del Mar Rosso,12766,Flottiglia del Mar Rosso
EAF,RSmg Galileo Galilei,submarine,ship_hull_submarine_1,Archimede Class,,12766,Flottiglia del Mar Rosso,12766,Flottiglia del Mar Rosso
EAF,RSmg Archimede,submarine,ship_hull_submarine_1,Brin Class,,12766,Flottiglia del Mar Rosso,12766,Flottiglia del Mar Rosso
EAF,RSmg Perla,submarine,ship_hull_submarine_1,Perla Class,,12941,Flottiglia del Somalia,12941,Flottiglia del'Oceano Indiano
EAF,RSmg Macallé,submarine,ship_hull_submarine_1,Adua Class,,12941,Flottiglia del Somalia,12941,Flottiglia del'Oceano Indiano
EAF,RSmg Guglielmotti,submarine,ship_hull_submarine_1,Brin Class,,12941,Flottiglia del Somalia,12941,Flottiglia del'Oceano Indiano
EAF,RI Luigi Cadorna,light_cruiser,ship_hull_cruiser_1,Luigi Cadorna Class,,5210,Prima Flotta di Riserva dell'Africa Orientale,12941,Flottiglia del'Oceano Indiano
EAF,RCT Fuciliere,destroyer,ship_hull_light_1,Soldati Class,,5210,Prima Flotta di Riserva dell'Africa Orientale,12941,Flottiglia del'Oceano Indiano
EAF,RCT Carabiniere,destroyer,ship_hull_light_1,Soldati Class,,5210,Prima Flotta di Riserva dell'Africa Orientale,12941,Flottiglia del'Oceano Indiano
