modulename,category,gfx,add_equipment_type,manpower,critical_parts,dismantle_cost_ic,steel,rubber,aluminium,chromium
equipment_modules,ship_mine_layer,ship_mine_layer_1,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_2,ship_mine_layer,ship_mine_layer_2,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_3,ship_mine_layer,ship_mine_layer_3,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_4,ship_mine_layer,ship_mine_layer_4,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_5,ship_mine_layer,ship_mine_layer_5,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_6,ship_mine_layer,ship_mine_layer_6,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_7,ship_mine_layer,ship_mine_layer_6,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_8,ship_mine_layer,ship_mine_layer_6,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_sub,ship_mine_layer_sub,ship_mine_layer_sub_1,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_sub_2,ship_mine_layer_sub,ship_mine_layer_sub_2,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_sub_3,ship_mine_layer_sub,ship_mine_layer_sub_3,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_sub_4,ship_mine_layer_sub,ship_mine_layer_sub_4,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_sub_5,ship_mine_layer_sub,ship_mine_layer_sub_5,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_sub_6,ship_mine_layer_sub,ship_mine_layer_sub_6,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_sub_7,ship_mine_layer_sub,ship_mine_layer_sub_6,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_sub_8,ship_mine_layer_sub,ship_mine_layer_sub_6,,,,,,,,
can_convert_from,,,,,,,0,,,
critical_parts,,,,,,,,,,
ship_mine_layer_rocket_1,ship_mine_layer,ship_mine_layer,,,,,,,,
multiply_stats,,,,16,,,,,,
critical_parts,,,,,,,,,,
ship_mine_layer_rocket_2,ship_mine_layer,ship_mine_layer,,,,,,,,
multiply_stats,,,,20,,,,,,
critical_parts,,,,,,,,,,
ship_mine_sweeper_1,ship_mine_warfare,ship_mine_sweeper_1,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
ship_mine_sweeper_2,ship_mine_warfare,ship_mine_sweeper_2,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
ship_mine_sweeper_3,ship_mine_warfare,ship_mine_sweeper_3,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
ship_mine_sweeper_4,ship_mine_warfare,ship_mine_sweeper_4,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
ship_mine_sweeper_5,ship_mine_warfare,ship_mine_sweeper_5,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
ship_mine_sweeper_6,ship_mine_warfare,ship_mine_sweeper_6,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
ship_mine_sweeper_7,ship_mine_warfare,ship_mine_sweeper_6,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
ship_mine_sweeper_8,ship_mine_warfare,ship_mine_sweeper_6,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
ship_mine_sweeper_L,ship_mine_warfare,ship_mine_sweeper_6,,,,,,,,
multiply_stats,,,,,,,,,,
can_convert_from,,,,,,,0,,,
equipment_modules,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
critical_parts,,,,,,,,,,
ship_GER_heavy_medium_battery_2,ship_medium_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
critical_parts,,,,,,,,,,
ship_ENG_mid_battery_1,ship_mid_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
add_average_stats,,,,,,,,,,
build_cost_resources,,,,,,,2,,,
can_convert_from,,,,,,,2,,,
can_convert_from,,,,,,,1,,,
critical_parts,,,,,,,,,,
ship_ENG_mid_battery_2,ship_mid_battery,,capital_ship,,,,,,,
multiply_stats,,,,,,,,,,
