Section,create_equipment_variant,name,type,name_group,parent_version,design_team,obsolete,icon,ship_mtg_naval_range_upgrade,ship_mtg_armor_sub_upgrade,ship_mtg_engine_upgrade,ship_mtg_armor_upgrade,ship_anti_air_upgrade,ship_mtg_mid_engine_upgrade,ship_mtg_light_engine_upgrade,ship_mtg_carrier_engine_upgrade,ship_mtg_deck_space_upgrade,ship_mtg_hevy_engine_upgrade,ship_ASW_upgrade,ship_mtg_sp_hevy_engine_upgrade,submarine_mtg_engine_upgrade,mid_1_custom_slot,fixed_ship_deck_slot_2,fixed_ship_anti_air_slot,fixed_ship_battery_slot,rear_1_custom_slot,fixed_ship_engine_slot,fixed_ship_torpedo_slot,mid_2_custom_slot,front_1_custom_slot,fixed_ship_radar_slot,fixed_ship_torpedo_depth_charge_slot,fixed_ship_deck_slot_1,fixed_ship_fire_control_system_slot,fixed_ship_armor_slot,fixed_ship_secondaries_slot
siam_navy,create_equipment_variant,Chakri Naruebet Class,ship_hull_carrier_1,SIA_HISTORICAL_CV,,,,,6,5,3,6
siam_navy,create_equipment_variant,Great Pleiades Class,ship_hull_cruiser_coastal_defense_ship_2,SIA_HISTORICAL_BB,,,,,10,10,7,,
siam_navy,create_equipment_variant,Dhonburi Class,ship_hull_cruiser_coastal_defense_ship_1,SIA_HISTORICAL_BB,,,,,8,6,10,,
siam_navy,create_equipment_variant,Sri Ayuthia Class,ship_hull_cruiser_2,SIA_HISTORICAL_CA,0,,,,4,5,8,,
siam_navy,create_equipment_variant,Doi Ang Khang Class,ship_hull_cruiser_1,SIA_HISTORICAL_CA,0,,,,4,5,8,,
siam_navy,create_equipment_variant,Phu Kradueng Class,ship_hull_cruiser_1,SIA_HISTORICAL_CA,0,,,,4,6,8,,
siam_navy,create_equipment_variant,Taksin Class,ship_hull_cruiser_1,SIA_HISTORICAL_CL,0,,,,3,,3,,
siam_navy,create_equipment_variant,Bali Class,ship_hull_cruiser_2,SIA_HISTORICAL_CL,0,,,,3,2,4,,
siam_navy,create_equipment_variant,Maeklong Class,ship_hull_frigate_2,SIA_HISTORICAL_DD,,,,,10,10,,5,,,,5
siam_navy,create_equipment_variant,Phra Ruang Class,ship_hull_light_0,SIA_HISTORICAL_DD,,,,,6,,0,,,5,,,
siam_navy,create_equipment_variant,Prap Porapak Class,ship_hull_light_1,SIA_HISTORICAL_DD,,,,,4,,1,,,5,,,
siam_navy,create_equipment_variant,Kechon Class,ship_hull_light_1,SIA_HISTORICAL_DD,,,,,5,,2,,,6,,,
siam_navy,create_equipment_variant,Ratnakosindra Class,ship_hull_micro,,,,,,8,8,,,,,,,
siam_navy,create_equipment_variant,Trad Class,ship_hull_frigate_2,SIA_HISTORICAL_DD,,,,,10,8,,3,,,,,3
siam_navy,create_equipment_variant,Sua Thayan Chon Class,ship_hull_frigate_2,SIA_HISTORICAL_DD,,,,,10,8,,2,,,,,5
siam_navy,create_equipment_variant,Sriya Monthon Class,ship_hull_frigate_2,SIA_HISTORICAL_DD,,,,,10,8,,2,,,,,5
siam_navy,create_equipment_variant,Matchanu Class,ship_hull_submarine_1,PHI_HISTORICAL_SS,0,,,,2,,,,,,,,,4
siam_navy,create_equipment_variant,Sunthorn Phu Class,ship_hull_cruiser_submarine,SIA_HISTORICAL_SS,0,,,,5,,,,,,,,,3
kamchatka_navy,create_equipment_variant,Huji Class,ship_hull_pre_dreadnought_0,JAP_HISTORICAL_BB,,,,,20,,20,,,,,,5,,
kamchatka_navy,create_equipment_variant,Shikishima Class,ship_hull_pd_battle_carrier,JAP_HISTORICAL_BB,,,,,4,,5,,,,,,5,,
kamchatka_navy,create_equipment_variant,Ukuru Class,ship_hull_frigate_2,JAP_DE_HISTORICAL,,,,,10,10,,5,,,,,,5,
kamchatka_navy,create_equipment_variant,Ise Class,ship_hull_battle_carrier_1,JAP_HISTORICAL_BB,,,,,5,,5,,,,,2,5,,
kamchatka_navy,create_equipment_variant,Huso Class,ship_hull_battle_carrier_1,JAP_HISTORICAL_BB,,,,,4,,3,,,,,2,5,,
kamchatka_navy,create_equipment_variant,Kasuga Class,ship_hull_cruiser_armored_cruiser_carrier,JAP_HISTORICAL_BB,,,,,3,,1,,8,,,2,,,
kamchatka_navy,create_equipment_variant,Housyo Class,ship_hull_carrier_0,JAP_HISTORICAL_CV,,,,,10,,1,,,,2,0,,,
kamchatka_navy,create_equipment_variant,Ryuuhou Class,ship_hull_carrier_conversion_tp,JAP_HISTORICAL_CVL,,,,,4,,0,,,,4,2,,,
kamchatka_navy,create_equipment_variant,Jyunyo Class,ship_hull_carrier_conversion_mc,JAP_HISTORICAL_CVL,,,,,5,,1,,,,5,3,,,
kamchatka_navy,create_equipment_variant,Yamashiomaru Class,ship_hull_carrier_conversion_mc,JAP_HISTORICAL_CVL,,,,,6,,1,,,,6,1,,,
kamchatka_navy,create_equipment_variant,Asashio Class,ship_hull_light_2,JAP_HISTORICAL_DD,,,,,5,,2,,,5,,,,,
kamchatka_navy,create_equipment_variant,Hubuki Class,ship_hull_light_2,JAP_HISTORICAL_DD,,,,,5,,2,,,5,,,,,
kamchatka_navy,create_equipment_variant,Oodomari Class,ship_hull_cruiser_0_transport_remodeling,JAP_MINELAYERS_HISTORICAL,,,,,6,,6,,6,,,,,,
kamchatka_navy,create_equipment_variant,Chiyoda Class,ship_hull_cruiser_3,JAP_HISTORICAL_AV,,,,,6,,4,,6,,,,,,
kamchatka_navy,create_equipment_variant,Kashihara Class,ship_hull_cruiser_3,JAP_TV,,,,,6,,4,,4,,,,,,
kamchatka_navy,create_equipment_variant,Atsuta Class,ship_hull_cruiser_4,JAP_TV,,,,,6,,4,,4,,,,,,
kamchatka_navy,create_equipment_variant,Kagerou Class,ship_hull_light_3,JAP_HISTORICAL_DD,,,,,5,,2,,,5,,,,,
kamchatka_navy,create_equipment_variant,Yaeyama Class,ship_hull_cruiser_4,JAP_MINELAYERS_HISTORICAL,,,,,8,,4,,6,,,,,,
kamchatka_navy,create_equipment_variant,Kasado Class,ship_hull_cruiser_4,JAP_DE_HISTORICAL,,,,,10,,5,,5,,,,,,
kamchatka_navy,create_equipment_variant,Souya Class,ship_hull_cruiser_carrier_0,JAP_HISTORICAL_AV,,,,,8,,2,,4,,,0,,,
kamchatka_navy,create_equipment_variant,Jingei Class,ship_hull_cruiser_1,JAP_WHALE,,,,,5,,1,,4,,,,,,
kamchatka_navy,create_equipment_variant,Hakugei Class,ship_hull_cruiser_2,JAP_WHALE,,,,,7,,1,,6,,,,,,
kamchatka_navy,create_equipment_variant,Suzunami Class,ship_hull_light_2,JAP_HISTORICAL_DD,,,,GFX_suzunami,5,,2,,,5,,,,,
kamchatka_navy,create_equipment_variant,Kai Tyu VII Class,ship_hull_submarine_2,JAP_MHISTORICAL_SS,,,,,2,,2,,,,,,,,2
england_navy,create_equipment_variant,Victory Class,ship_hull_wooden_hulled_heavy_2,ENG_HISTORICAL_BB,3,,,,3,,5,,,,,,3,,
england_navy,create_equipment_variant,Queen Elizabeth Class,ship_hull_heavy_0,ENG_HISTORICAL_BB,3,,,,3,,5,,,,,,3,,
england_navy,create_equipment_variant,Revenge Class,ship_hull_heavy_0,ENG_HISTORICAL_BB,4,,,,5,,5,,,,,,7,,
england_navy,create_equipment_variant,Nelson Class,ship_hull_heavy_1,ENG_HISTORICAL_BB,1,,,,5,,5,,,,,,3,,
england_navy,create_equipment_variant,King George V Class,ship_hull_heavy_1,ENG_HISTORICAL_BB,1,,,,5,,5,,,,,,5,,
england_navy,create_equipment_variant,Lion Class,ship_hull_heavy_2,ENG_HISTORICAL_BB,1,,,,5,,6,,,,,,5,,
england_navy,create_equipment_variant,Admiral Class,ship_hull_heavy_1,ENG_HISTORICAL_BC,1,,,,4,,5,,,,,,5,,
england_navy,create_equipment_variant,Incomparable Class,ship_hull_super_heavy_1,ENG_HISTORICAL_BC,1,,,,8,,7,,,,,,5,,
england_navy,create_equipment_variant,Minotaur Class,ship_hull_cruiser_armored_cruiser,ENG_HISTORICAL_CA,8,,,,4,,3,,5,,,,,,
england_navy,create_equipment_variant,Pelorus Class,ship_hull_cruiser_defenced_cruiser,ENG_HISTORICAL_CL,,,,,3,,5,,4,,,,,,
england_navy,create_equipment_variant,Blonde Class,ship_hull_cruiser_scout_cruiser,ENG_HISTORICAL_CL,,,,,2,,0,,1,,,,,,
england_navy,create_equipment_variant,Arethusa Class,ship_hull_cruiser_1,ENG_HISTORICAL_CL,,,,,3,,0,,5,,,,,,
england_navy,create_equipment_variant,Southampton Class,ship_hull_cruiser_2,CAN_HISTORICAL_CL,,,,,3,,0,,5,,,,,,
england_navy,create_equipment_variant,Gloucester Class,ship_hull_cruiser_2,CAN_HISTORICAL_CL,,,,,4,,1,,6,,,,,,
england_navy,create_equipment_variant,Edinburgh Class,ship_hull_cruiser_2,CAN_HISTORICAL_CL,,,,,5,,1,,6,,,,,,
england_navy,create_equipment_variant,Dido Class,ship_hull_cruiser_2,ENG_HISTORICAL_CL,,,,,5,,1,,5,,,,,,
england_navy,create_equipment_variant,Bellona Class,ship_hull_cruiser_2,ENG_HISTORICAL_CL,,,,,3,,1,,5,,,,,,
england_navy,create_equipment_variant,Crown Colony Class,ship_hull_cruiser_2,ENG_HISTORICAL_CL,,,,,6,,2,,5,,,,,,
england_navy,create_equipment_variant,Swiftsure Class,ship_hull_cruiser_3,ENG_HISTORICAL_CL,,,,,6,,3,,5,,,,,,
england_navy,create_equipment_variant,Tiger Class,ship_hull_cruiser_4,ENG_HISTORICAL_CL,,,,,6,,3,,5,,,,,,
england_navy,create_equipment_variant,London Class,ship_hull_cruiser_1,ENG_HISTORICAL_CA,,,,,5,,2,,5,,,,,,
england_navy,create_equipment_variant,Norfolk Class,ship_hull_cruiser_1,ENG_HISTORICAL_CA,,,,,5,,3,,5,,,,,,
england_navy,create_equipment_variant,York Class,ship_hull_cruiser_1,ENG_HISTORICAL_CA,,,,,5,,4,,5,,,,,,
england_navy,create_equipment_variant,Abdiel Class,ship_hull_cruiser_1,ENG_HISTORICAL_CL,,,,,3,,1,,5,,,,,,
england_navy,create_equipment_variant,Gorgon Class,ship_hull_cruiser_coastal_defense_ship_1,ENG_HISTORICAL_BB,,,,,6,,4,,1,,,,,,
england_navy,create_equipment_variant,M15 Class,ship_hull_monitor,ENG_HISTORICAL_BB,,,,,3,,5,,5,,,,,,
england_navy,create_equipment_variant,Artifex Class,ship_hull_cruiser_0_remodeling,ENG_HISTORICAL_CL,,,,,2,,1,,5,,,,,,
england_navy,create_equipment_variant,Maidstone Class,ship_hull_cruiser_0_transport_remodeling,ENG_HISTORICAL_CL,,,,,2,,1,,5,,,,,,
england_navy,create_equipment_variant,Roberts Class,ship_hull_monitor_2,ENG_HISTORICAL_BB,,,,,3,,5,,5,,,,,,
england_navy,create_equipment_variant,Otranto Class,ship_hull_cruiser_0_transport_remodeling,ENG_HISTORICAL_CL,,,,,3,,1,,3,,,,,,
england_navy,create_equipment_variant,Argus Class,ship_hull_carrier_conversion_tp,ENG_HISTORICAL_CV,,,,,2,,0,,,,2,1,,,
england_navy,create_equipment_variant,Centurion Class,ship_hull_carrier_conversion_bb,ENG_HISTORICAL_CV,,,,,4,,4,,,,5,4,,,
england_navy,create_equipment_variant,Iron Duke Class,ship_hull_carrier_conversion_bb,ENG_HISTORICAL_CV,,,,,4,,2,,,,5,4,,,
england_navy,create_equipment_variant,Glorious Class,ship_hull_carrier_conversion_bb,ENG_HISTORICAL_CV,,,,,2,,1,,,,4,4,,,
england_navy,create_equipment_variant,Ark Royal Class,ship_hull_carrier_0,ENG_HISTORICAL_CV,,,,,2,,2,,,,4,4,,,
england_navy,create_equipment_variant,Illustrious Class,ship_hull_carrier_3,ENG_HISTORICAL_CV,,,,,10,,7,,,,8,5,,,
england_navy,create_equipment_variant,Implacable Class,ship_hull_carrier_1,ENG_HISTORICAL_CV,,,,,3,,2,,,,5,4,,,
england_navy,create_equipment_variant,Audacious Class,ship_hull_carrier_2,ENG_HISTORICAL_CV,,,,,5,,2,,,,6,4,,,
england_navy,create_equipment_variant,Colossus Class,ship_hull_light_carrier_0,ENG_HISTORICAL_CV,,,,,3,,1,,,,3,5,,,
england_navy,create_equipment_variant,Majestic Class,ship_hull_light_carrier_1,ENG_HISTORICAL_CV,,,,,5,,2,,,,2,3,,,
england_navy,create_equipment_variant,Unicorn Class,ship_hull_light_carrier_1,CAN_HISTORICAL_CV,,,,,4,,2,,,,1,3,,,
england_navy,create_equipment_variant,Centaur Class,ship_hull_light_carrier_2,ENG_HISTORICAL_CV,,,,,5,,1,,,,4,3,,,
england_navy,create_equipment_variant,Hermes Class,ship_hull_light_carrier_2,ENG_HISTORICAL_CV,,,,,5,,1,,,,4,3,,,
england_navy,create_equipment_variant,Attacker Class,ship_hull_carrier_conversion_mc,ENG_HISTORICAL_CV,,,,,8,,1,,,,4,3,,,
england_navy,create_equipment_variant,Second G Class,ship_hull_light_1,ENG_HISTORICAL_DD,,,,,4,,0,,,3,,,,,
england_navy,create_equipment_variant,Hunt III Class,ship_hull_light_1,ENG_HISTORICAL_DD,0,,,,2,,0,,,0,,,,,
england_navy,create_equipment_variant,Second H Class,ship_hull_light_1,ENG_HISTORICAL_DD,,,,,4,,1,,,3,,,,,
england_navy,create_equipment_variant,Second I Class,ship_hull_light_1,ENG_HISTORICAL_DD,,,,,4,,1,,,3,,,,,
england_navy,create_equipment_variant,Tribal II Class,ship_hull_light_1,ENG_HISTORICAL_DD,,,,,3,,0,,,4,,,,,
england_navy,create_equipment_variant,J/K/N Class,ship_hull_light_1,ENG_HISTORICAL_DD,,,,,3,,0,,,4,,,,,
england_navy,create_equipment_variant,Second L Class,ship_hull_light_1,ENG_HISTORICAL_DD,,,,,3,,0,,,4,,,,,
england_navy,create_equipment_variant,Second M Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,4,,0,,,6,,,,,
england_navy,create_equipment_variant,O Class,ship_hull_light_1,ENG_HISTORICAL_DD,,,,,3,,0,,,5,,,,,
england_navy,create_equipment_variant,P Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,4,,1,,,5,,,,,
england_navy,create_equipment_variant,Q Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,4,,1,,,5,,,,,
england_navy,create_equipment_variant,Second R Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,4,,1,,,5,,,,,
england_navy,create_equipment_variant,Second S Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,5,,1,,,5,,,,,
england_navy,create_equipment_variant,T Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,5,,1,,,5,,,,,
england_navy,create_equipment_variant,U Class,ship_hull_light_2,ENG_HISTORICAL_DD,,,,,5,,2,,,5,,,,,
