Class,Type,Displacement,Country,First commissioned,YEAR
L,SS,1106,ENG,31 October 1924,1924
L,SS,1106,ENG,11 October 1926,1926
L,training submarine,1106,ENG,,
La Argentina,training light cruiser,6500,Argentine Navy,April 1939,1939
Flower,K,925,FRA,22 June 1940,1940
La Galissonnière,CL,7600,FRA,1 January 1936,1936
River,FF,1445,Royal Canadian Navy,6 December 1945,1945
Flower,K,925,Royal Canadian Navy,28 April 1942,1942
Flower,K,925,ENG,29 July 1940,1940
Mendoza,DD,1570,Argentine Navy,23 July 1929,1929
Flower modified,K,1015,Royal Canadian Navy,26 October 1944,1944
Benson,DD,1620,USA,31 March 1942,1942
Sumner,DD,2200,USA,8 February 1944,1944
L,DD,1920,ENG,26 August 1941,1941
Battle,DD,2325,ENG,2 November 1945[5],1945
Basset,AM,529,Royal Indian Navy,1941–1944,1941
Ticonderoga,CV,27100,USA,3 June 1945,1945
Wickes,DAM,1090,USA,22 August 1918,1918
Lambridge,Special Service Ship,5119,ENG,,
Hunt,DD,1000,ENG,16 August 1941,1941
Duguay-Trouin,CL,7249,FRA,5 March 1927,1927
Mahan,DD,1450,USA,21 October 1936,1936
River,FF,1445,Royal Canadian Navy,6 July 1944,1944
Benham,DD,1500,USA,30 March 1939,1939
Langley,Seaplane carrier,11500,USA,7 April 1913,1913
Independence,CVL,11000,USA,31 August 1943,1943
Benson,DD,1620,USA,17 September 1940,1940
Gleaves,DD,1630,USA,29 April 1942,1942
Flower,K,925,Royal Navy  United States Navy,4 June 1940,1940
Abdiel,CM,2650,ENG,4 May 1941,1941
Hunt,DD,1050,ENG,August 1942,1942
Flower,K,925,ENG,16 May 1941,1941
Captain,FF,1140,ENG,3 November 1943,1943
Lawrence,SL,1245,Royal Indian Navy,27 December 1919,1919
Town,DD,1327,Royal Navy  Royal Canadian Navy  Soviet Navy,23 October 1940,1940
Leander,CL,6985,Royal New Zealand Navy,23 July 1931,1931
Hunt,DD,1050,ENG,,
Town,DD,1125,ENG,12 January 1918,1918
L,DD,1920,ENG,19 December 1940,1940
Leipzig,CL,6515,GER,8 October 1931,1931
Leningrad,DD,2150,Soviet Navy,December 1936,1936
Aetos,DD,1030,Hellenic Navy,19 October 1912,1912
Raubtier,torpedo boat,1320,GER,1 June 1928,1928
Chacal,DD,2126,Free French Naval Forces,31 August 1940,1940
Flower,K,925,Royal Canadian Navy,25 June 1941,1941
Town,DD,1125,ENG,23 October 1940,1940
Lexington,CV,33000,USA,14 December 1927,1927
Essex,CV,27100,USA,17 February 1943,1943
Libertad,riverine battleship,2336,Argentine Navy,26 November 1892,1892
Flower modified,K,1015,ENG,19 June 1943,1943
Town,DD,1190,Royal Navy  Royal Norwegian Navy  Royal Canadian Navy  Soviet Navy,20 October 1940,1940
Flower modified,K,1015,Royal Canadian Navy,15 November 1943,1943
Flower,K,925,ENG,,
Casablanca,CVE,7800,USA,7 August 1943,1943
Littorio,BB,43835,Regia Marina,6 May 1940,1940
Gleaves,DD,1630,USA,7 October 1940,1940
Flower,K,925,Free French Naval Forces,16 July 1941,1941
Loch,FF,1435,Royal Canadian Navy,31 July 1944,1944
Loch,FF,1435,ENG,20 October 1944,1944
County,CA,9850,ENG,31 January 1929,1929
Long Island,CVE,13500,USA,2 June 1941,1941
Looe,Special Service Ship,1030,ENG,,
L,DD,1920,ENG,30 January 1942,1942
PB,,1640,GER,25 April 1943,1943
Bretagne,BB,22200,French Navy  Free French Naval Forces,27 July 1916,1916
Baltimore,CA,17200,USA,22 July 1945,1945
Lothringen,CM,1975,GER,December 1941,1941
Flower,K,925,ENG,23 May 1942,1942
Northampton,CA,9200,USA,15 January 1931,1931
Raubtier,torpedo boat,1320,GER,15 April 1929,1929
Gleaves,DD,1630,USA,5 March 1941,1941
Condottieri,CL,5316,Regia Marina,11 August 1933,1933
Condottieri,CL,9952,Regia Marina,1 December 1937,1937
Casablanca,CVE,7800,USA,14 May 1944,1944
enlarged Admiral Hipper,CA,14680,GER,not completed,
Farragut,DD,1365,USA,15 March 1935,1935
Rapana,merchant aircraft carrier,8000,Royal Netherlands Navy,1 April 1944,1944
Bathurst,K,1025,Royal Indian Navy,12 May 1942,1942
M,DD,1920,ENG,28 July 1942,1942
El Mahrousa,yacht,3417,Egyptian Navy,1865,1865
Queen Elizabeth,BB,31000,ENG,1 February 1916,1916
Äran,coastal defence ship,3650,Swedish Navy,,
Town,DD,1190,ENG,23 October 1940,1940
Tribal,DD,2020,ENG,2 January 1939,1939
Pegasus,fighter catapult ship,,ENG,1932,1932
Omaha,CL,7050,USA,8 September 1924,1924
Marcílio Dias,DD,1500,Brazilian Navy,29 November 1943,1943
Marcilio Dias,DD,1500,Brazilian Navy,29 November 1943,1943
M,DD,1920,ENG,2 December 1941,1941
Cannon,DE,1240,United States Navy  Free French Naval Forces,29 February 1944,1944
La Galissonniere,CL,7600,FRA,10 October 1937,1937
Marshal Ney,BM,6700,ENG,,
Marsuinul,SS,860 submerged,Royal Romanian Navy,July 1943,1943
M,DD,1920,ENG,,
