Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Cabana,USA,Evarts,DE,1140,9 July 1943,scrapped 1947
Cabot,USA,Independence,CVL,11000,24 July 1943,"decommissioned 21 January 1955, scrapped 2002"
Cachalot,ENG,Grampus,SS,1810,15 August 1938,sunk 30 July 1941
Cadiz,ENG,Battle,DD,2325,12 April 1946[5],paid off 1953
Caesar,ENG,C,DD,1710,5 October 1944,"paid off June 1965, scrapped 1967"
Cairo,ENG,C,CL,4200,24 September 1919,lost 12 August 1942
Calcaterra,USA,Edsall,DE,1250,17 November 1943,scrapped 1974
Calcutta,ENG,C,CL,4200,21 August 1919,lost 1 June 1941
Calcutta,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Caldas,Colombian National Navy,Antioquia,DD,1219,16 May 1934,scrapped November 1961
Caldwell,Royal Navy  Royal Canadian Navy,Town,DD,1190,24 September 1940,"to RCN 1942, scrapped 1944"
Caldwell,USA,Benson,DD,1620,10 June 1942,"decommissioned 1946, scrapped 1966"
Caledon,ENG,C,CL,4180,6 March 1917,scrapped 1948
Calendula,Royal Navy  United States Navy,Flower,K,925,6 May 1940,"to USA as Ready 12 March 1942, to UK 20 August 1945, paid off 1945"
Calgary,Royal Canadian Navy,Flower,K,925,16 December 1941,paid off 19 June 1945
California,USA,Tennessee,BB,32600,10 August 1921,"Decommissioned 14 February 1947, scrapped 1959"
Callaghan,USA,Fletcher,DD,2050,27 November 1943,sunk 28 July 1945
Calpe,ENG,Hunt,DE,1050,11 December 1941,scrapped 1966
Calypso,ENG,C,CL,4180,6 March 1917,scrapped January 1948
Cambrian,ENG,C,DD,1710,14 July 1944,"Paid off December 1968, scrapped 1971"
Camellia,ENG,Flower,K,925,18 June 1940,
Cameron,ENG,Town,DD,1190,24 September 1940,constructive loss 5 December 1940
Camp,USA,Edsall,DE,1250,16 September 1943,"to South Vietnam 1971, to Philippines 1976"
Campania,ENG,Nairana,CVE,13000,9 February 1944,"paid off 30 December 1945, scrapped 1955"
Campanula,ENG,Flower,K,925,6 September 1940[6],
Campbeltown,ENG,Town,DD,1190,9 September 1940,"expended as demolition-ship at St Nazaire, 29 March 1942"
Camperdown,ENG,Battle,DD,2325,18 June 1945,"paid off 18 June 1945, scrapped 1970"
Campion,ENG,Flower,K,925,7 July 1941,
Camrose,Royal Canadian Navy,Flower,K,925,30 June 1941,paid off 22 July 1945
Canberra,Royal Australian Navy,County,CA,9850,10 July 1928,scuttled 9 August 1942
Canberra,USA,Baltimore,CA,17200,14 October 1943,"decommissioned 1970, scrapped 1980"
