Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Dahlgren,USA,Clemson,DD,1200,6 January 1920,scrapped 1946
Dahlia,ENG,Flower,K,925,21 March 1941[5],
Dale,USA,Farragut,DD,1365,17 June 1935,scrapped 1947
Dale W. Peterson,USA,Edsall,DE,1250,17 February 1944,"decommissioned 1946, scrapped 1972"
Dallas,USA,Clemson,DD,1200,29 October 1920,scrapped 1945
Daly,USA,Fletcher,DD,2050,24 October 1942,"decommissioned 1960, scrapped 1976"
Damon M. Cummings,USA,Buckley,DE,1400,29 June 1944,"decommissioned 1947, scrapped 1973"
Daniel,USA,Edsall,DE,1250,24 January 1944,"decommissioned 1946, scrapped 1974"
Daniel A. Joy,USA,Rudderow,DE,1450,28 April 1944,scrapped 1966
Daniel T. Griffin,USA,Buckley,DE,1400,9 June 1943,to Chile 1966
Darby,USA,Buckley,DE,1400,15 November 1943,sunk as target 1970
Dasher,ENG,Attacker,CVE,8200,2 July 1942,sunk 27 March 1943
Dashiell,USA,Fletcher,DD,2050,20 March 1943,"decommissioned 1960, scrapped 1975"
Dauntless,ENG,Danae,C,4850,10 April 1918,scrapped 1946
Dauphin,Royal Canadian Navy,Flower,K,925,17 May 1941,paid off 20 June 1945
David W. Taylor,USA,Fletcher,DD,2050,18 September 1943,"to Spain 1957, scrapped 1987"
Davis,USA,Somers,DD,1850,9 November 1938,scrapped 1947
Davison,USA,Gleaves,DD,1630,11 September 1942,"decommissioned 1949, scrapped 1973"
Dawson,Royal Canadian Navy,Flower,K,925,6 October 1941,paid off 19 June 1945
Day,USA,Rudderow,DE,1450,10 June 1944,
Dayton,USA,Cleveland,CL,11800,7 January 1945,scrapped 1962
Decatur,USA,Clemson,DD,1200,August 1922,scrapped 1945
Decker,United States Navy  Republic of China Navy,Buckley,DE,1140,3 May 1943,to Republic of China as Tai Ping 28 August 1945; sunk in action 1954
Decoy,Royal Navy  Royal Canadian Navy,D,DD,1375,4 April 1933,"Transferred to RCN 12 April 1943 as HMCS Kootenay, paid off 26 October 1945"
Deede,USA,Evarts,DE,1140,29 July 1943,scrapped 1947
De Haven (I),USA,Fletcher,DD,2050,21 June 1942,sunk 1 February 1943
De Haven (II),USA,Allen M. Sumner,DD,2200,31 March 1944,"to South Korea 1973, scrapped 1993"
Delhi,ENG,Danae,C,4850,June 1919,scrapped 1948
DeLong,USA,Rudderow,DE,1450,31 December 1943,sunk as target 1970
Delphinium,ENG,Flower,K,925,15 November 1940[5],
Dempsey,USA,Evarts,DE,1140,23 July 1943,scrapped 1947
Dennis,USA,John C. Butler,DE,1350,20 March 1944,"decommissioned 1946, scrapped 1973"
Dennis J. Buckley,USA,Gearing,DD,2250,2 March 1945,scrapped 1974
Dent,USA,Wickes,DD,1150,9 September 1918,scrapped 1946
Denver,USA,Cleveland,CL,11800,15 October 1942,scrapped 1960
De Ruyter,Netherlands,De Ruyter,C,7822,3 October 1936,sunk 28 February 1942
Derwent,ENG,Hunt,DE,1050,24 April 1942,scrapped 1947
Despatch,ENG,Danae,C,4850,2 June 1922,scrapped 1946
Detroit,USA,Omaha,CL,7050,31 July 1923,scrapped 1946
Deutschland,GER,Deutschland,CA,12100,1 April 1933,renamed Lützow
Devonshire,ENG,County,C,9750,18 March 1929,scrapped December 1954
Dewey,USA,Farragut,DD,1365,14 October 1934,scrapped 1946
Diana,Royal Navy  Royal Canadian Navy,D,DD,1375,21 December 1932,"Transferred to RCN 6 September 1940 as Margaree, sunk in 22 October 1940"
Dianella,ENG,Flower,K,925,6 January 1941[5],
Dianthus,ENG,Flower,K,925,17 March 1941[5],
Dickerson,USA,Wickes,DD,1150,3 September 1919,sunk 4 April 1945
Diomede,ENG,Danae,C,4850,24 April 1922,scrapped 1946
Dionne,USA,Evarts,DE,1140,16 July 1943,scrapped 1947
Dittany,Royal Navy  United States Navy,Flower modified,K,1015,7 March 1943,"to US as Beacon 7 March 1943, to UK 31 May 1943"
Dobler,USA,Evarts,DE,1140,17 May 1943,scrapped 1946
Doherty,USA,Evarts,DE,1140,6 February 1943,scrapped 1946
Donaldson,USA,Evarts,DE,1140,1 December 1943,scrapped 1946
Doneff,USA,Evarts,DE,1140,10 June 1943,scrapped 1947
Donnell,USA,Buckley,DE,1400,26 June 1943,"damaged August 1943 and converted to power barge, scrapped 1946"
Doran,USA,Gleaves,DD,1630,4 August 1942,"decommissioned 1947, scrapped 1973"
Dorsey,USA,Wickes,DD,1150,16 September 1918,"grounded in typhoon, 9 October 1945"
Dortch,USA,Fletcher,DD,2050,7 August 1943,"to Argentina 1961, scrapped 1977"
Douglas,ENG,Admiralty,destroyer flotilla leader,1610,2 September 1918,scrapped 20 March 1945
Douglas A. Munro,USA,John C. Butler,DE,1350,11 July 1944,"decommissioned 1960, sunk as target 1966"
Douglas H. Fox,USA,Allen M. Sumner,DD,2200,26 December 1944,"to Chile 1974, sunk as target 1998"
Douglas L. Howard,USA,Evarts,DE,1250,29 July 1943,"decommissioned 1946, scrapped 1974"
Downes,USA,Mahan,DD,1450,15 January 1937,"destroyed 7 December 1941 but ""rebuilt,"" scrapped 1948"
Doyle,USA,Gleaves,DD,1630,27 January 1943,"decommissioned 1955, scrapped 1972"
Doyle C. Barnes,USA,John C. Butler,DE,1350,13 July 1944,"decommissioned 1947, scrapped 1973"
Drache,GER,,CM,1870,17 April 1941,"captured from Yugoslav, Zmaj, sunk 22 September 1944"
Dragon,Royal Navy  Polish Navy,Danae,C,4850,August 1918,"damaged, then used as a blockship in ""Gooseberry"" breakwater, July 1944"
Drava,Royal Yugoslav Navy,Enns,river monitor,536,15 April 1920,sunk 12 April 1941
Drazki,Bulgarian Navy,Drazki,torpedo boat,97,1907,"Surviving parts were incorporated in a museum ship at the Naval Museum in Varna under the same name, using the hull of Strogi"
Drayton,USA,Mahan,DD,1450,1 September 1936,scrapped 1947
Drexler,USA,Allen M. Sumner,DD,2200,14 November 1944,sunk 28 May 1945
Dristigheten,Swedish Navy,Dristigheten,seaplane carrier,3445,5 September 1901,paid off 13 June 1947
Drottning Victoria,Swedish Navy,Sverige,coastal defence ship,7125,12 March 1921,"paid off 22 March 1957, scrapped 1959"
Drum,United States,Gato,SS,"1,525 surfaced",1 November 1941,"decommissioned 1967; museum at Mobile, Alabama"
Drumheller,Royal Canadian Navy,Flower,K,925,13 September 1941,paid off 11 July 1945
Dubrovnik,Royal Yugoslav Navy,Dubrovnik,DD,1210,August 1939,Scuttled by crew on 17 April 1941
Duffy,USA,Evarts,DE,1140,5 August 1943,scrapped 1947
Dufilho,USA,John C. Butler,DE,1350,21 July 1944,"decommissioned 1946, scrapped 1973"
Duguay-Trouin,French Navy  Free French Naval Forces,Duguay-Trouin,CL,7250,2 November 1926,decommissioned 9 March 1952
Duilio,Regia Marina,Andrea Doria,BB,25920,1915,1956
Duke of York,ENG,King George V,BB,35000,28 February 1940,scrapped 1957
Duluth,USA,Cleveland,CL,11800,18 September 1944,scrapped 1960
Dulverton,ENG,Hunt,DE,1000,September 1941,scuttled on 13 November 1943
Duncan (I),USA,Gleaves,DD,1630,16 April 1942,sunk 12 October 1942
Duncan (II),USA,Gearing,DD,2250,25 February 1945,"decommissioned 1971, sunk as target 1980"
Dundas,Royal Canadian Navy,Flower,K,925,1 April 1942,paid off 17 July 1945
Dundee,ENG,Shoreham,SL,1060,31 March 1933,Torpedoed and sunk 15 September 1940
Dunedin,ENG,Danae,C,4850,19 November 1918,lost 24 November 1941
Dunkerque,FRA,Dunkerque,BB,26500,15 April 1937,scuttled 27 November 1942
Dunlap,USA,Mahan,DD,1450,12 June 1937,scrapped 1948
Dunvegan,Royal Canadian Navy,Flower,K,925,9 September 1941,paid off 3 July 1945
Dunvegan Castle,ENG,,Armed merchant cruiser,15007,7 September 1939,sunk 28 August 1940
Dupleix,FRA,Suffren,CA,10000,7 July 1932,scuttled 27 November 1942
Du Pont,USA,Wickes,DD,1150,30 April 1919,scrapped 1947
Duquesne,French Navy  Free French Naval Forces,Duquesne,CA,10000,6 December 1928,condemned 1955
Durban,ENG,Danae,C,4850,1 November 1921,"""Gooseberry"" breakwater blockship, 9 June 1944"
Durant,USA,Edsall,DE,1250,17 February 1944,"decommissioned 1964, scrapped 1974"
Durik,USA,Buckley,DE,1400,16 November 1943,"decommissioned 1946, scrapped 1967"
Dyess,USA,Gearing,DD,2250,21 May 1945,scrapped 1981
Dyson,USA,Fletcher,DD,2050,30 December 1942,"to West Germany 1960, scrapped 1982"
