Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Falke,GER,Raubvogel,torpedo boat,1290,15 August 1927,sunk 15 June 1944
Fall River,USA,Baltimore,CA,17200,1 July 1945,"decommissioned 1947, scrapped 1972"
Fanning,USA,Mahan,DD,1450,8 October 1937,scrapped 1948
Fanshaw Bay,USA,Casablanca,CVE,7800,9 December 1943,"decommissioned 14 August 1946, scrapped 1959"
Farenholt,USA,Benson,DD,1620,2 April 1942,"decommissioned 1946, scrapped 1972"
Farndale,ENG,Hunt,DE,1050,27 April 1941,scrapped 1962
Farragut,USA,Farragut,DD,1365,18 June 1934,scrapped 1947
Fencer,ENG,Attacker,CVE,14400,20 February 1943,"paid off 21 December 1945, sold as a merchant ship; scrapped 1975"
Fennel,Royal Navy  Royal Canadian Navy,Flower,K,925,16 January 1941,"to Canada 15 May 1941, paid off 12 June 1945"
Fergus,Royal Canadian Navy,Flower modified,K,1015,18 November 1944,14 July 1945
Fernie,ENG,Hunt,DE,1000,29 May 1940,paid off 1947
Fidelity,ENG,,Special Service Ship,2456,24 September 1940,sunk 30 December 1942
Fiji,ENG,Fiji,CL,8000,5 May 1940,sunk 22 May 1941
Finisterre,ENG,Battle,DD,2325,11 September 1945[5],"paid off 1965, scrapped 1967"
Fitch,USA,Gleaves,DD,1630,3 February 1942,"decommissioned 1956, sunk as target 1973"
Fiume,Regia Marina,Zara,CA,11500,1931,sunk 29 March 1941
Fletcher,USA,Fletcher,DD,2100,30 June 1942,"Decommissioned 1 August 1969, scrapped 1972"
Fleur de Lys,ENG,Flower,K,925,26 August 1940,14 October 1941
Flint,USA,Atlanta,CL,6000,31 August 1944,"decommissioned 1947, scrapped 1966"
Flores,Royal Netherlands Navy,Flores,GB,1457,25 March 1926,scrapped November 1968
Flusser,USA,Mahan,DD,1450,1 October 1936,scrapped 1948
Forrest Hill,Royal Canadian Navy,Flower modified,K,1015,1 December 1943,9 July 1945
Fort Erie,Royal Canadian Navy,River,FF,1445,27 October 1944,paid off 26 March 1965
Foch,FRA,Suffren,CA,10000,15 August 1931,scuttled 27 November 1942
Folkestone,ENG,Folkestone,SL,1045,25 June 1940,scrapped 22 May 1947
Formidable,ENG,Illustrious,CV,23000,24 November 1940,scrapped 1953
Forrest,USA,Gleaves,DD,1630,13 January 1942,scrapped 1946
Fort Erie,Royal Canadian Navy,River,FF,1445,27 October 1944,paid off 26 March 1965
Fortune,Royal Navy  Royal Canadian Navy,F,DD,1405,27 April 1935,"to Canada as Saskatchewan 31 May 1943, mined 21 June 1944"
Foxhound,Royal Navy  Royal Canadian Navy,V,DD,1405,6 June 1935,"Transferred to RCN 8 February 1944 as Qu'Appelle, paid off 26 May 1946"
Frankford,USA,Gleaves,DD,1630,31 March 1943,"decommissioned 1946, sunk as target 1973"
Franklin,USA,Essex,CV,30800,31 January 1944,"Decommissioned 17 February 1947, scrapped 1964"
Fraser,Royal Canadian Navy,C,DD,1375,17 February 1937,sunk in a collision 25 June 1940
Frazier,USA,Benson,DD,1620,30 July 1942,"decommissioned 1946, scrapped 1972"
Frederick C. Davis,USA,Edsall,DE,1200,14 July 1943,sunk 24 April 1945
Fredericton,Royal Canadian Navy,Flower,K,925,8 December 1941,paid off 14 July 1945
Freesia,ENG,Flower,K,925,19 November 1940,
Fresia,CHL,H,SS,441,1917,scrapped 1945
Fridtjof Nansen,Royal Norwegian Navy,,patrol ship,1575,29 May 1931,ran aground and sank 8 November 1940
Fritillary,ENG,Flower,K,925,1 November 1941,
Frobisher,ENG,Hawkins,CA,9750,20 September 1924,"sold for scrap March 26, 1949"
Frome,Royal Navy  Free French Naval Forces,River,FF,1370,3 March 1944,"to Free French 3 March 1944 as Escarmouche, paid off 1960"
Frontenac,Royal Canadian Navy,Flower modified,K,1015,26 October 1943,22 July 1945
Fu An,Republic of China Navy,,GB,1900,,
Fubuki,JPN,Fubuki,DD,1750,10 August 1928,sunk 11 October 1942
Fujinami,JPN,Yūgumo,DD,2520,31 July 1943,sunk 10 January 1945
Fumizuki,JPN,Mutsuki,DD,1315,3 July 1926,sunk 18 February 1944
Furious,ENG,Glorious,CV,22400,14 October 1917,scrapped 1948
Furutaka,JPN,Furutaka,CA,9150,31 March 1926,sunk 20 December 1942
Fury,ENG,F,DD,1405,10 September 1934,"mined 21 June 1944, not repaired"
Fusō,JPN,Fusō,dreadnought,34700,18 November 1915,sunk 25 October 1944
Fuyutsuki,JPN,Akizuki,DD,2700,30 April 1944,scrapped and converted to breakwater 1948
