Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Gabbard,ENG,Battle,DD,2325,10 December 1946[5],paid off 1953
Gadila,Netherlands,Rapana,merchant aircraft carrier,8000,1944,returned to merchant service 1946; scrapped 1958
Gallant,ENG,G,DD,1335,25 February 1936,"sunk as a blockship September 1943, scrapped 1953"
Galt,Royal Canadian Navy,Flower,K,925,15 May 1941,paid off 21 June 1945
Gambia,Royal Navy  Royal New Zealand Navy,Fiji,CL,8000,21 February 1942,scrapped 1968
Gambier Bay,USA,Casablanca,CVE,7800,28 December 1943,Sunk 25 October 1944
Gamble,USA,Wickes,minelayer destroyer,1090,29 November 1918,"Damaged 17 February 1945, scuttled 16 July 1945."
Gansevoort,USA,Benson,DD,1620,25 August 1942,"decommissioned 1946, sunk as target 1972"
Gardenia,ENG,Flower,K,925,24 May 1940[6],9 November 1942[6]
Garland,Royal Navy  Polish Navy,G,DD,1335,3 March 1936,"to Poland 3 May 1940, paid off 24 September 1946"
Garth,ENG,Hunt,DE,1000,28 August 1940,scrapped 1958
Gato,USA,Gato,SS,"1,525 surfaced",31 December 1941,Scrapped 25 July 1960
General Belgrano,Argentine Navy,Giuseppe Garibaldi,armored cruiser,6100,c.1896,Stricken 8 May 1947
General Pueyrredon,Argentine Navy,Giuseppe Garibaldi,armored cruiser,6100,1897,Stricken 2 August 1954
Genista,ENG,Flower,K,925,8 December 1941,
Gentian,ENG,Flower,K,925,20 September 1940,
George Leygues,French Navy  Free French Naval Forces,La Galissonnière,CL,7600,15 November 1937,scrapped 1959
Georgetown,Royal Navy  Royal Canadian Navy  Soviet Navy,Town,DD,1200,23 September 1940,"to Canada September 1942, to USSR as Doblestny 10 August 1944"
Georgios Averof,Hellenic Navy,Pisa,armored cruiser,9450,16 May 1911,"Decommissioned 1952, museum ship"
Geranium,ENG,Flower,K,925,24 June 1940[6],
Gherardi,USA,Gleaves,DD,1630,15 September 1942,"decommissioned 1955, sunk as target 1973"
Giffard,Royal Canadian Navy,Flower modified,K,1015,10 November 1943,5 July 1945
Gilbert Islands,USA,Commencement Bay,CVE,10900,5 February 1945,scrapped 1 November 1979
Gillespie,USA,Benson,DD,1620,18 September 1942,"decommissioned 1946, sunk as target 1973"
Giovanni dalle Bande Nere,Regia Marina,Giussano,CL,5200,10 February 1932,Sunk 19 July 1940
Gipsy,ENG,G,DD,1350,22 February 1936,sunk 21 November 1939
Giulio Cesare,Regia Marina,Conte di Cavour,dreadnought,26140,10 May 1914,"Ceded to Soviet Union 1948, renamed Novorossiysk"
Giuseppe Garibaldi,Regia Marina,Duca degli Abruzzi,CL,9195,1937,scrapped 1972
Giuseppe Miraglia,Regia Marina,,seaplane tender,4965,1927,decommissioned 15 July 1950
Glace Bay,Royal Canadian Navy,River,FF,1445,2 September 1944,paid off 17 November 1945
Gladiolus,ENG,Flower,K,925,6 April 1940,sunk on 17 October 1941 by U-553[7]
Glaisdale,ENG,Hunt,DE,1050,12 June 1942,"to Norway after war, scrapped 1961"
Gleaves,USA,Gleaves,DD,1630,14 June 1940,Sold 29 June 1972 and broken up for scrap
Glennon,USA,Gleaves,DD,1630,8 October 1942,sunk 10 June 1944
Gloire,French Navy  Free French Naval Forces,La Galissonnière,CL,7600,15 November 1937,scrapped 1958
Gloriosa,ENG,Flower,K,925,,"Cancelled, 23 January 1941"
Glorious,ENG,Glorious,CV,22500,20 April 1916,sunk 8 June 1940[8]
Glory,ENG,Colossus,CV,13200,2 April 1945,scrapped August 1961
Gloucester,ENG,Town,CL,9400,31 January 1939,Sunk on 22 May 1941 during the Battle of Crete[9]
Glowworm,ENG,G,DD,1350,22 January 1936,sunk 8 April 1940
Gloxinia,ENG,Flower,K,925,22 August 1940,
Gneisenau,GER,Scharnhorst,BB,32000,21 May 1938,sunk as block ship March 1945
Goathland,ENG,Hunt,DE,1050,,constructive loss July 1944
Godavari,Royal Indian Navy,Black Swan,SL,1350,28 June 1943,1948
Godetia (I),ENG,Flower,K,925,15 July 1940,sunk in collision 6 September 1940
Godetia (II),ENG,Flower,K,925,23 February 1942,
Goldsborough,USA,Clemson,DD,1250,26 January 1920,Decommissioned 11 October 1945
Good Hope,South African Navy,Loch,FF,1435,1 December 1944,scrapped June 1978
Goodall,ENG,Captain,FF,1150,4 October 1943,sunk 29 April 1945
Gorizia,Regia Marina,Zara,CA,11900,1931,sunk 1943
Gouden Leeuw,Royal Netherlands Navy,Prins van Oranje,CM,1291,24 February 1932,scuttled 7 March 1942
Graf Zeppelin,GER,Graf Zeppelin,CV,23200,,"launched 8 December 1938, not completed, scuttled 16 August 1947[10]"
Grafton,ENG,G,DD,1350,20 March 1936,scuttled after torpedo attack by U-62 on 29 May 1940
Graph,Kriegsmarine  Royal Navy,Type VIIC,SS,769,launched 15 April 1941,"German U-boat, captured by the British, 27 August 1941. Ran aground September 1944"
Gravelines,ENG,Battle,DD,2325,14 June 1946[11],paid off March 1953
Grayson,USA,Gleaves,DD,1630,14 February 1941,"decommissioned 1947, scrapped 1974"
Greenhalgh,Brazilian Navy,Marcílio Dias,DD,1500,29 November 1943,decommissioned 1966
Greif,GER,Raubvogel,torpedo boat,1290,15 March 1927,sunk 23 May 1944
Grenade,ENG,G,DD,1350,28 March 1936,sunk 29 May 1940
Grenville (I),ENG,G,DD,1350,1 July 1936,sunk 19 January 1940
Grenville (II),ENG,U,DD,1777,27 May 1943,"paid off 1974, scrapped 1983"
Greyhound,ENG,G,DD,1350,1 February 1936,sunk 22 May 1941
Gridley,USA,Gridley,DD,1590,24 June 1937,scrapped 1947
Griffin,Royal Navy  Royal Canadian Navy,G,DD,1350,6 June 1936,"to Canada 1 March 1943 as Ottawa, paid off May 1945"
Grom,Polish Navy,Grom,DD,1975,11 May 1937,sunk 4 May 1940
Grou,Royal Canadian Navy,River,FF,1445,4 December 1943,paid off 25 December 1946
Grove,ENG,Hunt,DE,1050,5 February 1942,sunk 12 June 1942
Gryf,Polish Navy,Gryf,CM,2085,27 February 1938,sunk 3 September 1939
Guacolda,CHL,H,SS,441,1917,scrapped 1949
Guadalcanal,USA,Casablanca,CVE,7800,25 September 1943,"decommissioned 15 July 1946, scrapped 1959"
Guale,CHL,H,SS,441,1917,scrapped 1945
Guam,USA,Alaska,"battlecruiser (""large cruiser"")",27500,17 September 1944,scrapped August 1961
Guelph,Royal Canadian Navy,Flower modified,K,1015,9 May 1944,27 June 1945
Gurkha (I),ENG,Tribal,DD,2020,21 October 1938,sunk 9 April 1940
Gurkha (II),ENG,L,DD,1920,18 February 1941,sunk 17 January 1942
Gustav V,Swedish Navy,Sverige,coastal defence ship,7125,12 December 1922,"paid off 22 March 1957, scrapped 1970"
Gwin,USA,Gleaves,DD,1630,15 January 1941,sunk 13 July 1943
