Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
H28,ENG,H,SS,518,29 June 1918,scrapped 18 August 1944
H31,ENG,H,SS,518,21 February 1919,sunk 24 December 1941
H32,ENG,H,SS,518,14 May 1919,scrapped 18 October 1944
H33,ENG,H,SS,518,17 May 1919,scrapped 19 May 1944
H34,ENG,H,SS,518,10 September 1919,scrapped July 1945
H43,ENG,H,SS,518,25 November 1919,scrapped November 1944
H44,ENG,H,SS,518,15 April 1920,scrapped February 1945
H49,ENG,H,SS,518,25 October 1919,sunk 18 October 1940
H50,ENG,H,SS,518,3 February 1920,scrapped July 1945
Ha-101,JPN,Ha-101,transport submarine,493,22 November 1944,scrapped or scuttled October 1945
Ha-102,JPN,Ha-101,transport submarine,493,6 December 1944,scrapped or scuttled October 1945
Ha-103,JPN,Ha-101,transport submarine,493,3 February 1945,scuttled 1 April 1946
Ha-104,JPN,Ha-101,transport submarine,493,1 December 1944,scuttled October 1945
Ha-105,JPN,Ha-101,transport submarine,493,19 February 1945,scuttled 1 April 1946
Ha-106,JPN,Ha-101,transport submarine,493,15 December 1944,scuttled 1 April 1946
Ha-107,JPN,Ha-101,transport submarine,493,7 February 1945,scuttled 1 April 1946
Ha-108,JPN,Ha-101,transport submarine,493,6 May 1945,scuttled 1 April 1946
Ha-109,JPN,Ha-101,transport submarine,493,10 March 1945,scuttled 1 April 1946
Ha-111,JPN,Ha-101,transport submarine,493,13 July 1945,scuttled 1 April 1946
Ha-201,JPN,Ha-201,SS,440,31 May 1945,scuttled 1 April 1946
Ha-202,JPN,Ha-201,SS,440,31 May 1945,scuttled 1 April 1946
Ha-203,JPN,Ha-201,SS,440,20 June 1945,scuttled 1 April 1946
Ha-204,JPN,Ha-201,SS,440,25 June 1945,wrecked 29 October 1945
Ha-205,JPN,Ha-201,SS,440,3 July 1945,scuttled 9 May 1946
Ha-207,JPN,Ha-201,SS,440,14 August 1945,scuttled 5 April 1946
Ha-208,JPN,Ha-201,SS,440,4 August 1945,scuttled 1 April 1946
Ha-209,JPN,Ha-201,SS,440,4 August 1945,wrecked 18 August 1945
Ha-210,JPN,Ha-201,SS,440,11 August 1945,scuttled 5 April 1946
Ha-216,JPN,Ha-201,SS,440,16 August 1945,scuttled 5 April 1946
Haguro,JPN,Myoko,CA,13300,25 April 1929,sunk 16 May 1945
Hai Chao,Republic of China Navy,,SL,1250,,
Hai Chen,Republic of China Navy,gunship,,2680,,
Hai Chi,Republic of China Navy,,C,4300,,
Hai Chou,Republic of China Navy,gunship,,2680,,
Hai Yung,Republic of China Navy,,protected cruiser,2680,,
Haida,Royal Canadian Navy,Tribal,DD,2020,30 August 1943,paid off 11 October 1963; museum ship
Halford,USA,Fletcher,DD,2050,10 April 1943,decommissioned 15 May 1946; scrapped 2 April 1970
Halifax,Royal Canadian Navy,Flower,K,925,26 November 1941,paid off 12 July 1945
Hallowell,Royal Canadian Navy,River,FF,1445,8 August 1944,paid off 7 November 1945
Hambledon,ENG,Hunt,DD,1000,8 June 1940,"paid off December 1945, scrapped 1957"
Hambleton,USA,Gleaves,DD,1630,22 December 1941,"decommissioned 1955, scrapped 1972"
Hamilton,Royal Navy  Royal Canadian Navy,Town,DD,1060,23 September 1940,to Canada June 1941
Hammann,USA,Sims,DD,1570,11 August 1939,sunk 6 June 1942
Hancock,USA,Ticonderoga,CV,27100,15 April 1944,30 January 1976
Hansa,Nazi Germany,,MC,9138,2 February 1944,scrapped 1971
Harder,USA,Gato,SS,"1,525 surfaced",2 December 1942,Sunk 24 August 1944
Harding,USA,Gleaves,DD,1630,25 May 1943,scrapped 1947
Hardy (I),ENG,H,DD,1455,11 December 1936,beached and capsized under attack 10 April 1940
Hardy (II),ENG,V,DD,1710,August 1943,sunk 30 January 1944
Harebell,ENG,Flower,K,925,,
Haruna,JPN,Kongō,battlecruiser,31660,,sunk 28 July 1945
Harvester,ENG,Havant,DD,1340,23 May 1940,sunk 11 March 1943
Haste,USA,Flower modified,K,1015,6 April 1943,paid off 3 October 1945
Hasty,ENG,H,DD,1350,11 November 1936,sunk 15 June 1942.
Havant,ENG,Havant,DD,1340,19 December 1939,scuttled 1 June 1940
Havelock,ENG,Havant,DD,1340,10 February 1940,scrapped October 1946
Havock,ENG,H,DD,1350,16 January 1937,ran aground 6 April 1942
Hawkesbury,Royal Canadian Navy,Flower modified,K,1015,14 June 1944,10 July 1945
Haydon,ENG,Hunt,DE,1050,24 October 1942,paid off and scrapped 1958
Heartsease,Royal Navy  United States Navy,Flower,K,925,4 June 1940,"to USA 3 April 1942 as Courage, to UK 23 August 1945"
Heather,ENG,Flower,K,925,1 November 1940,
Heermann,USA,Fletcher,DD,2050,6 July 1943,"transferred to Argentina 1961, scrapped 1982"
Hekla,Royal Danish Navy,,light cruiser hulk,1322,,
Helena,USA,St. Louis,CL,10000,18 September 1939,sunk 6 July 1943
Heliotrope,Royal Navy  United States Navy,Flower,K,925,12 September 1940,"to USA as Surprise 24 March 1942, to UK 26 August 1945"
Helm,USA,Bagley,DD,1500,16 October 1937,scrapped 1947
Hemlock,ENG,Flower,K,925,,
Henley,USA,Bagley,DD,1500,14 August 1937,sunk 3 October 1943
Hepatica,Royal Navy  Royal Canadian Navy,Flower,K,925,12 November 1940,"to Canada 15 May 1941, paid off 27 June 1945"
Hereward,ENG,H,DD,1350,9 December 1936,sunk 29 May 1941
Hermes,ENG,,CV,10850,7 July 1923,sunk 9 April 1942
Herndon,USA,Gleaves,DD,1630,20 December 1942,"decommissioned 1946, sunk as target 1973"
Hero,Royal Navy  Royal Canadian Navy,H,DD,1350,23 October 1936,"to Canada 15 November 1943 as Chaudière, paid off 19 March 1946"
Hesperus,ENG,Havant,DD,1340,22 January 1940,scrapped November 1946
