Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
I-1,JPN,Type J1,cruiser submarine,2791,10 March 1926,wrecked 29 January 1943
I-2,JPN,Type J1,cruiser submarine,2791,24 July 1926,sunk 7 April 1944
I-3,JPN,Type J1,cruiser submarine,2791,30 November 1926,sunk 9 December 1942
I-4,JPN,Type J1,cruiser submarine,2791,24 December 1929,sunk 21 December 1942
I-5,JPN,Type J1 Modified,submarine aircraft carrier,2921,31 July 1932,sunk 19 July 1944
I-6,JPN,Type J2,submarine aircraft carrier,2921,15 May 1935,sunk 16 June 1944
I-7,JPN,Type J3,submarine aircraft carrier,3583,31 March 1937,wrecked 22 June 1943
I-8,JPN,Type J3,submarine aircraft carrier,3583,5 December 1938,sunk 31 March 1945
I-9,JPN,Type A1,submarine aircraft carrier,4129,13 February 1941,sunk 13 June 1943
I-10,JPN,Type A1,submarine aircraft carrier,4129,31 October 1941,sunk 4 July 1944
I-11,JPN,Type A1,submarine aircraft carrier,4129,16 May 1942,missing after 11 January 1944
I-12,JPN,Type A2,SS,4150,25 May 1944,sunk 13 November 1944
I-13,JPN,Type A3,submarine aircraft carrier,4762,16 December 1944,sunk 16 July 1945
I-14,JPN,Type A3,submarine aircraft carrier,4762,14 March 1945,sunk as target 28 May 1946
I-15,JPN,Type B1,submarine aircraft carrier,3654,30 September 1940,sunk 10 November 1942
I-16,JPN,Type C1,midget submarine-carrying submarine,3561,30 March 1940,sunk 19 May 1944
I-17,JPN,Type B1,submarine aircraft carrier,3654,24 January 1941,sunk 19 August 1943
I-18,JPN,Type C1,midget submarine-carrying submarine,3561,31 January 1941,sunk 11 February 1943
I-19,JPN,Type B1,submarine aircraft carrier,3654,28 April 1941,sunk 25 November 1943
I-20,JPN,Type C1,midget submarine-carrying submarine,3561,26 September 1940,missing after 31 August 1943
I-21,JPN,Type B1,submarine aircraft carrier,3654,15 July 1941,sunk 29 November 1943
I-22,JPN,Type C1,midget submarine-carrying submarine,3561,10 March 1941,sunk 6 October 1942
I-23,JPN,Type B1,submarine aircraft carrier,3654,27 September 1941,missing after 24 February 1942
I-24,JPN,Type C1,midget submarine-carrying submarine,3561,31 October 1941,sunk 1 June 1943
I-25,JPN,Type B1,submarine aircraft carrier,3654,15 October 1941,sunk 3 September 1943
I-26,JPN,Type B1,submarine aircraft carrier,3654,6 November 1941,sunk 26 October 1944
I-27,JPN,Type B1,submarine aircraft carrier,3654,24 February 1942,sunk 12 February 1944
I-28,JPN,Type B1,submarine aircraft carrier,3654,6 February 1942,sunk 17 May 1942
I-29,JPN,Type B1,submarine aircraft carrier,3654,27 February 1942,sunk 26 July 1944
I-30,JPN,Type B1,submarine aircraft carrier,3654,28 February 1942,sunk 13 October 1942
I-31,JPN,Type B1,submarine aircraft carrier,3654,30 May 1942,sunk 13 May 1943
I-32,JPN,Type B1,submarine aircraft carrier,3654,26 April 1942,sunk 24 March 1944
