Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
J-826,ENG,BYMS,AM,360,1 February 1943,from 1950 oceanographic research vessel RV Calypso
Jackal,ENG,J,DD,1690,31 March 1939,scuttled 11 May 1942
Jacob van Heemskerk,Royal Netherlands Navy,Tromp,C,4064,16 September 1939,decommissioned 20 November 1969
Jaguar,GER,Raubtier,torpedo boat,1320,1 June 1929,sunk 15 June 1944
Jaguar,ENG,J,DD,1690,12 September 1939,sunk 26 March 1942 by U-652
Jamaica,ENG,Fiji,CL,8000,29 June 1942,scrapped 1960
Janus,ENG,J,DD,1690,5 August 1939,sunk 23 January 1944
Jarvis,USA,Bagley,DD,1500,27 October 1937,sunk 9 August 1942
Jasmine,ENG,Flower,K,925,16 May 1941,
Java,Royal Netherlands Navy,Java,C,8078,1925,sunk 27 February 1942
Javelin,ENG,J,DD,1690,10 June 1939,scrapped 1949
Jean Bart,FRA,Courbet,dreadnought,23475,5 June 1913,"captured Germany 27 November 1942, sunk 1944, scrapped 14 December 1945"
Jean de Vienne,FRA,La Galissonnière,CL,7600,10 February 1937,scuttled 27 November 1942
Jeanne d'Arc,FRA,Jeanne d'Arc,CL,6496,14 August 1931,scrapped 1965
Jeffers,USA,Gleaves,DD,1630,5 November 1942,"decommissioned 1955, scrapped 1973"
Jersey,ENG,J,DD,1690,28 April 1939,sank 4 May 1941
Jervis,ENG,J,DD,1690,12 May 1939,scrapped 1949
Jervis Bay,ENG,Armed Merchant Cruiser,,14164,1 October 1940,sunk 5 November 1940
Jintsu,JPN,Sendai,CL,7100,31 July 1925,sunk 13 July 1943
Johan Maurits van Nassau (I),Royal Netherlands Navy,Johan Maurits van Nassau,GB,1537,5 April 1933,sunk 14 May 1940
Johan Maurits van Nassau (II),Royal Netherlands Navy,River,FF,1400,25 June 1943,"decommissioned 1958, sold for scrap 15 January 1959"
Johnston,USA,Fletcher,DD,2700,27 October 1943,sunk 25 October 1944
Joliette,Royal Canadian Navy,River,FF,1445,14 June 1944,paid off 19 November 1945
Jonquiere,Royal Canadian Navy,River,FF,1445,10 May 1944,paid off 23 September 1966
Jonquil,ENG,Flower,K,925,21 October 1940,
Jouett,USA,Somers,DD,1850,25 January 1939,scrapped 1946
Juan De Garray,Argentine Navy,Churruca,DD,1522,,paid off 25 March 1960
Jujuy,Argentine Navy,Catamarca,DD,1010,,Sold 10 January 1957
Jumna,Royal Indian Navy,Black Swan,SL,1250,13 May 1941,
Juneau,USA,Atlanta,CL,6000,14 February 1942,Sunk 13 November 1942
Juno,ENG,J,DD,1690,25 August 1939,sunk 21 May 1941
Junyō,JPN,Hiyō,CV,26949,5 May 1942,scrapped 1947
Jupiter,ENG,J,DD,1690,25 June 1939,sank 28 February 1942
