Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Kadashan Bay,USA,Casablanca,CVE,7800,18 January 1944,"decommissioned 14 June 1946, scrapped 1959"
Kaga,JPN,,CV,38200,1 November 1929,sunk 4 June 1942
Kaganovich,Soviet Navy,Maxim Gorkiy (Project 26 bis),CA,8200,6 December 1944,
Kako,JPN,Furutaka,CA,7950,31 July 1926,sunk 10 August 1942
Kaiyō,JPN,,CV,13600,23 November 1943,former troop transport; scrapped 1 September 1946
Kalinin Bay,USA,Casablanca,CVE,7800,27 November 1943,"decommissioned 15 May 1946, scrapped 1947"
Kalinin,Soviet Navy,Maxim Gorkiy (Project 26 bis),CA,8200,31 December 1942,
Kalk,USA,Benson,DD,1620,17 October 1942,"decommissioned 1946, sunk as target 1969"
Kamloops,Royal Canadian Navy,Flower,K,925,17 March 1941,paid off 27 June 1945
Kamsack,Royal Canadian Navy,Flower,K,925,4 October 1941,paid off 22 July 1945
Kanaris,Hellenic Navy,Hunt,DD,1050,10 August 1942,"paid off 1959, scrapped 1960"
Kandahar,ENG,K,DD,1690,10 October 1939,sunk 20 December 1941
Karachi,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Karlsruhe,GER,K,CL,6650,6 November 1929,sunk 9 April 1940
Kasaan Bay,USA,Casablanca,CVE,7800,4 December 1943,"decommissioned 6 July 1946, scrapped 1960"
Kashii,JPN,Katori,CL,6180,15 July 1941,sunk 12 January 1945
Kashima,JPN,Katori,CL,6180,31 May 1940,struck 5 October 1945; scrapped 1947
Kashmir,ENG,K,DD,1690,26 October 1939,sunk 23 May 1941
Katori,JPN,Katori,CL,6180,20 April 1940,sunk 18 February 1944
Katsuragi,JPN,Unryū,CV,17150,15 October 1944,Scrapped 1947
Kearny,USA,Gleaves,DD,1630,13 September 1940,"decommissioned 1946, scrapped 1972"
Keith,ENG,B,DD,1350,20 March 1931,sunk 1 June 1940
Kelly,ENG,K,DD,1690,23 August 1939,sunk 23 May 1941
Kelvin,ENG,K,DD,1690,27 November 1939,scrapped 1949
Kempenfelt,ENG,W,DD,1710,25 October 1943,paid off January 1946
Kendrick,USA,Benson,DD,1620,12 September 1942,"decommissioned 1946, sunk as target 1966"
Kenogami,Royal Canadian Navy,Flower,K,925,29 June 1941,paid off 9 July 1945
Kent,ENG,County,CA,9750,25 June 1928,scrapped January 1948
Kenya,ENG,Fiji,CL,8000,27 September 1940,scrapped 1962
Khartoum,ENG,K,DD,1690,6 November 1939,sunk 23 June 1940
Khedive,ENG,Ruler,CVE,11400,25 August 1943,"paid off 19 July 1946, scrapped 1975"
Kidd,USA,Fletcher,DD,2500,23 April 1943,"decommissioned 1964, museum ship at Baton Rouge, LA"
Kilkis,Hellenic Navy,Mississippi,BB,13000,1 February 1908,former USS Mississippi (BB-23); sunk 23 April 1941
Kimberley,ENG,K,DD,1690,21 February 1940,scrapped 1949
King George V,ENG,King George V,BB,35000,11 December 1940,decommissioned and scrapped 1949
Kingcup,ENG,Flower,K,925,30 December 1940,
Kingston,ENG,K,DD,1690,14 September 1939,constructive total loss 11 April 1942
Kinu,JPN,Nagara,CL,5088,10 November 1922,sunk 26 October 1944
Kinugasa,JPN,Aoba,CA,9000,30 September 1927,sunk 13 November 1942
Kipling,ENG,K,DD,1690,22 December 1939,sunk 11 May 1942
Kirishima,JPN,Kongō,battlecruiser,36600,19 April 1915,sunk 15 November 1942
Kirkland Lake,Royal Canadian Navy,River,FF,1445,21 August 1944,paid off 14 December 1945
Kirov,Soviet Navy,Kirov (Project 26),CA,7880,23 September 1938,scrapped 1974
Kiso,JPN,Kuma,CL,5100,29 January 1921,20 March 1944; sunk by USN aircraft west of Cavite
Kistna,Royal Indian Navy,Black Swan,SL,1350,26 August 1943,Scrapped 1980
Kitakami,JPN,Kuma,CL,5100,15 April 1921,30 November 1945; scrapped
Kitchener,Royal Canadian Navy,Flower,K,925,28 June 1942,paid off 11 July 1945
Kitkun Bay,USA,Casablanca,CVE,7800,15 December 1943,"decommissioned 19 April 1946, scrapped 1947"
Knapp,USA,Fletcher,DD,2500,16 September 1943,"Decommissioned: 4 March 1957, scrapped 1972"
Knight,USA,Gleaves,DD,1630,23 June 1942,"decommissioned 1947, sunk as target 1967"
Kokanee,Royal Canadian Navy,River,FF,1445,6 June 1944,paid off 21 December 1945
Köln,GER,K,CL,6650,January 1930,sunk 3 March 1945
Komet,GER,,MC,7500,2 June 1940,sunk 14 October 1942
Kondor,GER,Raubvogel,torpedo boat,1290,15 July 1927,decommissioned 28 June 1944
