Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Macdonough,USA,Farragut,DD,1365,15 March 1935,scrapped 1947
MacKenzie,USA,Benson,DD,1620,21 November 1942,"decommissioned 1946, sunk as target 1974"
Macoma,Royal Netherlands Navy,Rapana,merchant aircraft carrier,8000,1 April 1944,transferred to merchant service post-war
Macomb,USA,Gleaves,DD,1630,26 January 1942,"to Japan 1954, to Taiwan 1970, scrapped 1980"
Maddox,USA,Gleaves,DD,1630,31 October 1942,sunk 10 July 1943
Madison,USA,Benson,DD,1620,6 August 1940,"decommissioned 1946, sunk as target 1969"
Madras,Royal Indian Navy,Bathurst,K,1025,12 May 1942,Decommissioned 1960
Madura,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Magog,Royal Canadian Navy,River,FF,1445,7 May 1944,paid off 20 December 1944
Mahan,USA,Mahan,DD,1450,18 September 1936,sunk 7 December 1944
Mahratta,ENG,M,DD,1920,28 July 1942,sunk 25 February 1944
El Mahrousa,Egyptian Navy,,yacht,3417,1865,
Makassar Strait,USA,Casablanca,CVE,7800,27 April 1944,"decommissioned 9 August 1946, scrapped 1961"
Makin Island,USA,Casablanca,CVE,7800,9 May 1944,"decommissioned 19 April 1946, scrapped 1947"
Malaya,ENG,Queen Elizabeth,BB,31000,1 February 1916,"decommissioned 1944, scrapped 1948"
Mallow,ENG,Flower,K,925,2 July 1940,11 January 1944
Manila Bay,USA,Casablanca,CVE,7800,10 July 1943,"decommissioned 31 July 1946, scrapped 1959"
Manligheten,Swedish Navy,Äran,coastal defence ship,3650,,paid off 1950
Mansfield,ENG,Town,DD,1190,23 October 1940,paid off 22 June 1944
Manxman,ENG,Abdiel,CM,2650,20 June 1941,scrapped 1971
Maori,ENG,Tribal,DD,2020,2 January 1939,sunk 12 February 1942
Maplin,ENG,Pegasus,fighter catapult ship,,1932,
Marblehead,USA,Omaha,CL,7050,8 September 1924,scrapped 1946
Marcílio Dias,Brazilian Navy,Marcílio Dias,DD,1500,29 November 1943,Decommissioned 22 August 1972
Marcus Island,USA,Casablanca,CVE,7800,26 January 1944,"decommissioned 12 December 1946, scrapped 1960"
Marguerite,ENG,Flower,K,925,20 November 1940,
Marigold,ENG,Flower,K,925,28 February 1941,9 December 1942
Mariz e Barros,Brazilian Navy,Marcilio Dias,DD,1500,29 November 1943,Decommissioned 22 August 1972
Marjoram,ENG,Flower,K,925,,cancelled 23 January 1941
Marne,ENG,M,DD,1920,2 December 1941,scrapped 1970
Marocain,United States Navy  Free French Naval Forces,Cannon,DE,1240,29 February 1944,"to Free French 29 February 1944, decommissioned May 1964"
Marseillaise,FRA,La Galissonniere,CL,7600,10 October 1937,scuttled 27 November 1942
Marshal Ney,ENG,Marshal Ney,BM,6700,,scrapped in 1957
Marshal Soult,ENG,Marshal Ney,BM,6700,,scrapped July 1946
Marsuinul,Royal Romanian Navy,Marsuinul,SS,860 submerged,July 1943,"captured by the Soviet Union August 1944, scrapped after the war"
Martin,ENG,M,DD,1920,,sunk 10 November 1942
Maryland,USA,Colorado,BB,32600,21 July 1921,"decommissioned 1947, scrapped 1959"
Mashona,ENG,Tribal,DD,2020,28 March 1939,sunk 28 May 1941
Mason,USA,Evarts,DE,1140,20 March 1944,Scrapped 1947
Massachusetts,USA,South Dakota,BB,37970,12 May 1942,"Decommissioned 27 March 1947, museum ship"
Matabele,ENG,Tribal,DD,2020,25 January 1939,sunk 17 January 1941
Matane,Royal Canadian Navy,River,FF,1445,22 October 1943,paid off 11 February 1946
Matanikau,USA,Casablanca,CVE,7800,22 May 1944,"decommissioned 11 October 1946, scrapped 1960"
Matapedia,Royal Canadian Navy,Flower,K,925,9 May 1941,paid off 16 June 1945
Matchless,ENG,M,DD,1920,12 February 1942,"Decommissioned Apr 1946. Sold, Turkish Navy Aug 1957. Scrapped 1971"
Maunder,ENG,,Special Service Ship,5072,1919,paid off March 1941
Mauritius,ENG,Fiji,CL,8000,1 January 1941,scrapped 1965
Maury,USA,Gridley,DD,1590,5 August 1938,scrapped 1946
Maxim Gorky,Soviet Navy,Maxim Gorkiy (Project 26 bis),CA,8200,25 October 1940,Decommissioned Feb. 1956
Maya,JPN,Takao,CA,13350,30 June 1932,Sunk 23 October 1944
Mayflower,Royal Navy  Royal Canadian Navy,Flower,K,925,28 November 1940,"to Canada 15 May 1941, paid off 31 May 1945"
Mayo,USA,Benson,DD,1620,18 September 1940,"decommissioned 1946, scrapped 1972"
Mayrant,USA,Benson,DD,1500,13 September 1939,scuttled after A-bomb test 1948
McCall,USA,Gridley,DD,1590,22 June 1938,scrapped 1947
McCalla,USA,Gleaves,DD,1630,27 May 1942,"to Turkey 1949, scrapped 1973"
McCook,USA,Gleaves,DD,1630,15 March 1943,"decommissioned 1949, scrapped 1973"
McDougal,USA,Porter,DD,1850,23 December 1936,scrapped 1949
McLanahan,USA,Benson,DD,1620,19 December 1942,"decommissioned 1946, scrapped 1974"
Meade,USA,Benson,DD,1620,22 June 1942,"decommissioned 1946, sunk as target 1973"
Medway,ENG,,submarine tender,14650,July 1929,sunk 30 June 1942
Melbreak,ENG,Hunt,DE,1050,10 October 1942,paid off and scrapped 1956
