Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Nabob,Royal Navy  Royal Canadian Navy,Ruler,CVE,11400,7 September 1943,"Crewed by RCN, paid off 10 October 1944, scrapped December 1977"
Nachi,JPN,Myōkō,CA,13380,,sunk 5 November 1944
Nagara,JPN,Nagara,CL,5088,,lost 7 August 1944
Nagato,JPN,Nagato,dreadnought,42850,25 November 1920,sunk as target 29 July 1946
Nagpur,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Nairana,ENG,Nairana,CVE,14280,12 December 1943,"to Netherlands 23 March 1946, scrapped 1971"
Najaden,Royal Danish Navy,Najaden,torpedo boat,782,1947,
Naka,JPN,Sendai,CL,7100,1925,sunk 17 February 1944
Nanaimo,Royal Canadian Navy,Flower,K,925,26 April 1941,paid off 28 September 1945
Napanee,Royal Canadian Navy,Flower,K,925,12 May 1941,paid off 12 July 1945
Napier,Royal Australian Navy,N,DD,1773,28 November 1940,25 October 1945
Narbada,Royal Indian Navy,Black Swan,SL,1250,,"Transferred to Pakistan 1948, renamed Jhelum"
Narcissus,ENG,Flower,K,925,17 July 1941,
Nashville,USA,Brooklyn,CL,9475,6 June 1938,sold to Chile 1951 (Capitan Prat)
Nasik,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Nassau,USA,Bogue,CVE,11400,20 August 1942,"decommissioned 28 October 1946, scrapped June 1961"
Nasturtium,ENG,Flower,K,925,26 September 1940,
Natal,South African Navy,Loch,FF,1435,9 March 1945,Decommissioned 1 September 1965
Natoma Bay,USA,Casablanca,CVE,7800,14 October 1943,"decommissioned 20 May 1946, scrapped 1959"
Natori,JPN,Nagara,CL,5088,,lost 18 August 1944
Natsuzuki,JPN,Akizuki,DD,2700,8 April 1945,scrapped after the war
Nehenta Bay,USA,Casablanca,CVE,7800,3 January 1944,"decommissioned 15 May 1946, scrapped 1960"
Nelson,ENG,Nelson,BB,34000,10 September 1927,"decommissioned February 1948, scrapped March 1949"
Nelson,USA,Gleaves,DD,1630,26 November 1942,"decommissioned 1947, scrapped 1969"
Nene,Royal Navy  Royal Canadian Navy,River,FF,1445,8 April 1943,"to Canada 4 June 1944, paid off 11 June 1945"
Nepal,Royal Australian Navy,N,DD,1773,29 May 1942,"paid off 22 October 1945, sold for scrap 1955"
Neptune,ENG,Leander,CL,7000,23 February 1934,lost 19 December 1941
Nestor,Royal Australian Navy,N,DD,1773,12 February 1941,scuttled 15 June 1942
Nevada,USA,Nevada,BB,29000,11 March 1916,decommissioned 29 July 1946; sunk as a target 31 July 1948
New Glasgow,Royal Canadian Navy,River,FF,1445,22 December 1943,paid off 30 January 1967
New Jersey,USA,Iowa,BB,57271,23 May 1943,decommissioned 1991. museum ship
New Mexico,USA,New Mexico,BB,33000,20 May 1918,Scrapped November 1947
New Orleans,USA,New Orleans,CA,9950,12 April 1933,"Decommissioned 10 February 1947, scrapped 1959"
New Waterford,Royal Canadian Navy,River,FF,1445,21 January 1944,paid off 2 December 1966
New Westminster,Royal Canadian Navy,Flower,K,925,31 January 1942,paid off 21 June 1945
New York,USA,New York,BB,27000,15 April 1914,"decommissioned 29 August 1946, sunk as target 8 July 1948"
Newark,ENG,Town,DD,1060,26 November 1940,scrapped February 1947
Newfoundland,ENG,Fiji,CL,8800,21 January 1943,"sold to Peru 1959, renamed Almirante Grau"
Newmarket,ENG,Town,DD,1060,26 November 1940,scrapped September 1945
Newport,Royal Norwegian Navy,Town,DD,1190,March 1942,"June 1942, returned to RN"
