Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
O'Brien,USA,Sims,DD,1570.0,2 March 1940,sunk 19 October 1942
Oakland,USA,Atlanta,CL,6000.0,17 July 1943,"decommissioned 1949, scrapped 1959"
Oakley,ENG,Hunt,DD,1050.0,7 May 1942,
Oakville,Royal Canadian Navy,Flower,K,925.0,18 November 1941,paid off 20 July 1945
Obdurate,ENG,O,minelayer destroyer,1540.0,3 September 1942,"paid off 1948, scrapped 1965"
Obedient,ENG,O,minelayer destroyer,1540.0,30 October 1942,"paid off 1957, scrapped 1962"
Oberon,ENG,Odin,SS,1922.0,24 August 1927,paid off 5 July 1944
Ocean,ENG,Colossus,CV,13200.0,8 August 1945,scrapped May 1962
Odin,ENG,Odin,SS,2038.0,21 December 1929,Sunk 14 June 1940
Offa,ENG,O,DD,1540.0,20 September 1941,scrapped 1959
Ōi,JPN,Kuma,CL,5100.0,10 October 1921,sunk by USS Flasher 19 July 1944
Okinoshima,JPN,,CM,4290.0,30 September 1936,sunk 12 May 1942
Oklahoma,USA,Nevada,BB,29000.0,2 May 1916,sunk 7 December 1941; raised and sunk under tow 1947
Oklahoma City,USA,Cleveland,CL,11800.0,22 December 1944,"converted to missile cruiser 1960, sunk as target 1999"
Oktyabrskaya Revolutsiya,Soviet Navy,Gangut,BB,23000.0,3 June 1909,scrapped 1959
Oldenburg,GER,,CM,1141.0,13 September 1943,former water tanker Garigiliano captured from Italy[5]
Olympus,ENG,Odin,SS,2038.0,14 June 1930,sunk 8 May 1942
Omaha,USA,Omaha,CL,7050.0,24 February 1923,Scrapped February 1946
Ommaney Bay,USA,Casablanca,CVE,7800.0,11 February 1944,scuttled 4 January 1945
Onslaught,ENG,O,DD,1540.0,19 June 1942,scrapped 1977
Onslow,ENG,O,DD,1540.0,8 October 1941,paid off April 1947
Ontario,Royal Canadian Navy,Minotaur,CL,8800.0,July 1944,laid up 15 October 1958
Opportune,ENG,O,minelayer destroyer,1540.0,14 August 1942,"paid off 1954, scrapped 1955"
Orchis,ENG,Flower,K,925.0,29 November 1940,21 August 1944
Ordronaux,USA,Benson,DD,1620.0,13 February 1943,"decommissioned 1947, scrapped 1973"
Orillia,Royal Canadian Navy,Flower,K,925.0,25 November 1940,paid off 2 July 1945
Orella,Chile,Serrano,DD,1090.0,,
Oribi,ENG,O,DD,1540.0,5 July 1941,paid off 1 January 1946
Orion,ENG,Leander,CL,7000.0,18 January 1934,scrapped 1949
Orion,GER,,MC,15700.0,9 December 1939,sunk 4 May 1945
Orkney,Royal Canadian Navy,River,FF,1445.0,18 April 1944,paid off 22 January 1946
Orpheus,ENG,Odin,SS,2038.0,23 September 1930,Sunk 19 June 1940
Orwell,ENG,O,minelayer destroyer,1540.0,17 October 1942,
Orzeł,Poland,Orzeł,SS,1100.0,2 February 1939,sunk 11 June 1940
Oscar II,Swedish Navy,Oscar II,coastal defence ship,,,"paid off 1950, scrapped 1974"
Osiris,ENG,Odin,SS,2038.0,25 January 1929,paid off 7 March 1945
Oswald,ENG,Odin,SS,2038.0,1 May 1929,Sunk 1 August 1940
Ottawa,Royal Canadian Navy,C,DD,1375.0,15 June 1938,sunk 14 September 1942 by U-91
Otus,ENG,Odin,SS,2038.0,5 July 1929,paid off March 1946
Otway,ENG,Odin,SS,1922.0,15 June 1927,paid off 1945
Ouragan,French Navy  Free French Naval Forces  Poland,Bourrasque,DD,1319.0,19 January 1927,"to Poland 17 July 1940, to Free French 30 April 1941, scrapped 7 April 1949"
Outremont,Royal Canadian Navy,River,FF,1445.0,27 November 1943,paid off 7 June 1965
Owen Sound,Royal Canadian Navy,Flower modified,K,1015.0,17 November 1943,19 July 1945
Oxley,ENG,Odin,SS,1922.0,1 April 1927,sunk by friendly fire 10 September 1939
Oxlip,ENG,Flower,K,925.0,28 December 1941,
Ōyodo,JPN,Ōyodo,CL,11433.0,28 February 1943,sunk 25 July 1945
