Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
P222,ENG,S,SS,814,4 March 1942,sunk 12 December 1942
Pakenham,ENG,P,DD,1690,4 February 1942,"constructive loss, scuttled 16 April 1943"
Paladin,ENG,P,DD,1690,December 1941,"paid off June 1961, scrapped 1962"
Pandora,ENG,Parthian,SS,2070,30 June 1930,"sunk 1 April 1942, scrapped 1955"
Panthir,Hellenic Navy,Aetos,DD,1030,19 October 1912,Decommissioned 1946
Panther,ENG,P,DD,1690,12 December 1941,sunk 9 October 1943
,Argentine Navy,Rosario,GB,1055,1909,Sold 28 August 1958
Paris,French Navy  Royal Navy,Courbet,dreadnought,23475,5 June 1913,"captured by Britain 3 July 1940 used as depot ship, scrapped 1956"
Parker,USA,Benson,DD,1620,31 August 1942,"decommissioned 1947, scrapped 1973"
Parry Sound,Royal Canadian Navy,Flower modified,K,1015,30 August 1944,10 July 1945
Parthian,ENG,Parthian,SS,2070,30 June 1930,sunk August 1943
Partridge,ENG,P,DD,1690,5 July 1941,paid off 1 January 1946
Pasadena,USA,Cleveland,CL,11800,8 June 1944,scrapped 1970
Pathan,Royal Indian Navy,P,SL,623,5 August 1921,sunk 23 June 1940
Pathfinder,ENG,P,DD,1690,13 April 1942,"paid off 1945, scrapped 1948"
Patia,ENG,,fighter catapult ship,5355,1940,sunk 27 April 1941
Patna,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Patria,Cuba,,GB,1200,,
Patroclus,ENG,,armed merchant cruiser,11314,12 September 1939,sunk 4 November 1940
Patroller,ENG,Ruler,CVE,11400,22 October 1943,"paid off 7 February 1947, scrapped February 1974"
Patterson,USA,Bagley,DD,1500,22 September 1937,scrapped 1947
Peder Skram,Royal Danish Navy,Herluf Trolle,coastal defence ship,3494,,scuttled 29 August 1943
Pegasus,ENG,,fighter catapult ship,7080,10 December 1914,"HMS Ark Royal to 1934, paid off June 1946"
Penetang,Royal Canadian Navy,River,FF,1445,19 October 1944,paid off 2 September 1955
Penn,ENG,P,DD,1690,10 February 1942,scrapped 30 October 1950
Pennsylvania,USA,Pennsylvania,BB,33000,12 June 1916,"Decommissioned 29 August 1946, sunk as target 10 February 1948"
Pennywort,ENG,Flower,K,925,5 March 1942,
Pensacola,USA,Pensacola,CA,9100,6 February 1930,sunk as target 1948
Pentstemon,ENG,Flower,K,925,31 July 1941,
Penylan,ENG,Hunt,DD,1050,25 August 1942,sunk 3 December 1942
Peony,Royal Navy  Hellenic Navy,Flower,K,925,2 August 1940,"to Greece as Sachtouris 1943, scrapped 1952"
Perkins,USA,Mahan,DD,1450,18 September 1936,sunk 29 November 1942
Periwinkle,Royal Navy } United States Navy,Flower,K,925,8 April 1940,"to USA as Restless 15 March 1942, to UK 26 August 1945"
Perseus (I),ENG,Colossus,aircraft maintenance carrier,13200,16 December 1944,"transferred to France 6 August 1946, renamed Arromanches"
Perseus (II),ENG,Parthian,SS,2070,15 April 1930,sunk 6 December 1941.
Pert,USA,Flower modified,K,1015,23 July 1943,3 October 1945
Perth,Royal Australian Navy,modified Leander,CL,6980,29 June 1939 (former HMS Amphion),sunk 1 March 1942
Peshawar,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Petard,ENG,P,DD,1690,15 June 1942,scrapped June 1967
Peterborough,Royal Canadian Navy,Flower modified,K,1015,1 June 1944,19 July 1945
Petrof Bay,USA,Casablanca,CVE,7800,18 February 1944,"decommissioned 31 July 1955, scrapped 1959"
Petropavlovsk,Soviet Navy,Admiral Hipper,CA,14680,,"fought incomplete in siege of Leningrad, and as Tallinn"
Petunia,ENG,Flower,K,925,13 January 1941,
Phelps,USA,Porter,DD,1850,26 February 1936,scrapped 1947
Philadelphia,USA,Brooklyn,CL,10200,23 September 1937,"transferred to Brazil as Almirante Barroso 1951, scrapped 1973"
Phlox,ENG,Flower,K,925,May 1942,
Phoenix,USA,Brooklyn,CL,10200,3 October 1938,"transferred to Argentina as General Belgrano 1951, sunk by HMS Conqueror in Falklands War on 2 May 1982"
Phoenix,ENG,Parthian,SS,2070,3 February 1931,sunk 16 July 1940
Picotee,ENG,Flower,K,925,5 September 1940,sunk on 12 August 1941 by U-568[5]
Pictou,Royal Canadian Navy,Flower,K,925,29 April 1941,paid off 12 July 1945
Piet Hein,Royal Netherlands Navy,Admiralen,DD,1337,25 January 1929,Sunk 19 February 1942
Pimpernel,ENG,Flower,K,925,9 January 1941,
Pindos,Hellenic Navy,Hunt,DD,1050,27 June 1942,"paid off 1959, scrapped 1960"
Ping Hai,Republic of China Navy,,CL,2200,1936,became Yasoshima (Japan) 1944
Pinguin,GER,,Auxiliary cruiser,17600,6 February 1940,sunk 8 May 1941
Pink,ENG,Flower,K,925,2 July 1942,declared total loss after 27 June 1944 in attack by U-988[6]
Pioneer,ENG,Colossus,aircraft maintenance carrier,13200,8 February 1945,scrapped September 1954
Piorun,Polish Navy,N,DD,1690,4 November 1940,"to Poland October 1940, to UK August 1946, scrapped 1955"
Pittsburgh,USA,Baltimore,CA,17200,10 October 1944,"decommissioned 1956, scrapped 1974"
Plunkett,USA,Gleaves,DD,1630,17 July 1940,"to Taiwan 1959, scrapped 1975"
Pluton,FRA,,minelayer light cruiser,4773,10 April 1931,lost 13 September 1939
Pola,Regia Marina,Zara,CA,11730,1932,sunk 28 March 1941
Polyanthus,ENG,Flower,K,925,24 April 1941,sunk on 21 September 1943 by U-952[7]
Pompeo Magno,Regia Marina,Capitani Romani,light cruiser (also known as exploratori oceanici),3750,,
Poona,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944
Poppy,ENG,Flower,K,925,12 May 1942,
Porcupine,ENG,P,DD,1690,31 August 1942,"Strangest vessel of the war? Torpedoed, split almost in half, declared constructive loss March 1943. Towed to harbour, cut into two, rebuilt, and each half was re-commissioned into the Royal Navy; as HMS Pork, and HMS Pine. Paid off 31 August 1946."
Port Arthur,Royal Canadian Navy,Flower,K,925,26 May 1942,paid off 11 July 1945
Port Colborne,Royal Canadian Navy,River,FF,1445,15 November 1943,paid off 7 November 1945
Porter,USA,Porter,DD,1850,25 August 1936,sunk 26 October 1942
Portland,USA,Portland,CA,9950,23 February 1933,"decommissioned 1946, scrapped 1959"
Portsmouth,USA,Cleveland,CL,11800,20 September 1944,scrapped 1974
Poseidon,ENG,Parthian,SS,2070,5 May 1930,sunk in accidental collision with a merchant 9 June 1931
Potentilla,Royal Navy  Royal Norwegian Navy,Flower,K,925,16 January 1942,"to Norway 16 January 1942, to RN 13 March 1944"
Poundmaker,Royal Canadian Navy,River,FF,1445,17 September 1944,paid off 25 November 1945
Premier,ENG,Ruler,CVE,11400,3 November 1943,"paid off 21 May 1946, scrapped 1976"
Prescott,Royal Canadian Navy,Flower,K,925,26 June 1941,paid off 20 July 1945
Preston,USA,Mahan,DD,1450,27 October 1936,sunk 14 November 1942
Prestonian,Royal Canadian Navy,River,FF,1445,13 September 1944,paid off 24 April 1956
Pretoria Castle,ENG,,armed merchant cruiser,23450,28 November 1939,"training merchant aircraft carrier from July 1943, reconverted to passenger liner"
Primauguet,FRA,Duguay-Trouin,CL,7249,1 April 1927,scuttled 8 November 1942
Primrose,ENG,Flower,K,925,15 July 1940,
Primula,ENG,Flower,K,925,27 August 1940,
Prudent,USA,Flower modified,K,1015,16 August 1943,11 October 1945
Prince David,Royal Canadian Navy,,armed merchant cruiser,5736,28 December 1940,Broken up 1951
Prince Henry,Royal Canadian Navy,,armed merchant cruiser,6893,3 November 1940,paid off July 1946
Prince of Wales,ENG,King George V,BB,35000,31 March 1941,sunk 10 December 1941
Prince Robert,Royal Canadian Navy,,armed merchant cruiser,6892,December 1940,paid off 10 December 1945
Prince Rupert,Royal Canadian Navy,River,FF,1445,30 August 1943,paid off 15 January 1946
Princeton,USA,Independence,CVL,11000,25 February 1943,sunk 24 October 1944
Prins van Oranje,Royal Netherlands Navy,Prins van Oranje,CM,1291,2 February 1932,sunk 12 January 1942
Prinz Eugen,GER,enlarged Admiral Hipper,CA,14680,1 August 1940,sunk after A-bomb test at Bikini in 1946
Proteus,ENG,Parthian,SS,2070,5 May 1930,Scrapped in March 1946 at Troon
Provence,FRA,Bretagne,BB,22200,1 March 1916,"scuttled 27 November 1942,"
Providence,USA,Cleveland,CL,11800,15 May 1945,"converted to missile cruiser 1959, scrapped 1980"
Prunella,ENG,,Special Service Ship,4443,,sunk 21 June 1940
Psara,Hellenic Navy,Kountouriotis,DD,1350,1933,sunk 20 April 1941
Puckeridge,ENG,Hunt,DD,1000,,sunk 6 September 1943 by U-617
Puget Sound,USA,Commencement Bay,CVE,10900,18 June 1945,scrapped January 1962
Puncher,Royal Navy  Royal Canadian Navy,Ruler,CVE,11400,5 February 1944,"Crewed by RCN, paid off 16 February 1946, scrapped 1973"
