Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Racehorse,ENG,R,DD,1705.0,1942,scrapped 8 December 1949
Raider,ENG,R,DD,1705.0,1942,paid off January 1946
Raimondo Montecuccoli,Regia Marina,Montecuccoli,CL,3184.0,1935,decommissioned 1964
Rainbow,ENG,Rainbow,SS,2060.0,18 January 1932,Sunk 4 October 1940 in collision
Rajah,ENG,Ruler,CVE,11400.0,17 January 1944,"paid off 7 February 1947, scrapped 1975"
Rajputana,ENG,,armed merchant cruiser,16568.0,December 1939,sunk 13 April 1941
Raleigh,USA,Omaha,CL,7050.0,6 February 1924,scrapped 1946
Ralph Talbot,USA,Bagley,DD,1500.0,14 October 1937,"scuttled after A-bomb test, 1948"
Ramb I,Regia Marina,,Armed merchant cruiser,3667.0,10 June 1940,sunk 27 February 1941
Ramb II,Regia Marina,,Armed merchant cruiser,3667.0,10 June 1940,"to Japanese as Calitea II, sunk on 12 January 1945"
Ramb III,Regia Marina,,Armed merchant cruiser,3667.0,10 June 1940,"to Germany 9 September 1943, then in post-war service with the Yugoslav Navy as Galeb"
Ramillies,ENG,Revenge,BB,29150.0,1 September 1917,"Decommissioned 31 August 1945, scrapped 1949"
Rampur,Royal Indian Navy,Basset,AM,529.0,1941–1944,1941–1944
Ramsay,USA,Wickes,minelayer destroyer,1090.0,15 February 1919,"Decommissioned 19 October 1945, scrapped 1947"
Randolph,USA,Essex,CV,27100.0,29 June 1944,"decommissioned 13 February 1969, scrapped 1975"
Ranee,ENG,Ruler,CVE,7800.0,2 June 1943,"paid off 22 January 1947, scrapped 1973"
Ranger,USA,Ranger,CV,14500.0,4 June 1934,"decommissioned 18 October 1946, scrapped 1947"
Ranunculus,ENG,Flower,K,925.0,28 July 1941,returned to Royal Navy 1947
Rapana,ENG,Rapana,merchant aircraft carrier,16000.0,July 1943,transferred to merchant service post-war; renamed Rotula
Rapid,ENG,R,DD,1705.0,20 February 1943,"sunk as target, 13 September 1981"
Ravager,ENG,Ruler,CVE,14630.0,25 April 1943,"paid off February 1946, scrapped 1973"
Rawalpindi,ENG,,Armed merchant cruiser,16697.0,1 October 1939,Sunk 23 November 1939
Razumny,Soviet Navy,Gnevny,DD,1695.0,November 1941,scrapped 1964
Reaper,ENG,Ruler,CVE,7800.0,21 February 1944,"paid off 2 July 1946, scrapped 1967"
Rechinul,Royal Romanian Navy,Rechinul,SS,585.0,9 May 1943,"captured by the Soviets in August 1944, scrapped after the war"
Redmill,ENG,Captain,FF,1300.0,30 November 1943,declared total loss 27 April 1945
Redoubt,ENG,R,DD,1705.0,1 October 1942,"transferred to the Indian Navy as Ranjit, 1949; scrapped 1979"
Regent,ENG,Rainbow,SS,2060.0,11 November 1930,Sunk 18 April 1943
Regina,Royal Canadian Navy,Flower,K,925.0,22 January 1942,sunk on 8 August 1944 by U-667
Regulus,ENG,Rainbow,SS,2060.0,7 December 1930,Sunk 6 December 1940
Reid,USA,Mahan,DD,1450.0,2 November 1936,sunk 11 December 1944
Relentless,ENG,R,DD,1705.0,30 November 1942,paid off August 1965
Reno,USA,Atlanta,CL,6000.0,28 December 1943,"decommissioned 1946, scrapped 1962"
Renoncule,Free French Naval Forces,Flower,K,925.0,28 July 1941,1947
Renown,ENG,Renown,battlecruiser,32000.0,20 September 1916,scrapped 1948
Repulse,ENG,Renown,battlecruiser,32000.0,18 August 1916,sunk 10 December 1941
Resolution,ENG,Revenge,BB,29150.0,7 December 1916,scrapped 1949
Restigouche,Royal Canadian Navy,C,DD,1375.0,15 June 1938,paid off 6 October 1945
Reuben James,USA,Clemson,DD,1200.0,24 September 1920,"sunk by U-552, 31 October 1941"
Revenge,ENG,Revenge,BB,29150.0,1 February 1916,scrapped 1948
Rhind,USA,Benham,DD,1500.0,10 November 1939,scuttled after A-bomb test 1948
Rhododendron,ENG,Flower,K,925.0,18 October 1940,decommissioned 1947; sold 1950; scrapped 1968
Ribble,Royal Navy  Royal Canadian Navy,River,FF,1445.0,1944,"to Canada 24 July 1944, paid off 11 June 1945"
Richelieu,French Navy  Free French Naval Forces,Richelieu,BB,35000.0,15 July 1940,scrapped 1968
Fairfax,Royal Navy  Royal Canadian Navy  Soviet Navy,Town,DD,1060.0,26 November 1940,"to Canada 1942, to USSR 16 July 1944 as Jivoochyi"
Richmond,USA,Omaha,CL,7050.0,2 July 1923,scrapped 1946
Rimouski,Royal Canadian Navy,Flower,K,925.0,26 April 1941,paid off 24 July 1945
Rio Grande do Sul,Brazilian Navy,Bahia,CL,3100.0,1910,scrapped 1948
Riquelme,CHL,Serrano,DD,1090.0,,Discarded 1963
Rivadavia,Argentine Navy,Rivadavia,dreadnought,27720.0,27 August 1914,scrapped February 1956
Riviere du Loup,Royal Canadian Navy,Flower modified,K,1015.0,21 November 1943,2 July 1945
Ro-31,JPN,Kaichū V type,training submarine,1030.0,10 May 1927,scuttled 5 April 1946
Ro-33,JPN,Kaichū VI type,SS,1200.0,7 October 1935,sunk 29 August 1942
Ro-34,JPN,Kaichū VI type,SS,1200.0,31 May 1937,sunk 7 April 1943
Ro-35,JPN,Kaichū VII type,SS,1447.0,25 March 1943,sunk 25 August 1943
Ro-36,JPN,Kaichū VII type,SS,1447.0,27 May 1943,sunk 13 June 1944
Ro-37,JPN,Kaichū VII type,SS,1447.0,30 June 1943,sunk 22 January 1944
Ro-38,JPN,Kaichū VII type,SS,1447.0,24 July 1943,missing after 19 November 1943
Ro-39,JPN,Kaichū VII type,SS,1447.0,12 September 1943,sunk 1 February 1944
Ro-40,JPN,Kaichū VII type,SS,1447.0,28 September 1943,sunk 16 February 1944
Ro-41,JPN,Kaichū VII type,SS,1447.0,26 November 1943,sunk 23 March 1945
Ro-42,JPN,Kaichū VII type,SS,1447.0,31 August 1943,sunk 11 June 1944
Ro-43,JPN,Kaichū VII type,SS,1447.0,16 December 1943,sunk 26 February 1945
Ro-44,JPN,Kaichū VII type,SS,1447.0,13 September 1943,sunk 16 June 1944
Ro-45,JPN,Kaichū VII type,SS,1447.0,11 January 1944,sunk 30 April 1944
Ro-46,JPN,Kaichū VII type,SS,1447.0,19 February 1944,missing after 17 April 1945
Ro-47,JPN,Kaichū VII type,SS,1447.0,31 January 1944,sunk 26 September 1944
Ro-48,JPN,Kaichū VII type,SS,1447.0,31 March 1944,Sunk 19 July 1944
Ro-49,JPN,Kaichū VII type,SS,1447.0,19 May 1944,missing after 25 March 1945
Ro-50,JPN,Kaichū VII type,SS,1447.0,31 July 1944,scuttled 1 April 1946
Ro-55,JPN,Kaichū VII type,SS,1447.0,30 September 1944,sunk 7 February 1945
Ro-56,JPN,Kaichū VII type,SS,1447.0,15 November 1944,sunk 9 April 1945
Ro-57,JPN,Type L3,training submarine,1102.7,30 July 1922,scrapped 1946
Ro-58,JPN,Type L3,training submarine,1102.7,25 November 1922,scrapped 1946
Ro-59,JPN,Type L3,training submarine,1102.7,20 March 1923,scrapped 1946
Ro-60,JPN,Type L4,SS,1301.0,17 September 1923,wrecked 29 December 1941
Ro-61,JPN,Type L4,SS,1301.0,9 February 1924,sunk 31 August 1942
Ro-62,JPN,Type L4,SS,1301.0,24 July 1924,scuttled May 1946
Ro-63,JPN,Type L4,SS,1301.0,20 December 1924,scuttled May 1946
Ro-64,JPN,Type L4,SS,1301.0,30 April 1925,sunk 12 April 1945
Ro-65,JPN,Type L4,SS,1301.0,30 June 1926,sunk in diving accident 3 November 1942
Ro-66,JPN,Type L4,SS,1301.0,28 July 1927,sunk in collision 17 December 1941
Ro-67,JPN,Type L4,SS,1301.0,15 December 1926,scrapped 1946
Ro-68,JPN,Type L4,SS,1301.0,29 October 1925,scuttled 30 April 1946
Ro-100,JPN,Ko type,coastal submarine,782.0,23 September 1942,sunk 25 November 1943
Ro-101,JPN,Ko type,coastal submarine,782.0,31 October 1942,sunk 15 September 1943
Ro-102,JPN,Ko type,coastal submarine,782.0,17 November 1942,missing after 9 May 1943
Ro-103,JPN,Ko type,coastal submarine,782.0,21 October 1942,missing after 28 July 1943
Ro-104,JPN,Ko type,coastal submarine,782.0,25 February 1943,sunk 23 May 1944
Ro-105,JPN,Ko type,coastal submarine,782.0,5 March 1943,sunk 31 May 1944
Ro-106,JPN,Ko type,coastal submarine,782.0,26 December 1942,sunk 22 May 1944
Ro-107,JPN,Ko type,coastal submarine,782.0,26 December 1942,missing after 6 July 1943
Ro-108,JPN,Ko type,coastal submarine,782.0,20 April 1943,sunk 26 May 1944
Ro-109,JPN,Ko type,coastal submarine,782.0,30 April 1943,sunk 25 April 1945
Ro-110,JPN,Ko type,coastal submarine,782.0,6 July 1943,Sunk 11 February 1944
Ro-111,JPN,Ko type,coastal submarine,782.0,19 July 1943,sunk 10 June 1944
Ro-112,JPN,Ko type,coastal submarine,782.0,14 September 1943,sunk 11 February 1945
Ro-113,JPN,Ko type,coastal submarine,782.0,12 October 1943,sunk 13 February 1945
Ro-114,JPN,Ko type,coastal submarine,782.0,20 November 1943,sunk 17 June 1944
Ro-115,JPN,Ko type,coastal submarine,782.0,30 November 1943,sunk 1 February 1945
Ro-116,JPN,Ko type,coastal submarine,782.0,21 January 1944,sunk 24 May 1944
Ro-117,JPN,Ko type,coastal submarine,782.0,31 January 1944,sunk 17 June 1944
Ro-500 (ex-U-511),JPN,Type IXC,SS,1213.0,16 September 1943,Scuttled 30 April 1946
Ro-501 (ex-U-1224),JPN,Type IXC/40,SS,1237.0,15 February 1944,Sunk 13 May 1944
Roberts,ENG,Roberts,BM,8000.0,27 October 1941,scrapped June 1965
Rocket,ENG,R,DD,1705.0,4 August 1943,paid off 11 May 1962
