Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Sackville,Royal Canadian Navy,Flower,K,925,30 December 1941,paid off 8 April 1946
Safari,ENG,S,SS,814,14 March 1942,sank under tow 8 January 1946
Saginaw Bay,USA,Casablanca,CVE,7800,2 March 1944,"decommissioned 19 June 1946, scrapped 1960"
Saguenay,Royal Canadian Navy,A,DD,1337,21 May 1931,paid up July 1945
Sahib,ENG,S,SS,814,13 May 1942,sunk 24 April 1943
Saint John,Royal Canadian Navy,River,FF,1445,13 December 1943,paid off 27 November 1945
Saintes,ENG,Battle,DD,2325,27 September 1946[5],"paid off May 1962, scrapped 1972"
Sakura,JPN,Matsu,DD,1262,25 November 1944,sunk by mine 11 July 1945
Salamaua,USA,Casablanca,CVE,7800,26 May 1944,"decommissioned 9 May 1946, scrapped 1947"
Salerno Bay,USA,Commencement Bay,CVE,10900,19 May 1945,scrapped October 1961
Salisbury,Royal Navy  Royal Canadian Navy,Town,DD,1190,5 December 1940,"to Canada September 1942, paid off 10 December 1943, scrapped 1944"
Salmon,ENG,S,SS,670,8 March 1935,sunk 9 July 1940
Salt Lake City,USA,Pensacola,CA,9100,11 December 1929,sunk as target 1948
Salvia,ENG,Flower,K,925,20 September 1940,sunk on 24 December 1941 by U-568[6]
Samphire,ENG,Flower,K,925,30 June 1941,30 January 1943
Sampson,USA,Somers,DD,1850,19 August 1938,scrapped 1946
Samuel B. Roberts,USA,Butler,DE,1370,28 April 1944,sunk 25 October 1944 during the Battle off Samar
San Diego,USA,Atlanta,CL,6000,10 January 1942,"decommissioned 1946, scrapped 1960"
San Francisco,USA,New Orleans,CA,9950,10 February 1934,"Decommissioned 10 February 1946, scrapped 1959"
San Giorgio,Regia Marina,San Giorgio,CA,10167,1 July 1910,decommissioned 22 January 1941
San Jacinto,USA,Independence,CVL,11000,15 November 1943,"decommissioned 1 March 1947, scrapped 1972"
San Juan,Argentine Navy,Buenos Aires,DD,1375,23 March 1938,Discarded 1973
San Juan,USA,Atlanta,CL,6000,28 February 1942,"decommissioned 1946, scrapped 1961"
San Luis,Argentine Navy,Buenos Aires,DD,1375,23 March 1938,Discarded 3 May 1971
Sangamon,USA,Sangamon,CVE,24275,25 August 1942,"decommissioned 24 October 1945, scrapped August 1960"
Santa Cruz,Argentine Navy,Buenos Aires,DD,1375,26 September 1938,Discarded 1973
Santa Fe,USA,Cleveland,CL,11800,24 November 1942,scrapped 1959
Santee,USA,Sangamon,CVE,24275,24 August 1942,"decommissioned 21 October 1946, scrapped 1960"
São Paulo,Brazilian Navy,Minas Geraes,BB,19200,12 July 1910,Sold 1951
Saracen,ENG,S,SS,814,27 June 1942,sunk 14 August 1943
Saratoga,USA,Lexington,CV,33000,16 November 1927,sunk as a target 1946
Sargent Bay,USA,Casablanca,CVE,7800,9 March 1944,"decommissioned 23 June 1946, scrapped 1959"
Saskatoon,Royal Canadian Navy,Flower,K,925,9 June 1941,paid off 25 June 1945
Satterlee,USA,Gleaves,DD,1630,1 July 1943,"Decommissioned 16 March 1946, scrapped 1972"
