Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Wager,ENG,W,DD,1710,14 April 1944,paid off January 1946
Wahoo,USA,Gato,SS,"1,525 surfaced",15 May 1942,Sunk 11 October 1943
Wainwright,USA,Sims,DD,1570,15 April 1940,scuttled after A-bomb test 1948
Wake Island,USA,Casablanca,CVE,7800,7 November 1943,scrapped April 1946
Wakeful,ENG,W,DD,1710,17 February 1944,scrapped 5 July
Walke,USA,Sims,DD,1570,27 April 1940,sunk 15 November 1942
Wallflower,ENG,Flower,K,925,7 March 1941,
Ward,USA,Wickes,DD,1190,24 July 1918,Sunk 7 December 1944
Warrior,ENG,Colossus,CV,18300,2 April 1945,"paid off 1970, scrapped 1971"
Warramunga,Royal Australian Navy,Tribal,DD,2020,23 November 1942,scrapped 1963
Warrington,USA,Somers,destroyer leader,1850,9 February 1938,foundered in hurricane 13 September 1944
Warspite,ENG,Queen Elizabeth,BB,31000,8 March 1915,scrapped 1950
Wasa,Swedish Navy,Äran,coastal defence ship,3650,1901,"paid off 1940, scrapped 1961"
Washington,USA,North Carolina,BB,35000,15 May 1941,"Decommissioned 27 June 1947, scrapped 1960"
Waskesiu,Royal Canadian Navy,River,FF,1445,16 June 1943,paid off 29 January 1946
Wasp (I),USA,,CV,14700,25 April 1940,sunk 15 September 1942
Wasp (II),USA,Essex,CV,30800,24 November 1943,decommissioned 1 July 1972
Welles,USA,Gleaves,DD,1630,16 August 1943,"decommissioned 1946, scrapped 1969"
Welshman,ENG,Abdiel,CM,2650,25 August 1941,sunk 1 February 1943
Wensleydale,ENG,Hunt,DD,1050,20 October 1942,constructive loss 11 December 1944
Wentworth,Royal Canadian Navy,River,FF,1445,7 December 1943,paid off 10 October 1945
Wessex,ENG,W,DD,1710,11 May 1944,paid off January 1946
West Virginia,USA,Colorado,BB,31500,1 December 1923,"Decommissioned 9 January 1947, scrapped 1959"
West York,Royal Canadian Navy,Flower modified,K,1015,6 October 1944,9 July 1945
Wetaskiwin,Royal Canadian Navy,Flower,K,925,17 December 1940,paid off 19 June 1945
Weyburn,Royal Canadian Navy,Flower,K,925,26 November 1941,paid off 22 February 1943
Whaddon,ENG,Hunt,DD,1000,28 February 1941,broken up April 1959
Wheatland,ENG,Hunt,DD,1050,3 November 1941,"paid off 19 June 1945, scrapped 20 September 1959"
Whelp,ENG,W,DD,1710,25 April 1944,paid off January 1946
Whirlwind,ENG,W,DD,1710,1943,foundered 29 October 1974
Whitby,Royal Canadian Navy,Flower modified,K,1015,6 June 1944,16 July 1945
White Plains,USA,Casablanca,CVE,7800,15 November 1943,scrapped 29 July 1958
Wicher,Polish Navy,Wicher,DD,1400,13 July 1930,sunk 3 September 1939
Wichita,USA,Wichita,CA,10000,16 February 1939,"decommissioned 1947, scrapped 1959"
Widder,GER,,MC,16800,30 November 1939,became repair ship Neumark 1941
Willem van der Zaan,Royal Netherlands Navy,Willem van der Zaan,CM,1407,21 August 1939,"decommissioned 27 February 1970, sold for scrap 6 October 1970"
Wiley,USA,Fletcher,DD,2050,22 February 1945,decommissioned 9 August 1946
Wilkes,USA,Gleaves,DD,1630,22 April 1941,"decommissioned 1946, scrapped 1972"
Wilkes-Barre,USA,Cleveland,CL,11800,1 July 1944,sunk as target 1972
William D. Porter,USA,Fletcher,DD,2050,6 July 1943,sunk 10 June 1945
Willowherb,ENG,Flower modified,K,1015,30 August 1943,paid off 11 June 1946
Wilson,USA,Benham,DD,1500,5 July 1939,scuttled after A-bomb test 1948
Wilton,ENG,Hunt,DD,1050,18 February 1942,"paid off 19 June 1945, scrapped 1959"
Windflower,Royal Navy  Royal Canadian Navy,Flower,K,925,20 October 1940,"to Canada 15 May 1941, sunk 7 December 1941"
Windham Bay,USA,Casablanca,CVE,7800,3 May 1944,scrapped February 1961
Windrush,Royal Navy  Free French Naval Forces,River,FF,1370,February 1944,to France February 1944 as Découverte; decommissioned 1959
Winslow,USA,Porter,DD,1850,17 February 1937,scrapped 1959
Wisconsin,USA,Iowa,BB,45000,16 April 1944,decommissioned 30 September 1991; museum ship
Witte de With,Royal Netherlands Navy,Admiralen,DD,1337,20 February 1930,Scuttled 2 March 1942
Wizard,ENG,W,DD,1710,30 March 1944,scrapped 1967
Wolf,GER,Raubtier,torpedo boat,1320,15 November 1928,sunk 8 January 1941
Woodruff,ENG,Flower,K,925,7 April 1941,
Woodstock,Royal Canadian Navy,Flower,K,925,1 May 1942,paid off 27 January 1945
Woodworth,USA,Benson,DD,1620,30 April 1942,"to Italy 1951, scrapped 1971"
Woolsey,USA,Gleaves,DD,1630,7 May 1941,"decommissioned 1947, scrapped 1974"
Worden,USA,Farragut,DD,1365,15 January 1935,sunk 12 January 1943
Wrangler,ENG,W,DD,1710,14 July 1944,to South Africa after war
Wrestler,ENG,Admiralty W,DD,1188,15 May 1918,"mined 6 June 1944, scrapped July 1944"
