Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
X2,ENG,Archimede,SS,1230,19 March 1934,"Former Italian Galileo Galilei, captured by RN on 18 June 1940; paid off January 1946"
X3,ENG,X,SS,30,1942,paid off 1945
X4,ENG,X,SS,30,1942,paid off 1945
X5,ENG,X,SS,30,1943,sunk 22 September 1943
X6,ENG,X,SS,30,1943,scuttled 22 September 1943
X7,ENG,X,SS,30,1943,scuttled 22 September 1943
X8,ENG,X,SS,30,1943,scuttled 17 September 1943
X9,ENG,X,SS,30,1943,foundered under tow 16 September 1943
X10,ENG,X,SS,30,1943,scuttled 3 October 1943
X20,ENG,X,SS,30,1944,paid off
X21,ENG,X,SS,30,1944,
X22,ENG,X,SS,30,1944,sank in training 7 February 1944
X23,ENG,X,SS,30,1944,paid off 1945
X24,ENG,X,SS,30,1944,paid off 1945
X25,ENG,X,SS,30,1944,paid off 1945
Xanthus,USA,Xanthus,repair ship,5801,9 May 1945,"built as repair ship, armed and served in various capacities; decommissioned 1946"
XE1,ENG,XE,SS,33,1944,paid off 1945
XE2,ENG,XE,SS,33,1944,paid off 1945
XE3,ENG,XE,SS,33,1944,paid off 1945
XE4,ENG,XE,SS,33,1944,paid off 1945
XE5,ENG,XE,SS,33,1944,paid off 1945
XE6,ENG,XE,SS,33,1944,paid off 1945
XE7,ENG,XE,SS,33,1944,paid off 1952
XE8,ENG,XE,SS,33,1944,"sunk as target 1952, recovered 1973; museum ship"
XE9,ENG,XE,SS,33,1944,paid off 1952
XE10,ENG,XE,SS,33,,cancelled incomplete 1945
XE11,ENG,XE,SS,33,1944,lost 6 March 1945
XE12,ENG,XE,SS,33,1944,paid off 1952
Xenia,USA,Artemis,attack cargo ship,4087,28 July 1945,"armed combat transport, decommissioned 1962"
XT1,ENG,XT,training submarine,30,1944,paid off 1945
XT2,ENG,XT,training submarine,30,1944,paid off 1945
XT3,ENG,XT,training submarine,30,1944,paid off 1945
XT4,ENG,XT,training submarine,30,1944,paid off 1945
XT5,ENG,XT,training submarine,30,1944,paid off 1945
XT6,ENG,XT,training submarine,30,1944,paid off 1945
