Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Yahagi,JPN,Agano,CL,6650,29 December 1943,Sunk 7 April 1945
Yakov Sverdlov,Soviet Navy,Novik,DD,1260,9 September 1913,Sunk 28 August 1941
Yakumo,JPN,,armored cruiser,9646,20 June 1900,Scrapped 1 April 1947
Yamashiro,JPN,Fusō,dreadnought,39154,31 March 1917,Sunk 25 October 1944
Yamato,JPN,Yamato,BB,74170,16 December 1941,Sunk 7 April 1945
Yorktown (CV-5),USA,Yorktown,CV,19900,30 September 1937,Sunk 7 June 1942
Yorktown (CV-10),USA,Essex,CV,30800,15 April 1943,"Decommissioned 27 June 1970, museum ship Charleston, South Carolina"
Yubari,JPN,,CL,2890,23 July 1923,Sunk 27 April 1944
Yukikaze,JPN,Kagero,DD,2490,20 January 1940,"To China 1947, renamed Tan Yang"
Yura,JPN,Nagara,CL,5088,20 March 1923,Lost 25 October 1942
