Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Z1 Leberecht Maass,GER,Type 1934,DD,"2,259 t (2,223 long tons) (standard)[5][a]",14 January 1937[6],Sunk by a naval mine or bomb on 22 February 1940.[7]
Z2 Georg Thiele,GER,Type 1934,DD,"2,259 t (2,223 long tons) (standard)[5]",27 February 1937[6],sunk 13 April 1940
Z3 Max Schultz,GER,Type 1934,DD,3150,27 February 1937,sunk 22 February 1940
Z4 Richard Beitzen,GER,Type 1934,DD,3150,13 May 1937,"ceded to UK, scrapped 1947"
Z5 Paul Jakobi,GER,Type 1934A,DD,"2,206 t (2,171 long tons) (normal) 3,160 t (3,110 long tons) (deep load)",29 June 1937,"ceded to UK, then to France February 1946 and renamed Desaix, scrapped 1958"
Z6 Theodor Riedel,GER,Type 1934A,DD,3100,2 July 1937,"Ceded to UK, then to France February 1946, renamed Kleber, scrapped 1958"
Z7 Hermann Schoemann,GER,Type 1934A,DD,3100,9 September 1937,sunk 2 May 1942
Z8 Bruno Heinemann,GER,Type 1934A,DD,3100,8 January 1938,sunk 25 January 1942
Z9 Wolfgang Zenker,GER,Type 1934A,DD,3100,2 July 1938,scuttled 13 April 1940
Z10 Hans Lody,GER,Type 1934A,DD,3100,13 September 1938,scrapped 1946 - 1949
Z11 Bernd von Arnim,GER,Type 1934A,DD,3100,6 December 1938,scuttled 13 April 1940
Z12 Erich Giese,GER,Type 1934A,DD,3100,4 March 1939,sunk 13 April 1940
Z13 Erich Koellner,GER,Type 1934A,DD,3100,28 March 1939,sunk 13 April 1940
Z14 Friedrich Ihn,GER,Type 1934A,DD,3100,6 April 1938,scrapped 1952
Z15 Erich Steinbrinck,GER,Type 1934A,DD,3100,31 May 1938,"ceded to USSR, 5 November 1945, renamed Pylikiy; scrapped 1958"
Z16 Friedrich Eckoldt,GER,Type 1934A,DD,3100,28 July 1938,sunk 31 December 1942
Z17 Diether von Roeder,GER,Type 1936,DD,4400,29 August 1938,sunk 13 April 1940
Z18 Hans Lüdemann,GER,Type 1936,DD,3400,8 October 1938,sunk 13 April 1940
Z19 Hermann Künne,GER,Type 1936,DD,3400,12 January 1939,sunk 13 April 1940
Z20 Karl Galster,GER,Type 1936,DD,3415,21 March 1939,scrapped 1956
Z21 Wilhelm Heidkamp,GER,Type 1936,DD,3400,10 June 1939,sunk 10 April 1940
Z22 Anton Schmidt,GER,Type 1936,DD,3400,24 September 1939,Sunk 10 April 1940
Z23,GER,Type 1936A,DD,3605,15 September 1940,"decommissioned 21 August 1944, scrapped in 1951."
Z24,GER,Type 1936A,DD,3605,26 October 1940,sunk 25 August 1944
Z25,GER,Type 1936A,DD,3605,30 November 1940,"taken by France after war, scrapped in 1958."
Z26,GER,Type 1936A,DD,3605,11 January 1941,sunk 29 March 1942
Z27,GER,Type 1936A,DD,3605,26 February 1941,sunk 28 December 1943
Z28,GER,Type 1936A,DD,3605,9 August 1941,sunk 3 March 1945
Z29,GER,Type 1936A,DD,3605,25 June 1941,"taken by Britain after war, given to US, scuttled 16 December 1946"
Z30,GER,Type 1936A,DD,3605,15 November 1941,"taken by Norway after war, given to Britain, scrapped 1949"
Z31,GER,Type 1936A Mob,DD,3691,11 April 1942,"taken by France after war, scrapped in 1958."
Z32,GER,Type 1936A Mob,DD,3691,15 September 1942,destroyed 9 June 1944
Z33,GER,Type 1936A Mob,DD,3691,6 February 1943,"taken by Soviet Union after war, sunk as target ship 1961."
Z34,GER,Type 1936A Mob,DD,3691,5 June 1943,"taken by USA after war, scuttled 26 March 1946"
Z35,GER,Type 1936B,DD,"2,559 t (2,519 long tons)",22 September 1943,Sunk by a mine on 12 December 1944.
Z36,GER,Type 1936B,DD,"2,559 t (normal) 3,599 t (3,542 long tons) (deep load)",19 February 1944,Sunk by a mine on 12 December 1944.
Z37,GER,Type 1936A Mob,DD,3691,16 July 1942,"scuttled 24 August 1944, scrapped in 1949"
Z38,GER,Type 1936A Mob,DD,3691,20 March 1943,"taken by Britain after war, scrapped between 1949 and 1950."
Z39,GER,Type 1936A Mob,DD,3691,21 August 1943,"taken by Britain after war, scrapped in 1964."
Z40,GER,Type 1936B,DD,"2,559 t (normal) 3,599 t (deep load)",,Cancelled in 1940.
Z41,GER,Type 1936B,DD,"2,559 t (normal) 3,599 t (deep load)",,Cancelled in 1940.
Z42,GER,Type 1936B,DD,,,Cancelled in 1940.
Z43,GER,Type 1936B,DD,"2,559 t (normal) 3,599 t (deep load)",31 May 1944,Scuttled on 3 May 1945.
Z44,GER,Type 1936B,DD,,,Sunk on 29 July 1944.
Z45,GER,Type 1936B,DD,,,Scrapped in 1946.
Zambesi,ENG,Z,DD,1830,18 July 1944,scrapped 1959
Zara,Regia Marina,Zara,CA,11500,20 October 1931,sunk 29 March 1941
Zealous,ENG,Z,DD,1830,9 October 1944,to Israel after war
Zebra,ENG,Z,DD,1830,13 October 1944,scrapped 1954
Zenith,ENG,Z,DD,1830,22 December 1944,to Egypt after war
Zephyr,ENG,Z,DD,1830,6 September 1944,paid off 1954
Zest,ENG,Z,DD,1830,12 July 1944,paid off July 1968
Zetland,ENG,Hunt,DD,1050,27 June 1942,"paid off 20 April 1946, scrapped 1965"
Zinnia,ENG,Flower,K,925,30 March 1941,sunk 23 August 1941 by U-564[8]
Zodiac,ENG,Z,DD,1830,23 October 1944,to Israel after war
Zuihō,JPN,Zuihō,CV,11260,January 1941,sunk 25 October 1944
Zuikaku,JPN,Shōkaku,CV,29800,25 September 1941,25 October 1944
Zulu,ENG,Tribal,DD,2020,7 September 1938,sunk 14 September 1942
