Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Aaron Ward (DD-483),USA,Gleaves,DD,1630.0,4 March 1942,Sunk 7 April 1943[5]
Aaron Ward (DM-34),USA,Robert H. Smith,minelayer destroyer,2200.0,28 October 1944,"Constructive loss 30 April 1945, scrapped 1946"
Abbot,USA,Fletcher,DD,2050.0,23 April 1943,"Decommissioned 1965, scrapped 1975[6]"
Abdiel,ENG,Abdiel,CM,2650.0,15 April 1941,Sunk 10 September 1943[7]
Abelia,ENG,Flower,K,925.0,3 February 1941,Constructive loss 9 January 1944[8]
Abercrombie,ENG,Roberts,BM,8536.0,5 May 1943,Scrapped 1954[9]
Abercrombie,USA,John C. Butler,DE,1350.0,1 May 1944,"Decommissioned 1946, sunk as target 1968"
Abner Read,USA,Fletcher,DD,2050.0,5 February 1943,Sunk 1 November 1944
Abukuma,JPN,Nagara,CL,5088.0,26 May 1925,Sunk 26 October 1944[10]
Acasta,ENG,A,DD,1350.0,11 February 1930,Sunk 8 June 1940[11]
Acavus,ENG,Rapana,merchant aircraft carrier,8010.0,October 1943,Returned to merchant service post-war
Achates,ENG,A,DD,1350.0,27 March 1930,Sunk 31 December 1942
Acheron,ENG,A,DD,1350.0,13 October 1931,Sunk 17 December 1940
Achilles,Royal Navy Royal New Zealand Navy,Leander,CL,7270.0,6 October 1933,Sold to India 1948
Aconit,FRA,Flower,K,925.0,23 July 1941,30 April 1947
Acree,USA,Cannon,DE,1240.0,19 July 1943,"Decommissioned 1946, scrapped 1973"
Action,USA,Flower modified,K,1015.0,22 November 1942,6 September 1945
Active,ENG,A,DD,1350.0,9 February 1930,Scrapped 1947
Adams,USA,Robert H. Smith,minelayer destroyer,2200.0,10 October 1944,"Decommissioned 1947, scrapped 1971"
Adelaide,Royal Australian Navy,Birmingham,CL,5550.0,5 August 1922,Scrapped 1949
Admiral Graf Spee,GER,Deutschland,C,12103.0,6 January 1936,scuttled 17 December 1939
Admiral Hipper,GER,Admiral Hipper,CA,14000.0,25 April 1939,Scuttled 2 May 1945
Admiral Scheer,GER,Deutschland,C,12100.0,12 November 1934,Sunk 9 April 1945
Admiralty Islands,USA,Casablanca,CVE,7800.0,13 June 1944,Scrapped 1947
Adrias,Hellenic Navy,Hunt,DE,1050.0,5 August 1942,"Damaged by mine 22 October 1943, scrapped 1945"
Adventure,ENG,,minelayer cruiser,6850.0,4 November 1916,Landing repair ship 1944; scrapped 1947
