Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Babbitt,USA,Wickes,DD,1190.0,24 October 1919,scrapped 1946
Bachaquero,ENG,Maracaibo,LST,4193.0,August 1941,paid off 1945
Bache,USA,Fletcher,DD,2050.0,14 November 1942,scrapped 1968
Badger,USA,Wickes,DD,1190.0,29 May 1919,scrapped 1945
Badsworth,Royal Navy  Royal Norwegian Navy,Hunt,DE,1050.0,18 August 1941,"paid off 16 November 1944, to Norway as Arendal 8 August 1944"
Bagley,USA,Bagley,DD,1500.0,12 June 1937,scrapped 1947
Bahia,Brazilian Navy,Bahia-class light cruiser,,3100.0,1910,lost 4 July 1945
Bailey (DD-492),USA,Benson,DD,1620.0,11 May 1942,"decommissioned 1946, sunk as target 1969"
Bainbridge,USA,Clemson,DD,1200.0,9 February 1921,scrapped 1945
Bairoko,USA,Commencement Bay,CVE,10200.0,16 July 1945,"decommissioned 1955, scrapped 1960"
Baker,USA,Cannon,DE,1240.0,23 December 1943,"to France 1952, sunk as target 1970"
Balch,USA,Porter,DD,1850.0,20 October 1936,scrapped 1946
Baldwin,USA,Gleaves,DD,1630.0,30 April 1943,"decommissioned 1946, scuttled 1961"
Baltimore,USA,Baltimore-class heavy cruiser,,17200.0,15 April 1943,"decommissioned 2 July 1954, scrapped 1972"
Banckert,Royal Netherlands Navy,Admiralen class,DD,1337.0,14 November 1930,Sunk as targetship September 1949
Bancroft,USA,Benson,DD,1620.0,30 April 1942,"decommissioned 1946, scrapped 1973"
Bangust,USA,Cannon,DE,1240.0,30 October 1943,"to Peru 1952, scrapped 1979"
Barb,USA,Gato-class submarine,,2460.0,2 April 1942,"sold to Italy as Enrico Tazzoli 1954, scrapped 1973"
Barber,USA,Buckley,DE,1400.0,10 October 1943,"to Mexico 1969, struck 2001"
Barham,ENG,Queen Elizabeth,BB,31000.0,19 August 1915,sunk 25 November 1941
Bari,Regia Marina,CL,,3284.0,1925,sunk 28 June 1943
Barfleur,ENG,Battle,DD,2325.0,14 September 1944,"paid off 1958, scrapped 1966"
Barker,USA,Clemson,DD,1200.0,17 December 1919,scrapped 1945
Barnes,USA,Bogue,CVE,11400.0,20 February 1943,"Decommissioned 29 August 1946, scrapped 1959"
Barney,USA,Wickes,DD,1190.0,14 March 1919,scrapped 1946
