Section,name,type,name_group,parent_version,design_team,obsolete,icon,ship_ASW_upgrade,ship_anti_air_upgrade,ship_mtg_armor_sub_upgrade,ship_mtg_armor_upgrade,ship_mtg_carrier_engine_upgrade,ship_mtg_deck_space_upgrade,ship_mtg_engine_upgrade,ship_mtg_hevy_engine_upgrade,ship_mtg_light_engine_upgrade,ship_mtg_mid_engine_upgrade,ship_mtg_naval_range_upgrade,submarine_mtg_engine_upgrade,fixed_ship_anti_air_slot,fixed_ship_armor_slot,fixed_ship_battery_slot,fixed_ship_deck_slot_1,fixed_ship_deck_slot_2,fixed_ship_deck_slot_3,fixed_ship_engine_slot,fixed_ship_fire_control_system_slot,fixed_ship_missile_slot,fixed_ship_radar_slot,fixed_ship_secondaries_slot,fixed_ship_sonar_slot,fixed_ship_sub_snorkel_slot,fixed_ship_torpedo_depth_charge_slot,fixed_ship_torpedo_slot,front_1_custom_slot,front_2_custom_slot,mid_1_custom_slot,mid_2_custom_slot,mid_3_custom_slot,rear_1_custom_slot,rear_2_custom_slot
W_Class,W Class,ship_hull_light_2,SAF_HISTORICAL_DD,0,,,,,,,0,,,,,6,,4,,ship_dp_Bofors_battery_2,,ship_old_light_battery_2,,,,SM_engine_2,ship_sonar_3,,ship_radar_3,,,,,ship_torpedo_3,,,ship_depth_charge_projection_device_3,,,ship_depth_charge_3,
M15_Class,M15 Class,ship_hull_monitor,SAF_HISTORICAL_BB,0,,,,,,,5,,,,,,5,3,,ship_dp_Bofors_battery_2,sm_armor_3,ship_ENG_mid_battery_2,,,,SM_engine_1,ship_fire_control_system_1,,ship_radar_3,,,,,,,,ship_mine_layer_2,,,,
Caroline_Class,Caroline Class,ship_hull_cruiser_1,ENG_HISTORICAL_CL,,,yes,,,,,2,,,,,,5,5,,ship_dp_Bofors_battery_2,sm_armor_1,ship_ENG_light_battery_4,,,,SM_engine_3,ship_sonar_3,,ship_radar_3,ship_depth_charge_projection_device_4,,,,,ship_anti_submarine_rocket_2,,ship_depth_charge_projection_device_4,ship_depth_charge_projection_device_4,,ship_anti_submarine_rocket_2,
Black_Swan_Mk_II_Class,Black Swan Mk.II Class,ship_hull_frigate_2,ENG_SL_HISTORICAL,,,,,5,5,,,,,5,,,,10,,ship_dp_Bofors_battery_2,,ship_ENG_light_battery_4,,,,SM_engine_2,ship_radar_4,,ship_sonar_4,,,,ship_depth_charge_projection_device_4,,ship_ENG_light_battery_4,,ship_depth_charge_projection_device_4,,,,
Castle_Mk_II_Class,Castle Mk.II Class,ship_hull_frigate_2,ENG_SL_HISTORICAL,,,,,5,5,,,,,5,,,,10,,ship_dp_Bofors_battery_2,,ship_ENG_light_battery_1,,,,SM_engine_2,ship_radar_4,,ship_sonar_4,,,,ship_depth_charge_projection_device_4,,ship_dp_Bofors_battery_2,,ship_depth_charge_projection_device_4,,,,
River_Mk_II_Class,River Mk.II Class,ship_hull_frigate_2,ENG_SL_HISTORICAL,,,,,5,5,,,,,4,,,,12,,ship_dp_Bofors_battery_2,,ship_ENG_light_battery_1,,,,SM_engine_2,ship_radar_4,,ship_sonar_4,,,,ship_depth_charge_projection_device_4,,ship_depth_charge_projection_device_4,,ship_depth_charge_projection_device_4,,,,
Militaly_Class,Military Class,ship_hull_frigate_1,ENG_TW_HISTORICAL,0,,,,5,5,,,,,0,,,,10,,ship_old_anti_air_3,,ship_ENG_light_battery_1,,,,SM_engine_1,ship_sonar_4,,ship_sonar_4,,,,ship_depth_charge_3,,ship_depth_charge_3,,,,,,
Loch_Class,Loch Mk.II Class,ship_hull_frigate_2,ENG_SL_HISTORICAL,,,,,5,5,,,,,4,,,,12,,ship_dp_Bofors_battery_2,,ship_ENG_light_battery_1,,,,SM_engine_2,ship_radar_4,,ship_sonar_4,,,,ship_dp_Bofors_battery_2,,ship_depth_charge_projection_device_4,,ship_depth_charge_projection_device_4,,,,
Halcyon_Class,Halcyon Class,ship_hull_frigate_1,ENG_SL_HISTORICAL,0,,,,5,2,,,,,5,,,,10,,ship_old_anti_air_2,,ship_depth_charge_projection_device_1,,,,SM_engine_2,,,ship_sonar_3,,,,ship_old_anti_air_2,,ship_anti_submarine_rocket_2,,,,,,
ALF_Enterprise_Class,Enterprise Class,ship_hull_carrier_4_nuke,USA_HISTORICAL_CV,,,,,,,,7,4,0,,,,,0,,,sm_armor_3,,steam_catapult,ship_dp_light_battery_4x4,ship_dp_light_battery_4x4,SM_nuke_engine,ship_fire_control_system_5,ship_anti_air_missile_2,ship_radar_6,,,,,,steam_catapult,,steam_catapult,steam_catapult,,ship_armor_carrier_deck_2,
GER_Lutjens_Class,Lütjens Class,ship_hull_light_1,GER_HISTORICAL_DD,0,,,,,,,4,,,,,6,,4,,ship_dp_Bofors_battery_2,,ship_light_battery_1,,,,SM_engine_3,ship_sonar_4,,ship_radar_4,,,,,ship_torpedo_2,,,ship_anti_air_1,,,ship_light_battery_1,
GER_Molders_Class,Mölders Class,ship_hull_light_2,GER_HISTORICAL_DD,0,,,,,,,4,,,,,6,,4,,ship_dp_Bofors_battery_2,,ship_light_battery_1,,,,SM_engine_3,ship_sonar_4,,ship_radar_4,,,,,ship_torpedo_2,,,ship_anti_submarine_battery_1,,,ship_light_battery_1,
